<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCGTECBSK0322.PL,D,20181211,000000,932.3,932.3,932.3,932.3,180,0
RCGTECBSK0322.PL,D,20190320,000000,950,950,950,950,50,0
RCGTECBSK0322.PL,D,20190321,000000,952,952,952,952,40,0
RCGTECBSK0322.PL,D,20190930,000000,960.9,960.9,960.9,960.9,10,0
RCGTECBSK0322.PL,D,20191001,000000,960.7,960.7,960.7,960.7,15,0
RCGTECBSK0322.PL,D,20191004,000000,960.6,960.6,960.6,960.6,40,0
RCGTECBSK0322.PL,D,20191212,000000,989.8,989.8,989.8,989.8,1,0
RCGTECBSK0322.PL,D,20191216,000000,990.9,990.9,990.9,990.9,1,0
RCGTECBSK0322.PL,D,20200123,000000,982.2,982.2,982.2,982.2,5,0
RCGTECBSK0322.PL,D,20200203,000000,981.9,981.9,981.9,981.9,167,0
RCGTECBSK0322.PL,D,20200227,000000,986.2,986.2,986.2,986.2,10,0
RCGTECBSK0322.PL,D,20200311,000000,978.8,978.8,978.8,978.8,50,0
RCGTECBSK0322.PL,D,20200312,000000,973.7,973.7,973.7,973.7,150,0
RCGTECBSK0322.PL,D,20200515,000000,989.8,989.8,989.8,989.8,50,0
RCGTECBSK0322.PL,D,20200604,000000,1000.5,1000.5,1000.5,1000.5,20,0
RCGTECBSK0322.PL,D,20200708,000000,1010,1010,1010,1010,400,0
RCGTECBSK0322.PL,D,20200721,000000,1014.5,1014.5,1014.5,1014.5,100,0
RCGTECBSK0322.PL,D,20200803,000000,1009.5,1009.5,1009.5,1009.5,50,0
RCGTECBSK0322.PL,D,20200807,000000,1013,1013,1013,1013,40,0
RCGTECBSK0322.PL,D,20200821,000000,1013,1013,1013,1013,400,0
RCGTECBSK0322.PL,D,20200901,000000,1012.5,1012.5,1012.5,1012.5,100,0
RCGTECBSK0322.PL,D,20200923,000000,1011,1011,1010.5,1010.5,115,0
RCGTECBSK0322.PL,D,20201008,000000,1016,1016,1016,1016,51,0
RCGTECBSK0322.PL,D,20201009,000000,1017.5,1017.5,1017.5,1017.5,50,0
