<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCSOJAOPEN.PL,D,20090311,000000,32.73,32.73,32.73,32.73,20,0
RCSOJAOPEN.PL,D,20090312,000000,31.22,31.22,31.22,31.22,20,0
RCSOJAOPEN.PL,D,20090414,000000,33.2,33.2,33.2,33.2,75,0
RCSOJAOPEN.PL,D,20090504,000000,35.34,35.34,35.34,35.34,60,0
RCSOJAOPEN.PL,D,20090507,000000,35.12,35.12,35.12,35.12,113,0
RCSOJAOPEN.PL,D,20090519,000000,34.2,34.2,34.2,34.2,75,0
RCSOJAOPEN.PL,D,20090520,000000,34.18,34.18,34.18,34.18,113,0
RCSOJAOPEN.PL,D,20090529,000000,36.64,36.64,36.64,36.64,1,0
RCSOJAOPEN.PL,D,20090604,000000,36.65,36.65,36.65,36.65,27,0
RCSOJAOPEN.PL,D,20090721,000000,30,30,29.91,29.91,83,0
RCSOJAOPEN.PL,D,20090731,000000,30.64,30.64,30.64,30.64,50,0
RCSOJAOPEN.PL,D,20090805,000000,32.28,32.28,32.28,32.28,100,0
RCSOJAOPEN.PL,D,20091001,000000,29.37,29.37,29.37,29.37,98,0
RCSOJAOPEN.PL,D,20091014,000000,30.01,30.01,30.01,30.01,98,0
RCSOJAOPEN.PL,D,20091023,000000,30.87,30.87,30.87,30.87,100,0
RCSOJAOPEN.PL,D,20091026,000000,30.62,30.62,30.62,30.62,50,0
RCSOJAOPEN.PL,D,20091029,000000,30.44,30.44,30.44,30.44,33,0
RCSOJAOPEN.PL,D,20091105,000000,30.57,30.57,30.57,30.57,80,0
RCSOJAOPEN.PL,D,20091116,000000,30.16,30.16,30.16,30.16,250,0
RCSOJAOPEN.PL,D,20091117,000000,30.04,30.05,30.04,30.05,70,0
RCSOJAOPEN.PL,D,20091118,000000,30.91,30.91,30.91,30.91,250,0
RCSOJAOPEN.PL,D,20091123,000000,31.3,31.3,31.3,31.3,25,0
RCSOJAOPEN.PL,D,20091127,000000,31.8,31.8,31.8,31.8,8,0
RCSOJAOPEN.PL,D,20100113,000000,29.56,29.56,29.56,29.56,50,0
RCSOJAOPEN.PL,D,20100115,000000,29.65,29.65,29.65,29.65,40,0
RCSOJAOPEN.PL,D,20100120,000000,29.36,29.36,29.36,29.36,32,0
RCSOJAOPEN.PL,D,20100204,000000,28.88,28.88,28.88,28.88,40,0
RCSOJAOPEN.PL,D,20100210,000000,29.8,29.8,29.8,29.8,10,0
RCSOJAOPEN.PL,D,20100217,000000,29.96,29.96,29.96,29.96,100,0
RCSOJAOPEN.PL,D,20100223,000000,29.9,29.9,29.9,29.9,50,0
RCSOJAOPEN.PL,D,20100429,000000,30.95,30.95,30.95,30.95,40,0
RCSOJAOPEN.PL,D,20100511,000000,32,32.04,32,32.04,125,0
RCSOJAOPEN.PL,D,20100527,000000,33.02,33.02,33.02,33.02,69,0
RCSOJAOPEN.PL,D,20100621,000000,33.21,33.21,33.21,33.21,50,0
RCSOJAOPEN.PL,D,20100716,000000,34.3,34.3,34.3,34.3,1000,0
RCSOJAOPEN.PL,D,20100719,000000,34.3,34.3,34.3,34.3,9,0
RCSOJAOPEN.PL,D,20100802,000000,33.47,33.47,33.47,33.47,69,0
RCSOJAOPEN.PL,D,20100809,000000,34.47,34.47,34.27,34.27,50,0
RCSOJAOPEN.PL,D,20100813,000000,34.74,35.69,34.74,35.69,85,0
RCSOJAOPEN.PL,D,20100819,000000,34.77,34.77,34.77,34.77,10,0
RCSOJAOPEN.PL,D,20100831,000000,35.15,35.15,35.15,35.15,14,0
RCSOJAOPEN.PL,D,20100917,000000,34.34,34.34,34.34,34.34,35,0
RCSOJAOPEN.PL,D,20100927,000000,36,36,36,36,1000,0
RCSOJAOPEN.PL,D,20101011,000000,36.98,36.98,36.98,36.98,25,0
RCSOJAOPEN.PL,D,20101012,000000,36.66,36.66,36.66,36.66,61,0
RCSOJAOPEN.PL,D,20101025,000000,37.46,37.46,37.46,37.46,39,0
RCSOJAOPEN.PL,D,20101103,000000,37.66,37.66,37.66,37.66,25,0
RCSOJAOPEN.PL,D,20101115,000000,40.23,40.23,40.23,40.23,100,0
RCSOJAOPEN.PL,D,20101117,000000,38.59,38.59,38.59,38.59,100,0
RCSOJAOPEN.PL,D,20101118,000000,39.3,39.3,39.3,39.3,75,0
RCSOJAOPEN.PL,D,20101119,000000,38.36,38.36,38.36,38.36,75,0
RCSOJAOPEN.PL,D,20101228,000000,45.14,45.14,45.14,45.14,14,0
RCSOJAOPEN.PL,D,20110120,000000,44.63,44.63,44.51,44.51,32,0
RCSOJAOPEN.PL,D,20110210,000000,45.77,45.77,45.77,45.77,16,0
RCSOJAOPEN.PL,D,20110211,000000,45.7,45.7,45.7,45.7,22,0
RCSOJAOPEN.PL,D,20110214,000000,44.85,45.05,44.85,45.05,43,0
RCSOJAOPEN.PL,D,20110222,000000,43.61,43.61,43.61,43.61,22,0
RCSOJAOPEN.PL,D,20110223,000000,40.77,41,40.77,41,141,0
RCSOJAOPEN.PL,D,20110301,000000,43.06,43.06,43.06,43.06,1035,0
RCSOJAOPEN.PL,D,20110302,000000,43.7,43.7,43.7,43.7,33,0
RCSOJAOPEN.PL,D,20110303,000000,43.7,43.7,43.7,43.7,23,0
RCSOJAOPEN.PL,D,20110308,000000,42.14,42.14,42.14,42.14,20,0
RCSOJAOPEN.PL,D,20110310,000000,42.1,42.1,42.1,42.1,250,0
RCSOJAOPEN.PL,D,20110316,000000,40.75,40.75,40.71,40.71,1045,0
RCSOJAOPEN.PL,D,20110331,000000,44.2,44.2,44.2,44.2,250,0
RCSOJAOPEN.PL,D,20110411,000000,42.72,42.72,42.72,42.72,34,0
RCSOJAOPEN.PL,D,20110524,000000,42.28,42.28,42.28,42.28,50,0
RCSOJAOPEN.PL,D,20110601,000000,41.39,41.39,41.39,41.39,33,0
RCSOJAOPEN.PL,D,20110603,000000,42.81,42.81,42.81,42.81,30,0
RCSOJAOPEN.PL,D,20110624,000000,41.11,41.11,41.11,41.11,30,0
RCSOJAOPEN.PL,D,20110630,000000,41.06,41.06,41.06,41.06,40,0
RCSOJAOPEN.PL,D,20110708,000000,41.06,41.06,41.06,41.06,23,0
RCSOJAOPEN.PL,D,20110713,000000,43,43,43,43,40,0
RCSOJAOPEN.PL,D,20110829,000000,46.14,46.14,46.14,46.14,30,0
RCSOJAOPEN.PL,D,20110909,000000,48.5,48.5,48.5,48.5,120,0
RCSOJAOPEN.PL,D,20110927,000000,45.69,45.69,45.69,45.69,43,0
RCSOJAOPEN.PL,D,20111011,000000,41.38,41.93,41.38,41.93,73,0
RCSOJAOPEN.PL,D,20111228,000000,44.67,44.67,44.67,44.67,50,0
RCSOJAOPEN.PL,D,20120104,000000,46.79,46.79,46.79,46.79,50,0
RCSOJAOPEN.PL,D,20120105,000000,46.71,46.71,46.71,46.71,100,0
RCSOJAOPEN.PL,D,20120202,000000,42.56,42.56,42.56,42.56,37,0
RCSOJAOPEN.PL,D,20120215,000000,44.36,44.36,44.36,44.36,10,0
RCSOJAOPEN.PL,D,20120217,000000,43.82,43.82,43.82,43.82,37,0
RCSOJAOPEN.PL,D,20120327,000000,47.19,47.19,47.19,47.19,2,0
RCSOJAOPEN.PL,D,20120426,000000,51.05,51.05,51.05,51.05,16,0
RCSOJAOPEN.PL,D,20120507,000000,51.56,51.57,51.56,51.57,1070,0
RCSOJAOPEN.PL,D,20120510,000000,51.15,51.15,51.15,51.15,16,0
RCSOJAOPEN.PL,D,20120704,000000,56.16,56.16,56.16,56.16,600,0
RCSOJAOPEN.PL,D,20120705,000000,58.15,58.15,58.15,58.15,580,0
RCSOJAOPEN.PL,D,20120710,000000,59.77,59.77,59.77,59.77,20,0
RCSOJAOPEN.PL,D,20120713,000000,60.49,60.49,60.49,60.49,30,0
RCSOJAOPEN.PL,D,20120719,000000,63.2,64.48,63.2,64.48,62,0
RCSOJAOPEN.PL,D,20120725,000000,61.9,61.9,61.9,61.9,100,0
RCSOJAOPEN.PL,D,20120731,000000,62.51,62.51,62.51,62.51,1,0
RCSOJAOPEN.PL,D,20120802,000000,61.5,61.5,61.5,61.5,7,0
RCSOJAOPEN.PL,D,20120829,000000,64.92,64.92,64.92,64.92,27,0
RCSOJAOPEN.PL,D,20120831,000000,67.7,67.7,65.68,65.68,47,0
RCSOJAOPEN.PL,D,20120903,000000,67.41,67.41,67.41,67.41,10,0
RCSOJAOPEN.PL,D,20120912,000000,62.1,62.1,62.1,62.1,30,0
RCSOJAOPEN.PL,D,20120914,000000,61.67,61.7,61.67,61.7,1656,0
RCSOJAOPEN.PL,D,20120918,000000,58.11,58.11,58.11,58.11,52,0
RCSOJAOPEN.PL,D,20120919,000000,59.49,59.49,59.49,59.49,40,0
RCSOJAOPEN.PL,D,20120927,000000,57.27,57.27,56.93,56.93,704,0
