<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFSP500.PL,D,20110531,000000,34.471,34.471,32.213,32.213,370,0
ETFSP500.PL,D,20110601,000000,35.309,35.309,31.991,31.991,4088,0
ETFSP500.PL,D,20110602,000000,34.198,34.198,31.627,31.627,3061,0
ETFSP500.PL,D,20110603,000000,31.334,31.334,31.015,31.015,28,0
ETFSP500.PL,D,20110606,000000,31.024,31.024,30.8,30.825,122,0
ETFSP500.PL,D,20110607,000000,30.543,30.57,30.466,30.482,1809,0
ETFSP500.PL,D,20110608,000000,30.274,30.482,30.25,30.379,332,0
ETFSP500.PL,D,20110609,000000,30.419,31.033,30.282,31.033,795,0
ETFSP500.PL,D,20110610,000000,30.645,30.689,30.475,30.619,464,0
ETFSP500.PL,D,20110613,000000,30.17,30.577,30.17,30.475,930,0
ETFSP500.PL,D,20110614,000000,30.162,30.162,30.162,30.162,10,0
ETFSP500.PL,D,20110615,000000,30.809,30.939,30.748,30.748,1050,0
ETFSP500.PL,D,20110616,000000,31.024,31.276,31.024,31.276,354,0
ETFSP500.PL,D,20110617,000000,31.238,31.284,31.228,31.228,101,0
ETFSP500.PL,D,20110620,000000,31.102,31.198,31.06,31.198,217,0
ETFSP500.PL,D,20110621,000000,31.888,31.888,31.248,31.395,663,0
ETFSP500.PL,D,20110622,000000,31.388,31.388,31.388,31.388,41,0
ETFSP500.PL,D,20110624,000000,31.654,31.654,31.325,31.325,187,0
ETFSP500.PL,D,20110627,000000,31.456,31.456,31.456,31.456,57,0
ETFSP500.PL,D,20110628,000000,31.456,31.515,31.456,31.515,287,0
ETFSP500.PL,D,20110629,000000,31.611,31.954,31.611,31.791,117,0
ETFSP500.PL,D,20110630,000000,33.219,33.219,33.219,33.219,10,0
ETFSP500.PL,D,20110701,000000,31.773,31.878,31.549,31.878,938,0
ETFSP500.PL,D,20110704,000000,31.861,31.888,31.861,31.888,41,0
ETFSP500.PL,D,20110705,000000,31.904,31.928,31.904,31.928,2323,0
ETFSP500.PL,D,20110706,000000,32.144,32.267,32.144,32.267,104,0
ETFSP500.PL,D,20110707,000000,32.498,32.706,32.473,32.523,1254,0
ETFSP500.PL,D,20110708,000000,32.455,32.455,32.394,32.394,100,0
ETFSP500.PL,D,20110711,000000,32.878,32.919,32.878,32.919,79,0
ETFSP500.PL,D,20110712,000000,34.198,34.198,33.058,33.058,110,0
ETFSP500.PL,D,20110713,000000,33.249,33.249,33.249,33.249,5,0
ETFSP500.PL,D,20110714,000000,33.611,33.611,32.833,32.904,176,0
ETFSP500.PL,D,20110715,000000,32.713,32.749,32.713,32.749,37,0
ETFSP500.PL,D,20110718,000000,32.982,32.982,32.792,32.792,101,0
ETFSP500.PL,D,20110719,000000,32.749,32.749,32.749,32.749,163,0
ETFSP500.PL,D,20110720,000000,32.938,32.938,32.833,32.833,175,0
ETFSP500.PL,D,20110721,000000,32.963,32.963,32.792,32.792,189,0
ETFSP500.PL,D,20110722,000000,32.757,32.757,32.757,32.757,5,0
ETFSP500.PL,D,20110725,000000,32.73,32.73,32.73,32.73,15,0
ETFSP500.PL,D,20110727,000000,32.172,32.172,32.172,32.172,168,0
ETFSP500.PL,D,20110729,000000,31.983,31.983,31.852,31.852,122,0
ETFSP500.PL,D,20110801,000000,34.198,34.198,31.559,31.559,2538,0
ETFSP500.PL,D,20110802,000000,31.644,31.713,31.644,31.713,1035,0
ETFSP500.PL,D,20110803,000000,31.069,31.11,30.818,30.818,999,0
ETFSP500.PL,D,20110804,000000,31.041,31.041,31.041,31.041,30,0
ETFSP500.PL,D,20110805,000000,29.775,30.162,29.775,29.906,3237,0
ETFSP500.PL,D,20110808,000000,29.043,29.387,29.043,29.182,398,0
ETFSP500.PL,D,20110809,000000,28.37,29.036,28.198,29.036,1025,0
ETFSP500.PL,D,20110810,000000,29.446,29.446,28.783,28.957,786,0
ETFSP500.PL,D,20110811,000000,29.352,29.454,29.077,29.189,524,0
ETFSP500.PL,D,20110812,000000,29.991,30.282,29.887,30,1626,0
ETFSP500.PL,D,20110816,000000,30.162,30.162,30.162,30.162,10,0
ETFSP500.PL,D,20110817,000000,30.291,30.291,30.146,30.146,57,0
ETFSP500.PL,D,20110818,000000,29.913,29.936,29.387,29.387,380,0
ETFSP500.PL,D,20110819,000000,29.156,29.156,28.999,28.999,174,0
ETFSP500.PL,D,20110822,000000,28.931,28.99,28.931,28.99,120,0
ETFSP500.PL,D,20110823,000000,28.904,28.904,28.757,28.757,99,0
ETFSP500.PL,D,20110824,000000,29.352,29.352,29.352,29.352,30,0
ETFSP500.PL,D,20110825,000000,29.646,30.06,29.646,30.06,152,0
ETFSP500.PL,D,20110830,000000,30.448,30.448,30.448,30.448,27,0
ETFSP500.PL,D,20110831,000000,30.785,31.14,30.776,31.028,2704,0
ETFSP500.PL,D,20110901,000000,30.982,30.982,30.982,30.982,25,0
ETFSP500.PL,D,20110902,000000,30.479,30.522,30.479,30.513,1725,0
ETFSP500.PL,D,20110905,000000,30.17,30.17,30.17,30.17,197,0
ETFSP500.PL,D,20110906,000000,30.17,30.17,30.17,30.17,117,0
ETFSP500.PL,D,20110909,000000,32.213,32.402,32.213,32.315,475,0
ETFSP500.PL,D,20110912,000000,31.835,31.835,31.835,31.835,28,0
ETFSP500.PL,D,20110913,000000,32.094,32.094,32.094,32.094,1161,0
ETFSP500.PL,D,20110914,000000,32.792,32.816,32.784,32.816,131,0
ETFSP500.PL,D,20110915,000000,33.04,33.04,33.04,33.04,313,0
ETFSP500.PL,D,20110916,000000,33.298,33.298,33.249,33.249,322,0
ETFSP500.PL,D,20110919,000000,33.947,33.947,33.947,33.947,2,0
ETFSP500.PL,D,20110920,000000,33.782,34.076,33.782,34.076,16,0
ETFSP500.PL,D,20110921,000000,34.301,34.301,34.301,34.301,89,0
ETFSP500.PL,D,20110922,000000,33.178,33.187,33.178,33.178,122,0
ETFSP500.PL,D,20110923,000000,33.611,33.611,32.808,32.808,143,0
ETFSP500.PL,D,20110928,000000,33.756,33.756,33.48,33.713,109,0
ETFSP500.PL,D,20110929,000000,33.178,33.178,33.178,33.178,5,0
ETFSP500.PL,D,20110930,000000,33.296,33.296,33.14,33.14,30,0
ETFSP500.PL,D,20111004,000000,31.799,31.799,31.635,31.635,67,0
ETFSP500.PL,D,20111006,000000,33.006,33.058,33.006,33.058,65,0
ETFSP500.PL,D,20111010,000000,33.04,33.04,33.04,33.04,11,0
ETFSP500.PL,D,20111011,000000,33.464,33.464,33.446,33.446,928,0
ETFSP500.PL,D,20111012,000000,33.307,33.307,33.135,33.135,1161,0
ETFSP500.PL,D,20111013,000000,33.135,33.135,33.135,33.135,1,0
ETFSP500.PL,D,20111019,000000,33.994,33.994,33.994,33.994,6,0
ETFSP500.PL,D,20111024,000000,34.618,34.618,34.592,34.592,9,0
ETFSP500.PL,D,20111027,000000,34.463,34.463,34.403,34.403,311,0
ETFSP500.PL,D,20111028,000000,34.247,34.643,34.247,34.643,353,0
ETFSP500.PL,D,20111031,000000,34.703,34.782,34.703,34.782,25,0
ETFSP500.PL,D,20111102,000000,34.826,34.826,34.592,34.618,429,0
ETFSP500.PL,D,20111103,000000,34.641,34.895,34.641,34.719,1031,0
ETFSP500.PL,D,20111104,000000,34.86,34.86,34.851,34.851,956,0
ETFSP500.PL,D,20111107,000000,35.335,35.335,34.8,34.8,145,0
ETFSP500.PL,D,20111108,000000,35.154,35.335,35.073,35.073,976,0
ETFSP500.PL,D,20111109,000000,35.437,35.437,35.244,35.358,453,0
ETFSP500.PL,D,20111110,000000,35.286,35.286,35.286,35.286,51,0
ETFSP500.PL,D,20111115,000000,35.748,35.748,35.635,35.635,37,0
ETFSP500.PL,D,20111116,000000,36.197,36.197,36.023,36.11,243,0
ETFSP500.PL,D,20111117,000000,35.954,35.954,35.741,35.741,110,0
ETFSP500.PL,D,20111118,000000,35.296,35.365,35.001,35.158,219,0
ETFSP500.PL,D,20111121,000000,32.749,34.929,32.749,34.574,2489,0
ETFSP500.PL,D,20111122,000000,34.574,34.79,34.574,34.79,123,0
ETFSP500.PL,D,20111123,000000,34.385,34.385,34.385,34.385,57,0
ETFSP500.PL,D,20111124,000000,34.679,34.679,34.679,34.679,3,0
ETFSP500.PL,D,20111125,000000,35.262,35.262,35.262,35.262,3,0
ETFSP500.PL,D,20111128,000000,35.317,35.875,35.317,35.875,566,0
ETFSP500.PL,D,20111129,000000,35.87,35.978,35.822,35.978,255,0
ETFSP500.PL,D,20111130,000000,36.491,36.538,36.491,36.538,145,0
ETFSP500.PL,D,20111201,000000,36.738,36.738,36.709,36.709,356,0
ETFSP500.PL,D,20111202,000000,36.815,37.174,36.815,37.174,23,0
ETFSP500.PL,D,20111205,000000,36.921,36.921,36.86,36.86,290,0
ETFSP500.PL,D,20111206,000000,36.972,36.972,36.86,36.86,347,0
ETFSP500.PL,D,20111209,000000,37.017,37.017,37.017,37.017,798,0
ETFSP500.PL,D,20111212,000000,37.269,37.452,37.225,37.372,3502,0
ETFSP500.PL,D,20111213,000000,37.601,37.601,37.601,37.601,4,0
ETFSP500.PL,D,20111214,000000,39.703,39.703,37.907,37.907,82,0
ETFSP500.PL,D,20111215,000000,37.574,37.574,37.191,37.191,301,0
ETFSP500.PL,D,20111216,000000,37.312,37.312,37.197,37.197,60,0
ETFSP500.PL,D,20111219,000000,37.094,37.243,36.999,36.999,1330,0
ETFSP500.PL,D,20111220,000000,36.658,36.658,36.658,36.658,39,0
ETFSP500.PL,D,20111221,000000,37.34,37.34,37.269,37.269,35,0
ETFSP500.PL,D,20111222,000000,37.366,37.497,37.366,37.427,261,0
ETFSP500.PL,D,20111223,000000,37.774,37.774,37.774,37.774,40,0
ETFSP500.PL,D,20111227,000000,37.73,37.748,37.601,37.644,107,0
ETFSP500.PL,D,20111228,000000,37.967,37.967,37.522,37.522,188,0
ETFSP500.PL,D,20111229,000000,37.74,38.097,37.74,37.949,714,0
ETFSP500.PL,D,20111230,000000,38.026,38.405,38.026,38.405,531,0
ETFSP500.PL,D,20120103,000000,38.097,38.823,38.097,38.552,689,0
ETFSP500.PL,D,20120104,000000,38.665,39.05,38.552,38.919,1663,0
ETFSP500.PL,D,20120105,000000,39.258,39.503,39.258,39.459,879,0
ETFSP500.PL,D,20120109,000000,43.107,43.107,39.721,39.721,391,0
