<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCDRM20,D,20190923,000000,236.93,236.93,236.93,236.93,1,1
FCDRM20,D,20191003,000000,234.53,234.53,234.53,234.53,1,2
FCDRM20,D,20191015,000000,246.33,246.33,244.73,246.28,7,9
FCDRM20,D,20191021,000000,232.01,232.01,232.01,232.01,1,10
FCDRM20,D,20191023,000000,234,234,234,234,1,10
FCDRM20,D,20191031,000000,254.11,254.11,254.11,254.11,1,11
FCDRM20,D,20191105,000000,257.09,257.68,255.44,255.44,3,13
FCDRM20,D,20191106,000000,257.72,257.72,257.72,257.72,1,14
FCDRM20,D,20191107,000000,260.65,267.67,260.65,266.67,4,16
FCDRM20,D,20191108,000000,262.44,262.89,262.22,262.22,5,15
FCDRM20,D,20191122,000000,264.84,264.84,264.84,264.84,1,16
FCDRM20,D,20191128,000000,268,268,268,268,2,16
FCDRM20,D,20191129,000000,268.00,268.00,262.77,262.77,4,18
FCDRM20,D,20191202,000000,260,260,260,260,1,17
FCDRM20,D,20191211,000000,257.1,257.1,257.1,257.1,1,17
FCDRM20,D,20191219,000000,268,268,268,268,2,17
FCDRM20,D,20191220,000000,268,268,268,268,4,20
FCDRM20,D,20191223,000000,276.44,277.67,276.44,277.67,4,21
FCDRM20,D,20191230,000000,280,280,280,280,1,21
FCDRM20,D,20200102,000000,282,283.89,281.9,283.89,3,23
FCDRM20,D,20200103,000000,285,285,282,282,3,23
FCDRM20,D,20200108,000000,280.55,281.5,280.55,281.5,3,23
FCDRM20,D,20200110,000000,291,291,283,283,8,29
FCDRM20,D,20200113,000000,285.8,291.58,285.4,291.58,18,28
FCDRM20,D,20200114,000000,289.15,289.15,286.5,288.5,4,31
FCDRM20,D,20200115,000000,286,286,283.9,283.9,6,32
FCDRM20,D,20200116,000000,280.01,280.01,280,280,2,32
FCDRM20,D,20200117,000000,250,266,245,266,16,34
FCDRM20,D,20200120,000000,266.11,282.00,266.11,277.50,15,26
FCDRM20,D,20200121,000000,280.93,280.93,277.5,278,11,33
FCDRM20,D,20200122,000000,280.50,283.70,277.50,277.50,12,30
FCDRM20,D,20200123,000000,276.00,278.40,274.00,274.00,7,34
FCDRM20,D,20200124,000000,273.7,277.5,273.7,276,8,36
FCDRM20,D,20200127,000000,275,276,271,271,14,38
FCDRM20,D,20200128,000000,274.5,275,274.5,275,7,32
FCDRM20,D,20200129,000000,275.40,275.70,275.40,275.70,6,31
FCDRM20,D,20200130,000000,276.50,277.30,276.50,276.60,11,31
FCDRM20,D,20200131,000000,277.90,280.10,275.25,280.10,10,33
FCDRM20,D,20200203,000000,280.98,293,280.98,292.96,30,38
FCDRM20,D,20200204,000000,294.00,302.90,294.00,302.89,20,36
FCDRM20,D,20200205,000000,307.20,318.00,307.20,310.00,39,45
FCDRM20,D,20200206,000000,309.80,312.00,306.30,311.00,7,44
FCDRM20,D,20200207,000000,312.77,313.83,309.6,309.6,7,44
FCDRM20,D,20200210,000000,310,311.81,310,310.9,5,45
FCDRM20,D,20200211,000000,312.3,314.1,312,312,5,43
FCDRM20,D,20200212,000000,313.30,313.30,313.30,313.30,1,43
FCDRM20,D,20200213,000000,320.88,320.88,315,315,3,43
FCDRM20,D,20200214,000000,318.10,325.50,317.00,323.06,19,50
FCDRM20,D,20200217,000000,326,333.44,324,324,21,48
FCDRM20,D,20200218,000000,325.8,328.5,325.8,328.5,6,50
FCDRM20,D,20200220,000000,329.5,329.5,326.5,327.9,6,54
FCDRM20,D,20200221,000000,323.90,333.60,323.90,330.25,7,55
FCDRM20,D,20200224,000000,323.69,327.16,318.68,318.68,24,67
FCDRM20,D,20200225,000000,323.60,323.60,309.35,309.35,13,68
FCDRM20,D,20200226,000000,303.00,313.96,298.30,307.50,36,68
FCDRM20,D,20200227,000000,304.40,309.65,290.44,290.57,63,78
FCDRM20,D,20200228,000000,285.40,285.40,262.40,276.70,123,134
FCDRM20,D,20200302,000000,281.00,296.10,272.87,283.90,47,143
