<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FKGHM20,D,20191001,000000,78.2,78.2,78.2,78.2,1,1
FKGHM20,D,20191003,000000,75.6,75.6,75.6,75.6,2,3
FKGHM20,D,20191004,000000,74.75,74.75,74.75,74.75,1,3
FKGHM20,D,20191007,000000,76.8,76.8,76.8,76.8,1,3
FKGHM20,D,20191008,000000,78.1,78.1,78.1,78.1,1,3
FKGHM20,D,20191011,000000,79.5,81,79.5,81,2,3
FKGHM20,D,20191015,000000,80,80,78.75,78.75,2,4
FKGHM20,D,20191016,000000,77.75,77.75,77.75,77.75,1,4
FKGHM20,D,20191021,000000,81.02,81.02,81.02,81.02,2,2
FKGHM20,D,20191022,000000,82,82,82,82,1,2
FKGHM20,D,20191023,000000,81.75,81.75,81.75,81.75,1,2
FKGHM20,D,20191024,000000,82.5,83,82.5,83,21,9
FKGHM20,D,20191028,000000,83.5,83.5,83.5,83.5,1,9
FKGHM20,D,20191029,000000,85.1,85.1,85.1,85.1,1,9
FKGHM20,D,20191030,000000,85.54,85.54,85.54,85.54,1,9
FKGHM20,D,20191031,000000,85.50,85.50,85.50,85.50,6,3
FKGHM20,D,20191105,000000,91.2,91.2,91.2,91.2,1,3
FKGHM20,D,20191108,000000,96,96,96,96,1,3
FKGHM20,D,20191112,000000,97,97,97,97,1,3
FKGHM20,D,20191120,000000,91.5,91.5,91.5,91.5,5,8
FKGHM20,D,20191125,000000,92,92,92,92,5,3
FKGHM20,D,20191206,000000,91,92,91,92,4,5
FKGHM20,D,20191209,000000,92,92,92,92,1,6
FKGHM20,D,20191210,000000,94,94,94,94,1,6
FKGHM20,D,20191211,000000,93,93,93,93,1,5
FKGHM20,D,20191212,000000,94,94,94,94,1,6
FKGHM20,D,20191213,000000,96.4,97.69,96.03,97.69,16,21
FKGHM20,D,20191217,000000,96.97,97.1442,96.97,97.1442,2,23
FKGHM20,D,20191218,000000,96,96,96,96,1,22
FKGHM20,D,20191219,000000,95.53,95.53,95.53,95.53,1,22
FKGHM20,D,20191223,000000,94.56,94.56,94.56,94.56,1,22
FKGHM20,D,20191227,000000,97.5,97.5,97.5,97.5,1,22
FKGHM20,D,20191230,000000,95.68,95.68,95.68,95.68,1,23
FKGHM20,D,20200102,000000,97,99.7,96.95,97.31,5,28
FKGHM20,D,20200103,000000,96,96,96,96,1,27
FKGHM20,D,20200107,000000,97,97,96.3,96.3,9,29
FKGHM20,D,20200110,000000,98,98,97.72,97.72,3,31
FKGHM20,D,20200113,000000,99.5,99.5,99.5,99.5,2,31
FKGHM20,D,20200115,000000,99.87,99.87,99.87,99.87,5,36
FKGHM20,D,20200116,000000,101.29,101.29,99.8,99.8,6,41
FKGHM20,D,20200120,000000,100.35,100.35,100.35,100.35,1,42
FKGHM20,D,20200121,000000,99,99,98,98,4,45
FKGHM20,D,20200124,000000,99.37,99.4,97.6,97.6,12,49
FKGHM20,D,20200127,000000,96.5,96.5,93.25,93.25,13,45
FKGHM20,D,20200128,000000,92.9,92.9,92.9,92.9,3,46
FKGHM20,D,20200129,000000,94.50,94.50,93.89,93.89,2,47
FKGHM20,D,20200131,000000,92.00,92.00,91.70,91.70,4,46
FKGHM20,D,20200203,000000,91.12,91.14,91.12,91.14,2,46
FKGHM20,D,20200205,000000,98.00,99.50,98.00,99.50,7,48
FKGHM20,D,20200207,000000,96.85,96.85,96.85,96.85,1,48
FKGHM20,D,20200211,000000,93.6,93.62,93.6,93.62,2,46
FKGHM20,D,20200212,000000,95.78,95.78,95.78,95.78,1,46
FKGHM20,D,20200213,000000,97,97,94.7,94.7,13,48
FKGHM20,D,20200219,000000,94.30,94.30,94.30,94.30,2,48
FKGHM20,D,20200220,000000,94.99,94.99,91.66,91.66,3,48
FKGHM20,D,20200221,000000,91.60,91.60,91.60,91.60,1,48
FKGHM20,D,20200224,000000,88,88,84.52,84.52,8,48
FKGHM20,D,20200225,000000,85.98,85.98,85.98,85.98,2,48
FKGHM20,D,20200226,000000,82.53,82.53,80.70,80.70,5,46
FKGHM20,D,20200227,000000,80.40,81.00,77.00,77.00,23,43
FKGHM20,D,20200228,000000,74.70,75.00,70.05,71.29,24,44
FKGHM20,D,20200302,000000,73.99,75.78,73.23,73.23,7,47
FKGHM20,D,20200303,000000,75.07,77.78,75.07,77.50,23,52
FKGHM20,D,20200304,000000,77.70,79.00,76.40,76.40,18,58
FKGHM20,D,20200305,000000,76.50,76.50,73.42,74.18,14,60
FKGHM20,D,20200306,000000,71.70,71.70,70.00,70.30,29,62
FKGHM20,D,20200309,000000,66.00,66.00,62.03,62.50,36,78
FKGHM20,D,20200310,000000,64.99,66.71,62.37,62.37,35,80
FKGHM20,D,20200311,000000,62.94,63.00,58.80,58.80,46,75
FKGHM20,D,20200312,000000,55.00,55.00,50.00,50.42,102,113
FKGHM20,D,20200313,000000,52.66,56.61,51.00,52.71,80,129
FKGHM20,D,20200316,000000,50.00,52.20,48.30,51.80,130,193
FKGHM20,D,20200317,000000,51.50,56.40,51.00,54.02,148,208
FKGHM20,D,20200318,000000,52.99,54.02,50.00,52.49,313,365
FKGHM20,D,20200319,000000,53.49,57.70,51.30,56.40,451,603
FKGHM20,D,20200320,000000,58.45,61.78,56.40,56.40,960,969
FKGHM20,D,20200323,000000,53.50,56.95,53.00,53.75,1062,1178
FKGHM20,D,20200324,000000,57.00,57.77,55.61,57.66,829,1261
FKGHM20,D,20200325,000000,60.00,60.19,55.70,57.70,1533,1440
FKGHM20,D,20200326,000000,55.78,59.00,55.70,58.76,1144,1405
FKGHM20,D,20200327,000000,58.76,59.00,56.68,57.20,532,1365
FKGHM20,D,20200330,000000,57.05,57.98,55.90,56.94,520,1375
FKGHM20,D,20200331,000000,57.52,59.30,57.50,59.25,985,1471
FKGHM20,D,20200401,000000,58.50,58.95,57.37,58.43,824,1515
FKGHM20,D,20200402,000000,58.71,59.26,56.80,57.90,815,1543
FKGHM20,D,20200403,000000,57.95,58.70,56.85,58.70,594,1546
FKGHM20,D,20200406,000000,62.00,64.98,60.35,64.41,1231,1463
FKGHM20,D,20200407,000000,66.32,71.00,66.27,68.55,1692,1472
FKGHM20,D,20200408,000000,68.39,69.20,67.00,67.53,885,1401
FKGHM20,D,20200409,000000,68.10,69.86,66.72,68.74,1083,1607
FKGHM20,D,20200414,000000,72.88,75.45,71.26,74.50,1293,1807
FKGHM20,D,20200415,000000,74.76,75.40,69.20,69.90,1312,1691
FKGHM20,D,20200416,000000,70.12,71.00,69.10,70.41,921,1806
FKGHM20,D,20200417,000000,72.50,73.88,71.93,72.00,740,1842
FKGHM20,D,20200420,000000,71.98,72.80,70.70,72.80,533,1827
FKGHM20,D,20200421,000000,71.50,71.50,68.64,69.24,1226,2010
FKGHM20,D,20200422,000000,69.25,71.99,67.51,71.75,1095,1937
FKGHM20,D,20200423,000000,72.50,73.40,71.00,73.25,754,1907
FKGHM20,D,20200424,000000,72.20,73.67,71.97,72.69,568,1905
FKGHM20,D,20200427,000000,73.80,74.44,71.32,72.02,527,1867
FKGHM20,D,20200428,000000,71.80,73.58,70.66,72.80,546,1923
FKGHM20,D,20200429,000000,72.82,78.10,72.82,77.55,958,1927
FKGHM20,D,20200430,000000,78.10,78.98,75.50,76.50,782,1888
FKGHM20,D,20200504,000000,74.90,74.90,72.98,73.66,646,1772
FKGHM20,D,20200505,000000,74.49,75.80,74.00,74.40,473,1821
FKGHM20,D,20200506,000000,75.29,75.30,73.24,73.90,405,1819
FKGHM20,D,20200507,000000,74.00,75.60,72.75,74.57,556,1852
FKGHM20,D,20200508,000000,76.12,77.00,75.95,76.51,551,2010
FKGHM20,D,20200511,000000,77.00,77.80,74.44,75.15,596,1963
FKGHM20,D,20200512,000000,74.94,76.21,74.20,75.30,535,1977
FKGHM20,D,20200513,000000,75.00,75.28,73.50,73.65,469,1935
FKGHM20,D,20200514,000000,73.02,73.91,70.80,71.80,1115,1967
FKGHM20,D,20200515,000000,72.80,74.50,72.44,72.70,1042,2284
FKGHM20,D,20200518,000000,74.10,80.89,74.00,80.89,2624,3189
FKGHM20,D,20200519,000000,81.11,83.50,80.10,82.55,1800,3247
FKGHM20,D,20200520,000000,82.40,83.38,81.10,83.11,1214,3137
FKGHM20,D,20200521,000000,82.98,82.98,80.75,80.90,884,2868
