<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMBK,D,20160922,000000,349.6,356.35,349.6,355.95,5,3
FMBK,D,20160923,000000,350,350,345,345,2,4
FMBK,D,20160926,000000,342.7,342.7,342.7,342.7,1,4
FMBK,D,20160928,000000,354.2,354.2,352.8,353.5,5,9
FMBK,D,20160929,000000,346.5,346.6,341.3,346.6,6,11
FMBK,D,20160930,000000,340.35,350.3,340.35,345,4,11
FMBK,D,20161003,000000,344.95,345.2,344.8,344.8,3,11
FMBK,D,20161006,000000,349.3,349.3,348.3,348.3,2,10
FMBK,D,20161007,000000,347.35,347.35,347.35,347.35,1,10
FMBK,D,20161010,000000,342.8,347.8,342.8,347.8,2,11
FMBK,D,20161012,000000,339.8,346.7,339.8,346.7,3,10
FMBK,D,20161017,000000,341.1,341.1,332.5,332.5,6,10
FMBK,D,20161018,000000,333.5,335.1,332.5,335.1,3,11
FMBK,D,20161019,000000,334,340.15,333.6,335.2,4,11
FMBK,D,20161020,000000,335.1,339,335.1,339,3,10
FMBK,D,20161024,000000,338.45,343,338.45,343,12,13
FMBK,D,20161025,000000,347,356.5,347,351,28,20
FMBK,D,20161026,000000,350,350,344.4,344.4,5,22
FMBK,D,20161027,000000,348.5,348.5,348.5,348.5,2,23
FMBK,D,20161028,000000,342.5,349,342.5,349,5,25
FMBK,D,20161031,000000,349.9,352,349.9,352,4,22
FMBK,D,20161102,000000,355,355,341.35,341.35,5,24
FMBK,D,20161103,000000,338,338,338,338,1,24
FMBK,D,20161107,000000,341.4,341.4,341.4,341.4,1,23
FMBK,D,20161108,000000,345.8,348.75,345.05,348.75,15,34
FMBK,D,20161109,000000,342.5,345,342,345,3,34
FMBK,D,20161110,000000,353.45,361,351.8,351.8,28,55
FMBK,D,20161114,000000,356.5,356.5,340,340.85,6,55
FMBK,D,20161116,000000,340,340,335,337,24,38
FMBK,D,20161117,000000,340.35,340.35,336.75,339.3,9,41
FMBK,D,20161118,000000,333,335.65,323.8,331.5,10,39
FMBK,D,20161122,000000,331.3,331.3,329.2,329.2,11,35
FMBK,D,20161123,000000,330.3,332,330.2,331.5,8,30
FMBK,D,20161125,000000,322.6,322.6,319.8,321.5,14,26
FMBK,D,20161128,000000,330.9,330.9,314.9,314.9,24,26
FMBK,D,20161130,000000,324,325,321.4,325,5,26
FMBK,D,20161201,000000,327.5,327.5,324.5,324.5,4,24
FMBK,D,20161205,000000,325,328.05,325,328.05,3,25
FMBK,D,20161206,000000,343.8,354,343.8,354,10,20
FMBK,D,20161207,000000,351,351,344,345,24,22
FMBK,D,20161208,000000,342,351.65,342,351.65,11,22
FMBK,D,20161209,000000,342,342,340.2,341,4,24
FMBK,D,20161212,000000,344,344,344,344,2,24
FMBK,D,20161213,000000,347,354.3,345.15,345.15,17,35
FMBK,D,20161214,000000,350,350,347.5,347.5,3,33
FMBK,D,20161216,000000,347.3,350.5,347.3,348,11,25
FMBK,D,20161219,000000,341,341,339,339,3,6
FMBK,D,20161221,000000,341,347,341,347,2,7
FMBK,D,20161222,000000,337.75,337.75,336,336.7,6,12
FMBK,D,20161223,000000,337,337,332.1,333,7,12
FMBK,D,20161227,000000,331.5,331.5,329,329,2,13
FMBK,D,20161228,000000,330.55,330.55,330.55,330.55,1,12
FMBK,D,20161230,000000,334,334,334,334,1,12
FMBK,D,20170102,000000,334.85,335.95,333,333,5,12
FMBK,D,20170103,000000,339.5,339.5,339.5,339.5,3,12
FMBK,D,20170104,000000,330.95,342.55,330.95,342.55,23,22
FMBK,D,20170105,000000,337.95,339.65,337.95,337.95,9,30
FMBK,D,20170109,000000,338.5,344.1,338.5,344.1,3,30
FMBK,D,20170110,000000,345.9,348.8,345.9,348.8,3,28
FMBK,D,20170111,000000,347.15,349.55,347.15,349.55,2,28
FMBK,D,20170112,000000,355,355.2,353.5,353.5,13,28
FMBK,D,20170113,000000,361.3,361.3,361.3,361.3,3,27
FMBK,D,20170116,000000,341.1,350.8,341,349.4,10,22
FMBK,D,20170117,000000,345.85,345.85,345.85,345.85,1,22
FMBK,D,20170118,000000,343,343,343,343,1,22
FMBK,D,20170119,000000,344,344,344,344,10,27
FMBK,D,20170120,000000,353,353,353,353,1,27
FMBK,D,20170125,000000,360,380,360,380,9,24
FMBK,D,20170126,000000,380,380,375.15,375.15,5,24
FMBK,D,20170127,000000,372.2,372.2,372.2,372.2,1,24
FMBK,D,20170201,000000,380.5,388.5,380.5,387,7,28
FMBK,D,20170202,000000,388.15,390.8,388.15,389,10,33
FMBK,D,20170203,000000,387,390,387,390,2,32
FMBK,D,20170206,000000,384,384.05,368,368,5,31
FMBK,D,20170207,000000,373.1,378,373.1,378,9,33
FMBK,D,20170208,000000,385,392.05,382.3,392,9,36
FMBK,D,20170209,000000,408.75,411,408.75,411,7,40
FMBK,D,20170210,000000,418.3,439,418.3,419.1,26,31
FMBK,D,20170213,000000,417.05,418.6,411,411.85,16,30
FMBK,D,20170214,000000,409.95,411.8,409.95,411.8,3,32
FMBK,D,20170215,000000,414,414.1,412.55,414,4,31
FMBK,D,20170216,000000,405.05,413.65,404,405,27,41
FMBK,D,20170217,000000,406.9,407,395,401.2,31,33
FMBK,D,20170220,000000,407,407.5,406,406,7,35
FMBK,D,20170221,000000,409,416,409,416,5,34
FMBK,D,20170222,000000,420,423.9,419.1,421.8,14,36
FMBK,D,20170223,000000,423.85,427.85,423.85,425.05,5,37
FMBK,D,20170224,000000,424.1,424.1,408.15,408.15,5,36
FMBK,D,20170227,000000,408.5,409.9,408.5,409.9,4,40
FMBK,D,20170301,000000,411.9,418,411.9,418,5,42
FMBK,D,20170302,000000,419.4,419.4,401.2,404,7,42
FMBK,D,20170303,000000,400,403.2,399.9,403.2,9,42
FMBK,D,20170306,000000,398.2,398.2,397,397,2,42
FMBK,D,20170307,000000,395,399.1,392.9,399.1,5,40
FMBK,D,20170309,000000,401.75,401.75,389.2,396.85,4,39
FMBK,D,20170310,000000,393.05,393.05,385.4,385.4,9,44
FMBK,D,20170313,000000,386.25,391.65,385.6,391,17,44
FMBK,D,20170314,000000,396,398,390.95,398,15,41
FMBK,D,20170316,000000,404,405,403.05,403.05,4,40
FMBK,D,20170317,000000,403.5,404,402,402.5,15,40
FMBK,D,20170320,000000,397.5,397.5,397.25,397.4,3,11
FMBK,D,20170321,000000,401,402,390,390,6,13
FMBK,D,20170322,000000,383.25,390,383.25,386.1,3,15
FMBK,D,20170323,000000,388.6,393.5,388.6,393.5,3,14
FMBK,D,20170324,000000,396.25,398.4,395,397.65,6,14
FMBK,D,20170327,000000,391,391,389,389,3,16
FMBK,D,20170328,000000,392,398,392,398,6,18
FMBK,D,20170329,000000,400.4,400.4,389.5,394,4,18
FMBK,D,20170330,000000,385,385,385,385,1,18
FMBK,D,20170331,000000,384.25,384.25,374,377.35,10,17
FMBK,D,20170403,000000,376.5,380,376.5,380,2,17
FMBK,D,20170404,000000,380.6,385.25,379.5,385.25,6,17
FMBK,D,20170405,000000,387.9,389.9,387.9,389.9,3,16
FMBK,D,20170406,000000,388,388,388,388,1,16
FMBK,D,20170407,000000,384.8,387.95,384.8,387.95,2,17
FMBK,D,20170410,000000,381,381,377.65,378.35,4,17
FMBK,D,20170411,000000,370.1,370.1,366.4,366.4,3,16
FMBK,D,20170412,000000,374,379.9,374,379.9,7,14
FMBK,D,20170413,000000,375,375,375,375,1,14
FMBK,D,20170418,000000,376,376,374,374,4,15
FMBK,D,20170419,000000,378,386.6,378,386.6,7,14
FMBK,D,20170420,000000,387.9,389,387.9,389,4,13
FMBK,D,20170421,000000,392.2,392.2,390,390,2,13
FMBK,D,20170424,000000,398.7,398.7,398.7,398.7,1,13
FMBK,D,20170425,000000,398.7,417.9,398.7,417.9,5,13
FMBK,D,20170428,000000,418.35,428.8,418.35,428.8,3,14
FMBK,D,20170502,000000,431.05,434.8,428.45,431.25,8,13
FMBK,D,20170504,000000,439,440.1,439,440.1,2,15
FMBK,D,20170505,000000,438,438,438,438,1,15
FMBK,D,20170509,000000,442.95,451,442.95,451,6,17
FMBK,D,20170510,000000,455,455,442.6,442.6,9,14
FMBK,D,20170516,000000,430,430,430,430,1,12
FMBK,D,20170517,000000,434.4,434.4,434.4,434.4,1,11
FMBK,D,20170518,000000,420,423.45,420,423.45,2,10
FMBK,D,20170523,000000,428,428,425.7,425.7,2,10
FMBK,D,20170524,000000,415.5,422,415.5,422,3,11
FMBK,D,20170525,000000,427,427,425.1,425.1,2,10
FMBK,D,20170526,000000,427.5,427.5,427.5,427.5,1,10
FMBK,D,20170530,000000,422,422,422,422,1,10
FMBK,D,20170531,000000,420.4,425.8,420.4,425.8,3,10
FMBK,D,20170602,000000,429.7,439.9,429.7,439.9,4,10
