<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPEOH21,D,20200625,000000,54.66,54.66,54.51,54.51,5,5
FPEOH21,D,20200626,000000,54.98,54.98,54.13,54.13,2,7
FPEOH21,D,20200629,000000,53.70,53.70,53.70,53.70,1,8
FPEOH21,D,20200630,000000,53.86,53.86,53.86,53.86,1,9
FPEOH21,D,20200701,000000,54.34,54.34,53.92,53.92,4,13
FPEOH21,D,20200709,000000,56.16,56.16,56.16,56.16,1,14
FPEOH21,D,20200714,000000,56.59,56.59,56.59,56.59,1,15
FPEOH21,D,20200716,000000,56.87,56.87,56.87,56.87,1,16
FPEOH21,D,20200721,000000,58.85,58.85,58.85,58.85,1,16
FPEOH21,D,20200722,000000,57.23,57.23,57.23,57.23,5,21
FPEOH21,D,20200723,000000,55.65,55.76,55.65,55.76,4,24
FPEOH21,D,20200724,000000,55.30,55.30,55.30,55.30,2,26
FPEOH21,D,20200727,000000,55.00,55.00,53.59,54.30,16,26
FPEOH21,D,20200728,000000,53.74,53.74,53.74,53.74,2,26
FPEOH21,D,20200729,000000,54.01,54.01,53.60,53.60,3,28
FPEOH21,D,20200731,000000,51.63,51.63,51.47,51.47,5,33
FPEOH21,D,20200803,000000,51.11,51.11,51.11,51.11,1,33
FPEOH21,D,20200805,000000,55.21,55.21,55.21,55.21,1,34
FPEOH21,D,20200806,000000,54.10,54.10,54.10,54.10,1,35
FPEOH21,D,20200810,000000,54.39,54.65,54.39,54.65,11,46
FPEOH21,D,20200812,000000,56.00,56.00,56.00,56.00,1,47
FPEOH21,D,20200813,000000,57.00,57.00,56.15,56.80,11,41
FPEOH21,D,20200814,000000,56.25,56.69,56.25,56.69,3,42
FPEOH21,D,20200817,000000,56.00,56.35,56.00,56.35,2,44
FPEOH21,D,20200818,000000,55.19,55.19,55.19,55.19,2,46
FPEOH21,D,20200819,000000,54.67,54.67,54.67,54.67,1,47
FPEOH21,D,20200821,000000,53.52,53.52,53.52,53.52,1,47
FPEOH21,D,20200824,000000,54.98,54.98,54.98,54.98,1,47
FPEOH21,D,20200826,000000,54.91,54.93,54.91,54.93,2,46
FPEOH21,D,20200827,000000,54.83,54.83,54.83,54.83,1,46
FPEOH21,D,20200901,000000,52.50,52.50,51.46,51.56,16,62
FPEOH21,D,20200902,000000,50.89,51.55,50.89,51.55,2,62
FPEOH21,D,20200903,000000,52.34,52.37,51.45,51.45,8,68
FPEOH21,D,20200904,000000,51.69,51.69,51.69,51.69,4,72
FPEOH21,D,20200908,000000,49.04,50.00,49.04,50.00,12,70
FPEOH21,D,20200910,000000,51.40,51.80,51.40,51.80,2,70
FPEOH21,D,20200914,000000,52.50,52.50,52.50,52.50,1,71
FPEOH21,D,20200915,000000,52.20,52.20,52.20,52.20,1,70
FPEOH21,D,20200916,000000,51.78,51.80,51.33,51.41,10,72
FPEOH21,D,20200917,000000,51.33,52.02,50.92,52.02,48,100
FPEOH21,D,20200918,000000,51.80,51.80,51.25,51.27,22,118
FPEOH21,D,20200921,000000,50.75,50.75,49.30,49.75,12,124
FPEOH21,D,20200922,000000,49.00,49.87,49.00,49.87,2,123
FPEOH21,D,20200923,000000,49.00,49.19,48.84,49.19,8,127
FPEOH21,D,20200924,000000,48.52,48.89,48.50,48.89,9,127
FPEOH21,D,20200925,000000,49.00,49.65,48.50,48.50,5,125
FPEOH21,D,20200928,000000,50.06,50.06,50.06,50.06,2,125
FPEOH21,D,20200929,000000,49.35,50.01,49.35,50.01,2,124
FPEOH21,D,20200930,000000,50.26,51.15,50.20,50.20,5,122
FPEOH21,D,20201001,000000,50.72,50.72,50.72,50.72,1,121
FPEOH21,D,20201002,000000,50.07,50.71,50.03,50.15,6,120
FPEOH21,D,20201005,000000,51.85,52.00,51.46,51.46,5,120
FPEOH21,D,20201006,000000,53.00,55.01,53.00,55.01,14,126
FPEOH21,D,20201007,000000,54.20,54.20,54.20,54.20,1,126
FPEOH21,D,20201008,000000,54.20,54.20,54.20,54.20,3,123
FPEOH21,D,20201013,000000,51.66,51.66,51.00,51.00,8,122
FPEOH21,D,20201014,000000,51.00,51.00,50.67,50.80,10,122
FPEOH21,D,20201015,000000,50.30,50.30,48.50,48.50,8,125
FPEOH21,D,20201016,000000,48,48.79,47.7542,48.79,17,135
