<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPKNH21,D,20200714,000000,63.00,63.00,61.00,62.98,12,11
FPKNH21,D,20200715,000000,61.00,61.00,61.00,61.00,1,10
FPKNH21,D,20200717,000000,60.16,60.16,60.16,60.16,1,11
FPKNH21,D,20200720,000000,58.25,58.25,58.25,58.25,1,12
FPKNH21,D,20200721,000000,60.25,62.35,59.36,59.36,3,11
FPKNH21,D,20200722,000000,61.36,61.36,57.36,57.36,3,11
FPKNH21,D,20200723,000000,59.36,59.36,59.36,59.36,1,10
FPKNH21,D,20200730,000000,55.10,55.10,54.10,54.10,2,12
FPKNH21,D,20200731,000000,54.37,54.37,54.37,54.37,1,13
FPKNH21,D,20200803,000000,52.40,52.40,52.40,52.40,1,14
FPKNH21,D,20200811,000000,54.63,54.63,54.63,54.63,1,15
FPKNH21,D,20200813,000000,55.84,55.84,55.84,55.84,1,15
FPKNH21,D,20200819,000000,54.26,54.26,54.26,54.26,4,19
FPKNH21,D,20200824,000000,54.23,54.23,54.23,54.23,1,20
FPKNH21,D,20200901,000000,50.95,50.95,50.40,50.40,2,22
FPKNH21,D,20200904,000000,51.08,51.08,51.08,51.08,1,22
FPKNH21,D,20200907,000000,51.08,51.40,51.08,51.40,2,23
FPKNH21,D,20200908,000000,49.61,49.70,48.63,48.63,4,24
FPKNH21,D,20200909,000000,49.43,49.50,49.43,49.43,6,30
FPKNH21,D,20200914,000000,50.42,50.42,50.42,50.42,2,32
FPKNH21,D,20200915,000000,48.66,48.66,48.66,48.66,1,31
FPKNH21,D,20200917,000000,49.00,49.63,49.00,49.63,6,32
FPKNH21,D,20200918,000000,49.51,49.51,49.36,49.36,2,34
FPKNH21,D,20200921,000000,47.10,47.10,47.00,47.00,2,36
FPKNH21,D,20200922,000000,45.83,46.26,45.83,46.26,11,47
FPKNH21,D,20200924,000000,44.72,44.72,44.72,44.72,1,48
FPKNH21,D,20200925,000000,45.00,45.00,45.00,45.00,3,51
FPKNH21,D,20200928,000000,45.81,46.83,45.81,46.83,6,57
FPKNH21,D,20200929,000000,46.50,46.50,45.45,45.65,6,59
FPKNH21,D,20201005,000000,46.20,46.35,46.20,46.35,3,61
FPKNH21,D,20201006,000000,46.80,46.80,46.80,46.80,1,60
FPKNH21,D,20201008,000000,46.80,46.80,46.80,46.80,1,60
FPKNH21,D,20201009,000000,45.60,45.84,45.60,45.84,2,59
FPKNH21,D,20201012,000000,45.89,45.89,45.89,45.89,1,59
FPKNH21,D,20201013,000000,44.00,44.00,44.00,44.00,1,60
FPKNH21,D,20201014,000000,43.78,43.78,43.78,43.78,1,60
FPKNH21,D,20201015,000000,42.09,42.09,42.00,42.06,3,63
