<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUSDU20,D,20190924,000000,3.98,3.98,3.97,3.97,3,3
FUSDU20,D,20190925,000000,3.97,3.97,3.97,3.97,5,8
FUSDU20,D,20190930,000000,3.99,3.99,3.99,3.99,4,12
FUSDU20,D,20191001,000000,4,4,3.99,3.99,9,16
FUSDU20,D,20191002,000000,3.98,3.98,3.97,3.97,22,37
FUSDU20,D,20191003,000000,3.97,3.97,3.93,3.94,42,31
FUSDU20,D,20191004,000000,3.92,3.92,3.92,3.92,1,31
FUSDU20,D,20191007,000000,3.94,3.94,3.93,3.93,14,41
FUSDU20,D,20191008,000000,3.94,3.94,3.93,3.93,2,42
FUSDU20,D,20191009,000000,3.93,3.93,3.91,3.91,2,43
FUSDU20,D,20191010,000000,3.92,3.92,3.91,3.91,13,55
FUSDU20,D,20191011,000000,3.9,3.9,3.88,3.88,5,57
FUSDU20,D,20191015,000000,3.89,3.9,3.88,3.88,61,77
FUSDU20,D,20191016,000000,3.89,3.89,3.88,3.88,11,77
FUSDU20,D,20191017,000000,3.88,3.88,3.84,3.84,75,82
FUSDU20,D,20191021,000000,3.83,3.83,3.83,3.83,6,78
FUSDU20,D,20191022,000000,3.84,3.84,3.83,3.83,22,78
FUSDU20,D,20191023,000000,3.84,3.84,3.84,3.84,16,78
FUSDU20,D,20191024,000000,3.83,3.83,3.82,3.83,18,78
FUSDU20,D,20191025,000000,3.85,3.85,3.84,3.84,110,124
FUSDU20,D,20191029,000000,3.83,3.83,3.83,3.83,2,124
FUSDU20,D,20191030,000000,3.83,3.84,3.82,3.83,21,134
FUSDU20,D,20191031,000000,3.81,3.82,3.80,3.81,11,137
FUSDU20,D,20191104,000000,3.79,3.79,3.79,3.79,1,137
FUSDU20,D,20191105,000000,3.83,3.85,3.83,3.85,5,137
FUSDU20,D,20191106,000000,3.84,3.84,3.84,3.84,1,137
FUSDU20,D,20191107,000000,3.84,3.84,3.84,3.84,1,137
FUSDU20,D,20191108,000000,3.85,3.86,3.85,3.86,6,139
FUSDU20,D,20191112,000000,3.86,3.88,3.86,3.88,7,141
FUSDU20,D,20191113,000000,3.89,3.89,3.89,3.89,7,143
FUSDU20,D,20191114,000000,3.9,3.9,3.88,3.88,2,144
FUSDU20,D,20191115,000000,3.88,3.88,3.86,3.86,6,145
FUSDU20,D,20191118,000000,3.87,3.87,3.87,3.87,1,146
FUSDU20,D,20191119,000000,3.87,3.87,3.86,3.87,5,146
FUSDU20,D,20191121,000000,3.87,3.87,3.87,3.87,2,147
FUSDU20,D,20191122,000000,3.88,3.88,3.88,3.88,1,146
FUSDU20,D,20191125,000000,3.9,3.9,3.9,3.9,3,145
FUSDU20,D,20191126,000000,3.91,3.91,3.9,3.9,3,145
FUSDU20,D,20191127,000000,3.91,3.92,3.91,3.92,2,145
FUSDU20,D,20191128,000000,3.92,3.93,3.91,3.92,5,145
FUSDU20,D,20191129,000000,3.93,3.93,3.91,3.91,4,145
FUSDU20,D,20191202,000000,3.9,3.9,3.87,3.87,10,147
FUSDU20,D,20191203,000000,3.87,3.87,3.86,3.86,7,149
