<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FW20H2120,D,20200323,000000,1403.00,1416.00,1365.00,1367.00,263,156
FW20H2120,D,20200324,000000,1427.00,1433.00,1391.00,1404.00,144,228
FW20H2120,D,20200325,000000,1466.00,1468.00,1376.00,1408.00,101,205
FW20H2120,D,20200326,000000,1396.00,1479.00,1388.00,1478.00,94,216
FW20H2120,D,20200327,000000,1468.00,1484.00,1455.00,1471.00,81,228
FW20H2120,D,20200330,000000,1474.00,1479.00,1442.00,1470.00,34,238
FW20H2120,D,20200331,000000,1487.00,1523.00,1486.00,1518.00,57,252
FW20H2120,D,20200401,000000,1492.00,1493.00,1472.00,1483.00,27,249
FW20H2120,D,20200402,000000,1490.00,1490.00,1465.00,1485.00,39,257
FW20H2120,D,20200403,000000,1480.00,1510.00,1480.00,1510.00,42,254
FW20H2120,D,20200406,000000,1572.00,1587.00,1547.00,1581.00,107,263
FW20H2120,D,20200407,000000,1614.00,1653.00,1595.00,1595.00,101,298
FW20H2120,D,20200408,000000,1587.00,1615.00,1572.00,1584.00,83,282
FW20H2120,D,20200409,000000,1609.00,1620.00,1581.00,1620.00,75,280
FW20H2120,D,20200414,000000,1640.00,1667.00,1628.00,1663.00,56,282
FW20H2120,D,20200415,000000,1663.00,1663.00,1601.00,1607.00,74,274
FW20H2120,D,20200416,000000,1610.00,1611.00,1591.00,1603.00,51,289
FW20H2120,D,20200417,000000,1628.00,1636.00,1607.00,1624.00,29,290
FW20H2120,D,20200420,000000,1624.00,1645.00,1605.00,1645.00,28,301
FW20H2120,D,20200421,000000,1636.00,1636.00,1576.00,1579.00,66,311
FW20H2120,D,20200422,000000,1576.00,1605.00,1564.00,1605.00,20,310
FW20H2120,D,20200423,000000,1616.00,1631.00,1591.00,1631.00,22,310
FW20H2120,D,20200424,000000,1600.00,1620.00,1600.00,1606.00,13,308
FW20H2120,D,20200427,000000,1619.00,1621.00,1592.00,1592.00,10,309
FW20H2120,D,20200428,000000,1588.00,1619.00,1585.00,1591.00,55,302
FW20H2120,D,20200429,000000,1615.00,1653.00,1615.00,1650.00,115,300
FW20H2120,D,20200430,000000,1669.00,1676.00,1650.00,1650.00,44,296
FW20H2120,D,20200504,000000,1610.00,1616.00,1593.00,1603.00,17,293
FW20H2120,D,20200505,000000,1613.00,1621.00,1591.00,1600.00,86,297
FW20H2120,D,20200506,000000,1603.00,1603.00,1571.00,1572.00,30,286
FW20H2120,D,20200507,000000,1581.00,1603.00,1572.00,1589.00,41,282
FW20H2120,D,20200508,000000,1605.00,1615.00,1605.00,1609.00,48,251
FW20H2120,D,20200511,000000,1620.00,1620.00,1584.00,1596.00,10,250
FW20H2120,D,20200512,000000,1588.00,1629.00,1588.00,1627.00,27,246
FW20H2120,D,20200513,000000,1614.00,1638.00,1612.00,1616.00,71,200
FW20H2120,D,20200514,000000,1592.00,1604.00,1568.00,1583.00,60,211
FW20H2120,D,20200515,000000,1592.00,1602.00,1576.00,1587.00,25,206
FW20H2120,D,20200518,000000,1606.00,1641.00,1600.00,1641.00,64,203
FW20H2120,D,20200519,000000,1657.00,1657.00,1638.00,1647.00,31,216
FW20H2120,D,20200520,000000,1650.00,1665.00,1644.00,1657.00,86,182
FW20H2120,D,20200521,000000,1650.00,1661.00,1640.00,1640.00,86,192
FW20H2120,D,20200522,000000,1627.00,1641.00,1623.00,1641.00,14,190
FW20H2120,D,20200525,000000,1650.00,1654.00,1643.00,1654.00,7,192
FW20H2120,D,20200526,000000,1670.00,1723.00,1670.00,1720.00,136,159
FW20H2120,D,20200527,000000,1718.00,1771.00,1710.00,1710.00,97,136
FW20H2120,D,20200528,000000,1733.00,1761.00,1710.00,1730.00,53,137
FW20H2120,D,20200529,000000,1715.00,1728.00,1710.00,1728.00,14,138
FW20H2120,D,20200601,000000,1741.00,1748.00,1732.00,1732.00,22,131
FW20H2120,D,20200602,000000,1739.00,1749.00,1730.00,1749.00,67,182
FW20H2120,D,20200603,000000,1757.00,1786.00,1757.00,1774.00,50,190
FW20H2120,D,20200604,000000,1772.00,1794.00,1761.00,1784.00,65,244
FW20H2120,D,20200605,000000,1803.00,1851.00,1803.00,1851.00,55,251
FW20H2120,D,20200608,000000,1841.00,1860.00,1833.00,1846.00,41,264
FW20H2120,D,20200609,000000,1855.00,1855.00,1822.00,1838.00,26,260
FW20H2120,D,20200610,000000,1849.00,1850.00,1825.00,1845.00,25,272
FW20H2120,D,20200612,000000,1780.00,1822.00,1768.00,1801.00,86,285
FW20H2120,D,20200615,000000,1755.00,1762.00,1746.00,1754.00,33,294
FW20H2120,D,20200616,000000,1777.00,1820.00,1777.00,1811.00,88,344
FW20H2120,D,20200617,000000,1813.00,1821.00,1790.00,1792.00,64,368
FW20H2120,D,20200618,000000,1790.00,1809.00,1790.00,1809.00,59,388
FW20H2120,D,20200619,000000,1809.00,1811.00,1803.00,1803.00,17,392
FW20H2120,D,20200622,000000,1803.00,1803.00,1790.00,1795.00,118,305
FW20H2120,D,20200623,000000,1802.00,1840.00,1801.00,1828.00,62,273
FW20H2120,D,20200624,000000,1816.00,1816.00,1783.00,1783.00,37,250
FW20H2120,D,20200625,000000,1770.00,1792.00,1767.00,1792.00,38,243
FW20H2120,D,20200626,000000,1795.00,1795.00,1758.00,1758.00,33,230
FW20H2120,D,20200629,000000,1760.00,1769.00,1755.00,1769.00,6,228
FW20H2120,D,20200630,000000,1754.00,1756.00,1754.00,1756.00,3,227
FW20H2120,D,20200701,000000,1756.00,1756.00,1741.00,1751.00,23,219
FW20H2120,D,20200702,000000,1801.00,1805.00,1798.00,1805.00,11,217
FW20H2120,D,20200706,000000,1824.00,1830.00,1824.00,1827.00,4,214
FW20H2120,D,20200707,000000,1805.00,1806.00,1796.00,1806.00,5,212
FW20H2120,D,20200708,000000,1790.00,1793.00,1783.00,1788.00,26,204
FW20H2120,D,20200710,000000,1777.00,1789.00,1777.00,1783.00,5,203
FW20H2120,D,20200713,000000,1802.00,1802.00,1802.00,1802.00,1,202
FW20H2120,D,20200714,000000,1778.00,1786.00,1775.00,1775.00,4,201
FW20H2120,D,20200715,000000,1790.00,1791.00,1790.00,1791.00,8,197
FW20H2120,D,20200717,000000,1789.00,1789.00,1789.00,1789.00,2,195
FW20H2120,D,20200720,000000,1830.00,1830.00,1830.00,1830.00,1,195
FW20H2120,D,20200721,000000,1863.00,1883.00,1842.00,1842.00,27,203
FW20H2120,D,20200722,000000,1840.00,1840.00,1836.00,1836.00,2,203
FW20H2120,D,20200723,000000,1836.00,1839.00,1822.00,1822.00,6,205
FW20H2120,D,20200724,000000,1799.00,1802.00,1794.00,1794.00,14,209
FW20H2120,D,20200728,000000,1827.00,1830.00,1811.00,1811.00,25,205
FW20H2120,D,20200729,000000,1811.00,1820.00,1811.00,1820.00,5,203
FW20H2120,D,20200730,000000,1796.00,1805.00,1760.00,1760.00,37,199
FW20H2120,D,20200731,000000,1788.00,1788.00,1766.00,1766.00,5,198
FW20H2120,D,20200806,000000,1835.00,1835.00,1813.00,1830.00,16,199
FW20H2120,D,20200807,000000,1807.00,1817.00,1807.00,1814.00,6,200
FW20H2120,D,20200810,000000,1822.00,1822.00,1813.00,1814.00,7,197
FW20H2120,D,20200811,000000,1841.00,1848.00,1841.00,1848.00,3,196
FW20H2120,D,20200812,000000,1854.00,1854.00,1846.00,1853.00,11,201
FW20H2120,D,20200813,000000,1852.00,1876.00,1852.00,1860.00,25,199
FW20H2120,D,20200814,000000,1849.00,1855.00,1849.00,1855.00,2,200
FW20H2120,D,20200817,000000,1846.00,1846.00,1846.00,1846.00,1,199
FW20H2120,D,20200818,000000,1849.00,1851.00,1849.00,1851.00,5,196
FW20H2120,D,20200819,000000,1842.00,1842.00,1842.00,1842.00,1,197
FW20H2120,D,20200821,000000,1817.00,1818.00,1816.00,1816.00,5,201
FW20H2120,D,20200824,000000,1841.00,1843.00,1840.00,1843.00,4,200
FW20H2120,D,20200825,000000,1854.00,1854.00,1854.00,1854.00,1,199
FW20H2120,D,20200826,000000,1830.00,1848.00,1822.00,1848.00,6,202
FW20H2120,D,20200827,000000,1853.00,1854.00,1845.00,1845.00,4,201
FW20H2120,D,20200828,000000,1833.00,1842.00,1833.00,1838.00,7,199
FW20H2120,D,20200831,000000,1837.00,1837.00,1797.00,1803.00,20,193
FW20H2120,D,20200901,000000,1801.00,1805.00,1775.00,1775.00,17,188
FW20H2120,D,20200902,000000,1780.00,1794.00,1780.00,1784.00,18,192
FW20H2120,D,20200903,000000,1794.00,1800.00,1784.00,1784.00,19,199
FW20H2120,D,20200904,000000,1758.00,1774.00,1749.00,1762.00,23,199
FW20H2120,D,20200907,000000,1771.00,1781.00,1768.00,1776.00,16,204
FW20H2120,D,20200908,000000,1775.00,1779.00,1719.00,1727.00,35,200
FW20H2120,D,20200909,000000,1725.00,1767.00,1725.00,1762.00,18,199
FW20H2120,D,20200910,000000,1778.00,1778.00,1760.00,1760.00,8,203
FW20H2120,D,20200911,000000,1770.00,1770.00,1770.00,1770.00,1,202
FW20H2120,D,20200914,000000,1783.00,1783.00,1760.00,1760.00,19,202
FW20H2120,D,20200915,000000,1750.00,1762.00,1741.00,1750.00,25,192
FW20H2120,D,20200916,000000,1750.00,1752.00,1736.00,1741.00,44,198
FW20H2120,D,20200917,000000,1720.00,1748.00,1717.00,1748.00,33,208
FW20H2120,D,20200918,000000,1746.00,1746.00,1733.00,1737.00,28,218
FW20H2120,D,20200921,000000,1725.00,1748.00,1685.00,1689.00,109,237
FW20H2120,D,20200922,000000,1686.00,1704.00,1686.00,1695.00,101,241
FW20H2120,D,20200923,000000,1700.00,1714.00,1686.00,1686.00,90,242
FW20H2120,D,20200924,000000,1668.00,1678.00,1657.00,1667.00,164,475
FW20H2120,D,20200925,000000,1670.00,1679.00,1657.00,1678.00,90,472
FW20H2120,D,20200928,000000,1694.00,1741.00,1691.00,1741.00,123,494
FW20H2120,D,20200929,000000,1740.00,1740.00,1717.00,1717.00,105,480
FW20H2120,D,20200930,000000,1709.00,1719.00,1701.00,1712.00,109,483
FW20H2120,D,20201001,000000,1719.00,1722.00,1690.00,1691.00,220,495
FW20H2120,D,20201002,000000,1680.00,1706.00,1675.00,1697.00,73,494
FW20H2120,D,20201005,000000,1705.00,1740.00,1705.00,1731.00,86,488
FW20H2120,D,20201006,000000,1738.00,1748.00,1735.00,1737.00,75,500
