<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_GAMES_PE,D,20190410,000000,41.626,41.784,40.995,41.152,0,0
WIG_GAMES_PE,D,20190411,000000,41.152,41.77,41.152,41.456,0,0
WIG_GAMES_PE,D,20190412,000000,41.456,41.824,41.311,41.407,0,0
WIG_GAMES_PE,D,20190415,000000,41.407,41.988,41.407,41.988,0,0
WIG_GAMES_PE,D,20190416,000000,41.988,42.259,41.255,41.255,0,0
WIG_GAMES_PE,D,20190417,000000,41.255,41.255,40.244,40.337,0,0
WIG_GAMES_PE,D,20190418,000000,40.337,40.93,39.92,40.885,0,0
WIG_GAMES_PE,D,20190423,000000,40.885,41.805,40.885,41.759,0,0
WIG_GAMES_PE,D,20190424,000000,41.759,42.146,41.412,41.688,0,0
WIG_GAMES_PE,D,20190425,000000,41.688,41.866,41.399,41.86,0,0
WIG_GAMES_PE,D,20190426,000000,41.86,42.735,41.506,41.506,0,0
WIG_GAMES_PE,D,20190429,000000,41.506,41.633,41.129,41.129,0,0
WIG_GAMES_PE,D,20190430,000000,41.129,41.14,40.692,41.111,0,0
WIG_GAMES_PE,D,20190502,000000,41.111,41.697,41.111,41.541,0,0
WIG_GAMES_PE,D,20190506,000000,41.541,41.541,40.897,41.373,0,0
WIG_GAMES_PE,D,20190507,000000,41.373,42.08,40.779,40.859,0,0
WIG_GAMES_PE,D,20190508,000000,40.859,41.964,40.814,41.909,0,0
WIG_GAMES_PE,D,20190509,000000,41.909,42.863,41.655,41.871,0,0
WIG_GAMES_PE,D,20190510,000000,41.871,42.548,41.865,42.25,0,0
WIG_GAMES_PE,D,20190513,000000,42.25,42.368,41.233,41.317,0,0
WIG_GAMES_PE,D,20190514,000000,41.317,41.836,41.274,41.687,0,0
WIG_GAMES_PE,D,20190515,000000,41.687,42.334,41.602,42.334,0,0
WIG_GAMES_PE,D,20190516,000000,42.334,42.885,42.328,42.751,0,0
WIG_GAMES_PE,D,20190517,000000,42.751,42.877,41.17,41.17,0,0
WIG_GAMES_PE,D,20190520,000000,41.17,41.321,39.646,39.646,0,0
WIG_GAMES_PE,D,20190521,000000,39.646,39.84,38.978,39.304,0,0
WIG_GAMES_PE,D,20190522,000000,39.304,39.31,37.63,37.63,0,0
