<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20C212200.PL,D,20200610,000000,35.31,35.31,35.31,35.31,1,1
OW20C212200.PL,D,20200615,000000,27.27,27.27,27.23,27.23,13,14
OW20C212200.PL,D,20200616,000000,36.8,36.8,36.8,36.8,1,15
OW20C212200.PL,D,20200622,000000,32.78,32.78,32.78,32.78,1,16
OW20C212200.PL,D,20200624,000000,31.99,31.99,31.99,31.99,10,26
OW20C212200.PL,D,20200625,000000,25.41,26.28,25.41,26.28,5,31
OW20C212200.PL,D,20200626,000000,28.65,28.65,28.65,28.65,2,33
OW20C212200.PL,D,20200630,000000,24.05,24.05,24.05,24.05,1,34
OW20C212200.PL,D,20200703,000000,25.43,25.43,25.43,25.43,2,34
OW20C212200.PL,D,20200716,000000,19.31,19.31,19.31,19.31,1,35
OW20C212200.PL,D,20200728,000000,20.92,20.92,20.92,20.92,1,36
OW20C212200.PL,D,20200813,000000,25.51,25.51,25.51,25.51,1,37
OW20C212200.PL,D,20200820,000000,16.76,16.76,16.76,16.76,1,38
OW20C212200.PL,D,20200831,000000,15.85,15.85,15.78,15.78,20,58
OW20C212200.PL,D,20200901,000000,11.59,11.59,10.62,10.62,3,59
OW20C212200.PL,D,20200904,000000,6.35,6.35,6.35,6.35,4,63
OW20C212200.PL,D,20200907,000000,6.35,6.35,6.35,6.35,4,67
OW20C212200.PL,D,20200908,000000,4.73,4.73,4.73,4.73,5,72
OW20C212200.PL,D,20200914,000000,5.41,5.41,5.41,5.41,10,82
OW20C212200.PL,D,20200915,000000,5.02,5.4,4.8,4.8,47,100
OW20C212200.PL,D,20200916,000000,5.05,5.05,4.5,4.5,26,124
OW20C212200.PL,D,20200917,000000,3.91,3.91,3.91,3.91,2,126
OW20C212200.PL,D,20200922,000000,3.61,3.61,3.61,3.61,2,128
OW20C212200.PL,D,20200925,000000,3,3,3,3,1,129
OW20C212200.PL,D,20200928,000000,2,2,2,2,1,129
OW20C212200.PL,D,20201002,000000,2,2,2,2,1,129
OW20C212200.PL,D,20201005,000000,2,2,2,2,2,131
OW20C212200.PL,D,20201006,000000,2,2,2,2,8,139
OW20C212200.PL,D,20201014,000000,1.5,1.5,1.5,1.5,5,144
