<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20F202500.PL,D,20190715,000000,61,61,61,61,1,1
OW20F202500.PL,D,20190725,000000,64.9,64.9,64.9,64.9,1,2
OW20F202500.PL,D,20190731,000000,50.5,50.5,50.5,50.5,1,3
OW20F202500.PL,D,20190802,000000,35.5,35.5,35.5,35.5,2,5
OW20F202500.PL,D,20190806,000000,28.16,28.16,25.3,25.3,2,5
OW20F202500.PL,D,20190807,000000,25.38,25.87,25.34,25.4,40,25
OW20F202500.PL,D,20190809,000000,27,27,27,27,1,24
OW20F202500.PL,D,20190812,000000,27.74,27.8,27.74,27.8,20,5
OW20F202500.PL,D,20190813,000000,22,22.11,22,22.11,6,8
OW20F202500.PL,D,20190819,000000,20,20,20,20,9,17
OW20F202500.PL,D,20190821,000000,26.77,26.77,26.77,26.77,9,16
OW20F202500.PL,D,20190822,000000,23.73,23.73,23.73,23.73,10,26
OW20F202500.PL,D,20190826,000000,21.24,22.33,21.24,22.33,3,29
OW20F202500.PL,D,20190903,000000,26.78,26.78,26.78,26.78,1,29
OW20F202500.PL,D,20190909,000000,32.95,32.95,32.95,32.95,1,29
OW20F202500.PL,D,20190910,000000,36.7,36.7,36.7,36.7,10,19
OW20F202500.PL,D,20190920,000000,33.66,33.66,33.66,33.66,1,19
OW20F202500.PL,D,20190923,000000,29.58,29.58,29.58,29.58,1,18
OW20F202500.PL,D,20190924,000000,31.49,31.9,31.49,31.9,3,18
OW20F202500.PL,D,20190925,000000,33,33,33,33,3,21
OW20F202500.PL,D,20191002,000000,24,24,24,24,1,22
OW20F202500.PL,D,20191003,000000,22.34,22.34,21.5,21.5,7,22
OW20F202500.PL,D,20191014,000000,27,28,27,28,2,24
OW20F202500.PL,D,20191017,000000,34.7,34.7,34.7,34.7,1,25
OW20F202500.PL,D,20191023,000000,33.63,33.63,33.63,33.63,1,25
OW20F202500.PL,D,20191024,000000,34.5,34.5,34.5,34.5,5,30
OW20F202500.PL,D,20191025,000000,29,29,29,29,1,30
OW20F202500.PL,D,20191028,000000,31,34.13,31,34.13,2,32
OW20F202500.PL,D,20191106,000000,44.8,44.8,44.8,44.8,1,33
OW20F202500.PL,D,20191125,000000,26.77,26.77,26.77,26.77,1,34
OW20F202500.PL,D,20191127,000000,21,21,21,21,1,35
OW20F202500.PL,D,20191128,000000,18.55,18.55,17.53,17.53,3,38
OW20F202500.PL,D,20191202,000000,15,15,15,15,1,39
OW20F202500.PL,D,20191203,000000,12.5,12.5,12.5,12.5,10,49
OW20F202500.PL,D,20191204,000000,10.5,10.5,10.5,10.5,1,50
OW20F202500.PL,D,20191205,000000,10.98,10.98,10.98,10.98,1,50
OW20F202500.PL,D,20191206,000000,9.61,11.43,9.61,11.43,78,114
OW20F202500.PL,D,20191212,000000,9.22,9.3,9.22,9.3,5,114
OW20F202500.PL,D,20191217,000000,13.07,13.07,13.07,13.07,3,114
OW20F202500.PL,D,20191218,000000,12.91,12.91,12.91,12.91,1,113
OW20F202500.PL,D,20191220,000000,15.97,15.97,15.97,15.97,1,113
OW20F202500.PL,D,20191230,000000,13.3,13.3,13.3,13.3,10,113
OW20F202500.PL,D,20200107,000000,15.38,15.38,15.38,15.38,2,113
OW20F202500.PL,D,20200109,000000,11.73,13,11.73,13,10,115
OW20F202500.PL,D,20200110,000000,13.22,13.22,13.22,13.22,1,114
OW20F202500.PL,D,20200113,000000,13.98,15.5,13.98,15.5,8,114
OW20F202500.PL,D,20200114,000000,15.15,15.15,15.15,15.15,1,114
OW20F202500.PL,D,20200116,000000,11.55,11.55,11.55,11.55,2,114
OW20F202500.PL,D,20200121,000000,10.28,10.28,10.28,10.28,8,119
OW20F202500.PL,D,20200127,000000,6,6,6,6,2,121
OW20F202500.PL,D,20200128,000000,6.63,6.63,6.63,6.63,1,121
OW20F202500.PL,D,20200129,000000,6.49,6.49,6.49,6.49,15,116
OW20F202500.PL,D,20200131,000000,3.92,3.92,3.42,3.42,10,126
OW20F202500.PL,D,20200204,000000,3.4,3.4,3.4,3.4,1,126
OW20F202500.PL,D,20200205,000000,3.75,3.75,3.75,3.75,1,125
OW20F202500.PL,D,20200206,000000,5,5,5,5,1,125
OW20F202500.PL,D,20200211,000000,5.11,5.11,5.11,5.11,1,125
OW20F202500.PL,D,20200212,000000,5.83,5.83,5.83,5.83,1,125
OW20F202500.PL,D,20200224,000000,2.92,2.92,2.5,2.5,7,132
OW20F202500.PL,D,20200226,000000,2.35,2.35,2.35,2.35,4,132
OW20F202500.PL,D,20200227,000000,2.75,2.75,2.75,2.75,5,132
OW20F202500.PL,D,20200228,000000,2.67,2.67,2.51,2.51,13,132
OW20F202500.PL,D,20200302,000000,1,1,1,1,10,142
OW20F202500.PL,D,20200303,000000,3,3,3,3,1,142
OW20F202500.PL,D,20200304,000000,2,2,2,2,10,142
OW20F202500.PL,D,20200305,000000,2.14,2.14,2.14,2.14,1,143
OW20F202500.PL,D,20200306,000000,1.75,1.75,1.75,1.75,4,143
OW20F202500.PL,D,20200317,000000,2.71,2.71,2.71,2.71,3,143
OW20F202500.PL,D,20200422,000000,0.5,0.5,0.5,0.5,2,141
OW20F202500.PL,D,20200423,000000,0.2,0.2,0.2,0.2,2,139
OW20F202500.PL,D,20200615,000000,0.01,0.01,0.01,0.01,1,138
OW20F202500.PL,D,20200619,000000,2.99,2.99,2.99,2.99,8,146
