<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20G201900.PL,D,20200423,000000,12.46,12.46,12.46,12.46,1,1
OW20G201900.PL,D,20200427,000000,7,7,7,7,1,1
OW20G201900.PL,D,20200430,000000,13.38,13.38,13.38,13.38,1,1
OW20G201900.PL,D,20200512,000000,5,5,5,5,1,2
OW20G201900.PL,D,20200519,000000,4.7,4.7,4.7,4.7,1,3
OW20G201900.PL,D,20200527,000000,7.75,12.3,7.75,12.3,4,7
OW20G201900.PL,D,20200602,000000,7.5,7.5,7.5,7.5,1,7
OW20G201900.PL,D,20200603,000000,9.05,10.12,9.05,10.12,6,12
OW20G201900.PL,D,20200604,000000,10.06,10.06,10.06,10.06,1,13
OW20G201900.PL,D,20200605,000000,18.19,24.49,17.17,24.49,26,34
OW20G201900.PL,D,20200608,000000,21.68,24.61,21.68,22.08,74,97
OW20G201900.PL,D,20200609,000000,16.5,19.5,16.5,19.5,10,105
OW20G201900.PL,D,20200610,000000,23.5,23.7,22,23.7,3,106
OW20G201900.PL,D,20200612,000000,20.23,21.92,18,18,4,108
OW20G201900.PL,D,20200615,000000,10.1,10.5,8,9.1,51,117
OW20G201900.PL,D,20200616,000000,13.53,22.66,13.5,21.2,65,160
OW20G201900.PL,D,20200617,000000,19.26,19.26,18.05,18.05,36,196
OW20G201900.PL,D,20200618,000000,16.04,16.04,14.32,16,8,193
OW20G201900.PL,D,20200619,000000,16,16.33,12.37,12.37,32,200
OW20G201900.PL,D,20200622,000000,12,12.35,9.9,9.9,19,189
OW20G201900.PL,D,20200623,000000,18.16,19.8,16,16,33,212
OW20G201900.PL,D,20200624,000000,10,10,8.99,9.99,9,212
OW20G201900.PL,D,20200625,000000,6.34,8.8,6.34,8.8,14,226
OW20G201900.PL,D,20200626,000000,8.5,8.5,4.94,4.94,67,260
OW20G201900.PL,D,20200629,000000,3.5,3.89,3.5,3.89,4,257
OW20G201900.PL,D,20200630,000000,3.5,3.5,2.5,2.5,5,261
OW20G201900.PL,D,20200701,000000,2.5,2.9,2,2.9,27,275
OW20G201900.PL,D,20200702,000000,3.9,7.25,3.9,5.98,33,286
OW20G201900.PL,D,20200703,000000,4.6,4.6,3.5,3.5,16,284
OW20G201900.PL,D,20200706,000000,7,7,4.15,4.15,65,284
OW20G201900.PL,D,20200707,000000,3,3,2,2,7,282
OW20G201900.PL,D,20200708,000000,2.69,2.69,1.2,1.97,12,289
OW20G201900.PL,D,20200709,000000,1.6,1.89,1.25,1.5,45,302
OW20G201900.PL,D,20200710,000000,1,1.09,1,1.09,37,326
OW20G201900.PL,D,20200713,000000,1.99,1.99,0.5,0.5,19,331
OW20G201900.PL,D,20200714,000000,0.5,0.5,0.5,0.5,7,324
OW20G201900.PL,D,20200716,000000,0.5,0.5,0.35,0.35,6,318
OW20G201900.PL,D,20200717,000000,0.3,0.3,0.15,0.15,8,314
