<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20H201800.PL,D,20200520,000000,25.49,25.49,25.49,25.49,10,10
OW20H201800.PL,D,20200522,000000,21.33,21.33,21.33,21.33,1,10
OW20H201800.PL,D,20200602,000000,42.86,42.86,42.86,42.86,1,11
OW20H201800.PL,D,20200605,000000,75.65,75.65,75.65,75.65,10,2
OW20H201800.PL,D,20200610,000000,85.75,97.7,85.75,97.7,2,2
OW20H201800.PL,D,20200615,000000,50.25,50.25,50.25,50.25,1,3
OW20H201800.PL,D,20200616,000000,73.65,73.65,73.65,73.65,1,2
OW20H201800.PL,D,20200623,000000,73,91.3,73,91.3,4,3
OW20H201800.PL,D,20200625,000000,51.05,51.05,51.05,51.05,1,3
OW20H201800.PL,D,20200626,000000,57.6,57.6,57.6,57.6,1,4
OW20H201800.PL,D,20200701,000000,41.47,41.47,36.35,36.35,3,7
OW20H201800.PL,D,20200706,000000,84,84,84,84,2,5
OW20H201800.PL,D,20200708,000000,47.05,47.05,47.05,47.05,4,9
OW20H201800.PL,D,20200710,000000,45.74,49,45,49,8,17
OW20H201800.PL,D,20200714,000000,47.05,47.05,47.05,47.05,1,18
OW20H201800.PL,D,20200716,000000,45,45,40.79,44.31,8,23
OW20H201800.PL,D,20200720,000000,42.46,62.4,40.02,62.4,23,37
OW20H201800.PL,D,20200721,000000,80,80,74,74,4,33
OW20H201800.PL,D,20200722,000000,62.6,62.6,62.6,62.6,2,33
OW20H201800.PL,D,20200724,000000,35,38.4,35,38.4,3,32
OW20H201800.PL,D,20200727,000000,44.16,52,44.16,52,12,34
OW20H201800.PL,D,20200728,000000,50,50,50,50,4,34
OW20H201800.PL,D,20200729,000000,47.48,47.48,47.48,47.48,1,35
OW20H201800.PL,D,20200730,000000,31,31,18.19,21.48,69,87
OW20H201800.PL,D,20200731,000000,19.02,25,17.5,17.5,38,103
OW20H201800.PL,D,20200803,000000,19.07,34.4,15.5,30.9,19,99
OW20H201800.PL,D,20200804,000000,37,41,29.64,29.64,13,98
OW20H201800.PL,D,20200805,000000,43.2,47,43.2,46.21,19,107
OW20H201800.PL,D,20200806,000000,32.46,41.47,32.41,41.47,3,110
OW20H201800.PL,D,20200807,000000,31.37,31.37,31,31,2,112
OW20H201800.PL,D,20200810,000000,37.99,37.99,37.99,37.99,1,112
OW20H201800.PL,D,20200811,000000,39.9,54.95,39.9,54.9,7,108
OW20H201800.PL,D,20200813,000000,70,73.55,65.1,65.1,10,103
OW20H201800.PL,D,20200814,000000,59,59,48.1,55.85,9,99
OW20H201800.PL,D,20200817,000000,51.1,58.95,51.1,58.95,6,94
OW20H201800.PL,D,20200818,000000,54,54,41.9,41.9,2,93
OW20H201800.PL,D,20200819,000000,44,44,33.84,33.84,3,93
OW20H201800.PL,D,20200820,000000,20.67,25.34,18.91,20.42,59,95
OW20H201800.PL,D,20200821,000000,20,22.6,15.69,17.55,30,94
