<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20I201900.PL,D,20200224,000000,139.05,141.45,139.05,141.45,2,2
OW20I201900.PL,D,20200225,000000,125,125,104.9,104.9,3,4
OW20I201900.PL,D,20200226,000000,109,111,109,111,2,6
OW20I201900.PL,D,20200228,000000,55.85,55.85,55.85,55.85,10,13
OW20I201900.PL,D,20200302,000000,69.25,69.25,69.25,69.25,10,23
OW20I201900.PL,D,20200305,000000,105.95,105.95,105.95,105.95,2,23
OW20I201900.PL,D,20200306,000000,54.15,54.15,54.15,54.15,5,28
OW20I201900.PL,D,20200309,000000,35.15,35.36,28.31,29.96,6,26
OW20I201900.PL,D,20200310,000000,39,39,36.33,37,15,33
OW20I201900.PL,D,20200311,000000,30.82,33.58,19.14,19.14,14,36
OW20I201900.PL,D,20200312,000000,12.13,12.13,10,10,4,33
OW20I201900.PL,D,20200317,000000,36,36,36,36,100,115
OW20I201900.PL,D,20200318,000000,32.14,32.14,32.14,32.14,1,116
OW20I201900.PL,D,20200320,000000,40.24,40.24,40.24,40.24,10,116
OW20I201900.PL,D,20200323,000000,16.02,16.02,16.01,16.01,4,120
OW20I201900.PL,D,20200325,000000,11.54,11.54,11.54,11.54,5,125
OW20I201900.PL,D,20200327,000000,17.9,18.36,17.9,18.36,30,125
OW20I201900.PL,D,20200330,000000,15.68,15.82,15.68,15.82,2,126
OW20I201900.PL,D,20200331,000000,19.72,19.72,19.72,19.72,1,126
OW20I201900.PL,D,20200407,000000,39,43.41,38.26,41.1,28,118
OW20I201900.PL,D,20200408,000000,30.76,30.76,30.76,30.76,10,128
OW20I201900.PL,D,20200409,000000,35.04,35.04,33,33,2,128
OW20I201900.PL,D,20200415,000000,33,33,33,33,6,128
OW20I201900.PL,D,20200416,000000,30.47,30.47,30.47,30.47,10,138
OW20I201900.PL,D,20200507,000000,18.5,18.5,18.5,18.5,5,143
OW20I201900.PL,D,20200508,000000,19.82,19.82,19.82,19.82,3,140
OW20I201900.PL,D,20200511,000000,16,16,16,16,1,140
OW20I201900.PL,D,20200514,000000,11.99,11.99,11.99,11.99,2,140
