<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20M202000.PL,D,20191021,000000,19.25,19.25,17.71,18.94,22,22
OW20M202000.PL,D,20191022,000000,17.54,17.54,17.54,17.54,1,23
OW20M202000.PL,D,20191024,000000,14.49,14.49,14.49,14.49,1,24
OW20M202000.PL,D,20191025,000000,14,15.42,14,15.42,16,40
OW20M202000.PL,D,20191104,000000,5,5,5,5,1,40
OW20M202000.PL,D,20191106,000000,6.76,6.76,6.76,6.76,1,40
OW20M202000.PL,D,20191120,000000,9.94,9.94,9.94,9.94,1,40
OW20M202000.PL,D,20191121,000000,7.63,7.63,7.63,7.63,1,41
OW20M202000.PL,D,20191122,000000,5.72,5.72,5.72,5.72,1,42
OW20M202000.PL,D,20191129,000000,7,7,7,7,1,43
OW20M202000.PL,D,20191202,000000,7.2,9.02,7.2,9.02,2,44
OW20M202000.PL,D,20191203,000000,11.4,13,10.64,13,11,54
OW20M202000.PL,D,20191204,000000,10.06,13.39,10.06,13.39,16,67
OW20M202000.PL,D,20191205,000000,15.1,15.84,14.01,15.84,3,68
OW20M202000.PL,D,20191206,000000,18.85,21.96,18.85,21.96,4,67
OW20M202000.PL,D,20191211,000000,23.69,23.69,23.69,23.69,14,63
OW20M202000.PL,D,20191212,000000,20.14,20.14,11.28,12.81,15,77
OW20M202000.PL,D,20191216,000000,9.7,9.75,6.11,6.99,10,81
OW20M202000.PL,D,20191217,000000,5,5,5,5,1,82
OW20M202000.PL,D,20191218,000000,6,6,6,6,3,84
OW20M202000.PL,D,20191219,000000,5.92,5.92,5,5,13,97
OW20M202000.PL,D,20191220,000000,5,5,4.8,4.8,2,98
OW20M202000.PL,D,20191223,000000,4.74,4.74,4.5,4.5,2,100
OW20M202000.PL,D,20191227,000000,3.12,3.12,3.1,3.1,3,98
OW20M202000.PL,D,20191230,000000,0.68,0.68,0.68,0.68,10,88
OW20M202000.PL,D,20200107,000000,1.1,1.1,1.1,1.1,1,88
OW20M202000.PL,D,20200108,000000,1.2,1.31,1.2,1.31,10,93
OW20M202000.PL,D,20200110,000000,1,1,1,1,1,93
OW20M202000.PL,D,20200115,000000,0.38,0.38,0.38,0.38,2,91
