<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20R201625.PL,D,20200518,000000,58.8,58.8,49.66,49.66,7,7
OW20R201625.PL,D,20200519,000000,41.74,46.4,41.74,44.44,4,10
OW20R201625.PL,D,20200520,000000,41.66,41.66,35.35,36.73,6,12
OW20R201625.PL,D,20200521,000000,40.85,40.85,40.85,40.85,1,13
OW20R201625.PL,D,20200525,000000,31.72,35.72,31.72,35.72,3,11
OW20R201625.PL,D,20200526,000000,24.39,24.39,14,14,12,9
OW20R201625.PL,D,20200527,000000,15.27,15.27,7,12.97,17,20
OW20R201625.PL,D,20200528,000000,11,17.59,11,13.96,10,25
OW20R201625.PL,D,20200601,000000,7.5,7.5,7.5,7.5,1,26
OW20R201625.PL,D,20200603,000000,5.77,5.77,5.77,5.77,1,26
OW20R201625.PL,D,20200604,000000,6.15,6.15,5,5,3,29
OW20R201625.PL,D,20200612,000000,4.2,4.2,4.2,4.2,1,29
OW20R201625.PL,D,20200615,000000,5.13,5.13,5.13,5.13,5,34
OW20R201625.PL,D,20200618,000000,0.2,0.2,0.2,0.2,1,34
