<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20T201825.PL,D,20200720,000000,41,42,41,42,2,2
OW20T201825.PL,D,20200721,000000,21,28,21,28,13,13
OW20T201825.PL,D,20200722,000000,36.02,36.02,33.45,33.45,11,23
OW20T201825.PL,D,20200723,000000,37.88,43.29,37.62,43.29,4,27
OW20T201825.PL,D,20200724,000000,55.75,55.75,51.75,52.7,4,29
OW20T201825.PL,D,20200727,000000,42.59,46.31,42.59,46.31,12,31
OW20T201825.PL,D,20200728,000000,33.41,42.65,33.41,42.14,3,32
OW20T201825.PL,D,20200729,000000,40.3,40.3,35.3,35.57,8,40
OW20T201825.PL,D,20200730,000000,48.22,66,48.22,66,2,39
OW20T201825.PL,D,20200731,000000,61.6,61.6,55,61.15,9,37
OW20T201825.PL,D,20200803,000000,67,67,58.8,60.8,13,26
OW20T201825.PL,D,20200804,000000,39.9,41,38,38.69,7,26
OW20T201825.PL,D,20200805,000000,32,32,21.71,27,40,42
OW20T201825.PL,D,20200806,000000,25,36.85,22,34.5,28,64
OW20T201825.PL,D,20200807,000000,32.31,32.31,32.31,32.31,2,66
OW20T201825.PL,D,20200810,000000,25.05,25.05,19.52,25,6,70
OW20T201825.PL,D,20200811,000000,17.22,17.22,9.83,13,36,96
OW20T201825.PL,D,20200812,000000,14.78,14.78,9.74,10.01,22,101
OW20T201825.PL,D,20200813,000000,9,9,4.51,7.5,51,123
OW20T201825.PL,D,20200814,000000,10.94,12.44,7.5,7.5,75,168
OW20T201825.PL,D,20200817,000000,5.02,8.84,3.55,5.01,117,214
OW20T201825.PL,D,20200818,000000,9.01,9.01,5.3,9.01,31,226
OW20T201825.PL,D,20200819,000000,6,8.98,4.51,6.5,65,235
OW20T201825.PL,D,20200820,000000,15,16.18,8.2,11.98,80,241
OW20T201825.PL,D,20200821,000000,4.01,12.98,3,5,65,255
