<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20U201650.PL,D,20200622,000000,38.17,38.6,38.05,38.6,26,16
OW20U201650.PL,D,20200625,000000,44,44,44,44,5,19
OW20U201650.PL,D,20200630,000000,40.13,40.13,40.13,40.13,1,20
OW20U201650.PL,D,20200701,000000,44.48,44.48,44.48,44.48,1,20
OW20U201650.PL,D,20200702,000000,38,38,28,31,35,50
OW20U201650.PL,D,20200706,000000,25,26.63,25,26.63,21,71
OW20U201650.PL,D,20200714,000000,32.92,32.92,32.92,32.92,2,71
OW20U201650.PL,D,20200720,000000,20.33,20.33,20.33,20.33,1,72
OW20U201650.PL,D,20200721,000000,13.77,13.77,10.61,10.61,71,125
OW20U201650.PL,D,20200723,000000,15.91,15.91,14.22,14.22,3,128
OW20U201650.PL,D,20200724,000000,17.41,17.41,16.5,16.5,4,128
OW20U201650.PL,D,20200727,000000,19.1,19.1,12.9,12.9,2,129
OW20U201650.PL,D,20200728,000000,13.1,13.1,13.1,13.1,1,130
OW20U201650.PL,D,20200730,000000,15.75,18.3,15.75,18.3,5,130
OW20U201650.PL,D,20200731,000000,20,20,20,20,2,132
OW20U201650.PL,D,20200803,000000,15.11,15.11,13,13,2,131
OW20U201650.PL,D,20200806,000000,10.1,10.1,10.1,10.1,1,132
OW20U201650.PL,D,20200807,000000,9.01,9.59,8.81,9.59,16,135
OW20U201650.PL,D,20200810,000000,7.7,7.7,7.41,7.41,5,137
OW20U201650.PL,D,20200811,000000,5.98,5.98,5,5.15,24,153
OW20U201650.PL,D,20200812,000000,5.2,6.3,5,5,8,150
OW20U201650.PL,D,20200813,000000,5,5,3.8,3.8,4,150
OW20U201650.PL,D,20200814,000000,5.95,5.95,4.65,4.8,11,157
OW20U201650.PL,D,20200817,000000,3.5,3.5,3.5,3.5,1,158
OW20U201650.PL,D,20200818,000000,4.4,4.9,4.4,4.9,3,159
OW20U201650.PL,D,20200819,000000,4.5,4.9,4.5,4.9,47,195
OW20U201650.PL,D,20200820,000000,6.2,6.5,6.2,6.5,4,195
OW20U201650.PL,D,20200821,000000,4.5,6.2,4.5,6.2,4,198
OW20U201650.PL,D,20200824,000000,4.18,4.18,4.18,4.18,7,203
OW20U201650.PL,D,20200825,000000,3,4,3,4,15,216
OW20U201650.PL,D,20200826,000000,4.44,4.44,4,4.15,25,223
OW20U201650.PL,D,20200827,000000,3,3.5,3,3.5,22,238
OW20U201650.PL,D,20200828,000000,3,3,3,3,2,238
OW20U201650.PL,D,20200831,000000,2.9,4.56,2.9,4,11,245
OW20U201650.PL,D,20200901,000000,4.2,6.8,4.2,6.15,42,264
OW20U201650.PL,D,20200902,000000,3.5,4.64,3.5,4.55,77,332
OW20U201650.PL,D,20200903,000000,3.99,6,3.5,5.9,22,344
OW20U201650.PL,D,20200904,000000,8.1,8.1,4.4,6,49,337
OW20U201650.PL,D,20200907,000000,5.21,5.21,2.75,2.75,66,343
OW20U201650.PL,D,20200908,000000,3.9,5,3.33,4.25,51,351
OW20U201650.PL,D,20200909,000000,5.05,5.05,2,2,29,374
OW20U201650.PL,D,20200910,000000,2.49,2.49,1.9,1.9,4,374
OW20U201650.PL,D,20200911,000000,1,1.05,1,1,14,365
OW20U201650.PL,D,20200917,000000,0.45,0.45,0.45,0.45,10,360
OW20U201650.PL,D,20200918,000000,0.12,0.4,0.01,0.3,18,344
