<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OW20X201200.PL,D,20200311,000000,46.18,54.75,46.18,54.75,2,2
OW20X201200.PL,D,20200312,000000,100,100,100,100,4,6
OW20X201200.PL,D,20200313,000000,117.45,117.45,117.45,117.45,1,6
OW20X201200.PL,D,20200317,000000,108.45,108.45,106.95,106.95,2,7
OW20X201200.PL,D,20200319,000000,90.4,90.4,90.4,90.4,1,8
OW20X201200.PL,D,20200320,000000,56.5,73.35,56.3,73.35,19,14
OW20X201200.PL,D,20200324,000000,108.75,108.75,108.75,108.75,1,15
OW20X201200.PL,D,20200406,000000,53.25,53.25,53.25,53.25,2,13
OW20X201200.PL,D,20200414,000000,43.9,43.9,43.9,43.9,5,18
OW20X201200.PL,D,20200416,000000,52.1,52.1,52.1,52.1,1,19
OW20X201200.PL,D,20200421,000000,54,54,54,54,1,19
OW20X201200.PL,D,20200429,000000,40.75,40.75,40.75,40.75,1,19
OW20X201200.PL,D,20200506,000000,47.04,47.04,47.04,47.04,2,19
OW20X201200.PL,D,20200508,000000,41.57,41.57,41.57,41.57,2,19
OW20X201200.PL,D,20200522,000000,31.04,31.04,31.04,31.04,2,19
OW20X201200.PL,D,20200526,000000,21.25,21.25,21.25,21.25,2,19
OW20X201200.PL,D,20200602,000000,18.5,18.5,17.08,17.08,2,18
OW20X201200.PL,D,20200604,000000,14.55,14.97,14.55,14.97,4,19
OW20X201200.PL,D,20200605,000000,10.52,10.9,10.2,10.2,13,32
OW20X201200.PL,D,20200610,000000,10.5,10.5,10.09,10.09,11,43
OW20X201200.PL,D,20200612,000000,13.44,13.44,13.44,13.44,10,53
OW20X201200.PL,D,20200616,000000,12.11,12.11,12.11,12.11,11,64
OW20X201200.PL,D,20200619,000000,11.2,11.2,11.2,11.2,1,65
OW20X201200.PL,D,20200622,000000,10.59,10.59,10.59,10.59,10,75
OW20X201200.PL,D,20200624,000000,9.57,9.57,9.57,9.57,1,76
OW20X201200.PL,D,20200625,000000,10.25,10.25,10.25,10.25,3,79
OW20X201200.PL,D,20200701,000000,9.4,9.4,8.23,8.23,2,81
OW20X201200.PL,D,20200703,000000,7.1,7.1,7.1,7.1,1,82
OW20X201200.PL,D,20200713,000000,6,6,6,6,2,84
OW20X201200.PL,D,20200721,000000,4.21,4.21,4.21,4.21,5,89
OW20X201200.PL,D,20200722,000000,4.59,4.59,4.59,4.59,1,90
OW20X201200.PL,D,20200723,000000,4.5,5.99,4.5,4.75,21,107
OW20X201200.PL,D,20200724,000000,5.04,5.36,5.04,5.36,21,128
OW20X201200.PL,D,20200727,000000,4.62,4.62,4.62,4.62,10,138
OW20X201200.PL,D,20200728,000000,4.5,4.5,4.5,4.5,1,139
OW20X201200.PL,D,20200730,000000,5.04,5.04,5.04,5.04,10,149
OW20X201200.PL,D,20200804,000000,5,5,5,5,9,158
OW20X201200.PL,D,20200806,000000,4.85,5.08,4.85,5.08,13,171
OW20X201200.PL,D,20200810,000000,4.44,4.44,4.43,4.43,11,182
OW20X201200.PL,D,20200811,000000,3.85,4.03,3.85,4.01,19,201
OW20X201200.PL,D,20200820,000000,3.86,3.89,3.86,3.89,12,213
OW20X201200.PL,D,20200831,000000,2.5,2.5,2.5,2.5,10,223
OW20X201200.PL,D,20200907,000000,4.5,4.5,4.25,4.25,12,235
OW20X201200.PL,D,20200909,000000,4.5,4.5,3.03,3.03,12,247
OW20X201200.PL,D,20200914,000000,2,2,2,2,2,249
OW20X201200.PL,D,20201002,000000,2.41,2.69,2.41,2.69,18,267
OW20X201200.PL,D,20201005,000000,2,2,2,2,1,268
OW20X201200.PL,D,20201013,000000,2,2,2,2,5,273
OW20X201200.PL,D,20201015,000000,2.99,2.99,2.9,2.9,12,284
OW20X201200.PL,D,20201016,000000,4,4,4,4,2,284
