<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
5041.N,D,20200616,000000,174.49,174.49,174.49,174.49,0,0
5041.N,D,20200617,000000,174.61,174.61,174.61,174.61,0,0
5041.N,D,20200618,000000,174.61,174.61,174.61,174.61,0,0
5041.N,D,20200619,000000,174.64,174.64,174.64,174.64,0,0
5041.N,D,20200622,000000,174.7,174.7,174.7,174.7,0,0
5041.N,D,20200623,000000,174.69,174.69,174.69,174.69,0,0
5041.N,D,20200624,000000,174.72,174.72,174.72,174.72,0,0
5041.N,D,20200625,000000,174.8,174.8,174.8,174.8,0,0
5041.N,D,20200626,000000,174.86,174.86,174.86,174.86,0,0
5041.N,D,20200629,000000,174.96,174.96,174.96,174.96,0,0
5041.N,D,20200630,000000,174.94,174.94,174.94,174.94,0,0
5041.N,D,20200701,000000,174.98,174.98,174.98,174.98,0,0
5041.N,D,20200702,000000,175.04,175.04,175.04,175.04,0,0
5041.N,D,20200703,000000,175.16,175.16,175.16,175.16,0,0
5041.N,D,20200706,000000,175.26,175.26,175.26,175.26,0,0
5041.N,D,20200707,000000,175.26,175.26,175.26,175.26,0,0
5041.N,D,20200708,000000,175.3,175.3,175.3,175.3,0,0
5041.N,D,20200709,000000,175.32,175.32,175.32,175.32,0,0
5041.N,D,20200710,000000,175.35,175.35,175.35,175.35,0,0
5041.N,D,20200713,000000,175.24,175.24,175.24,175.24,0,0
5041.N,D,20200714,000000,175.23,175.23,175.23,175.23,0,0
5041.N,D,20200715,000000,175.21,175.21,175.21,175.21,0,0
5041.N,D,20200716,000000,175.29,175.29,175.29,175.29,0,0
5041.N,D,20200717,000000,175.32,175.32,175.32,175.32,0,0
5041.N,D,20200720,000000,175.24,175.24,175.24,175.24,0,0
5041.N,D,20200721,000000,175.28,175.28,175.28,175.28,0,0
5041.N,D,20200722,000000,175.34,175.34,175.34,175.34,0,0
5041.N,D,20200723,000000,175.34,175.34,175.34,175.34,0,0
5041.N,D,20200724,000000,175.31,175.31,175.31,175.31,0,0
5041.N,D,20200727,000000,175.32,175.32,175.32,175.32,0,0
5041.N,D,20200728,000000,175.38,175.38,175.38,175.38,0,0
5041.N,D,20200729,000000,175.42,175.42,175.42,175.42,0,0
5041.N,D,20200730,000000,175.48,175.48,175.48,175.48,0,0
5041.N,D,20200731,000000,175.49,175.49,175.49,175.49,0,0
5041.N,D,20200803,000000,175.49,175.49,175.49,175.49,0,0
5041.N,D,20200804,000000,175.62,175.62,175.62,175.62,0,0
5041.N,D,20200805,000000,175.57,175.57,175.57,175.57,0,0
5041.N,D,20200806,000000,175.6,175.6,175.6,175.6,0,0
5041.N,D,20200807,000000,175.6,175.6,175.6,175.6,0,0
5041.N,D,20200810,000000,175.66,175.66,175.66,175.66,0,0
5041.N,D,20200811,000000,175.63,175.63,175.63,175.63,0,0
5041.N,D,20200812,000000,175.66,175.66,175.66,175.66,0,0
5041.N,D,20200813,000000,175.72,175.72,175.72,175.72,0,0
5041.N,D,20200814,000000,175.66,175.66,175.66,175.66,0,0
5041.N,D,20200817,000000,175.64,175.64,175.64,175.64,0,0
5041.N,D,20200818,000000,175.68,175.68,175.68,175.68,0,0
5041.N,D,20200819,000000,175.69,175.69,175.69,175.69,0,0
5041.N,D,20200820,000000,175.72,175.72,175.72,175.72,0,0
5041.N,D,20200821,000000,175.74,175.74,175.74,175.74,0,0
5041.N,D,20200824,000000,175.79,175.79,175.79,175.79,0,0
5041.N,D,20200825,000000,175.73,175.73,175.73,175.73,0,0
5041.N,D,20200826,000000,175.77,175.77,175.77,175.77,0,0
5041.N,D,20200827,000000,175.77,175.77,175.77,175.77,0,0
5041.N,D,20200828,000000,175.7,175.7,175.7,175.7,0,0
5041.N,D,20200831,000000,175.71,175.71,175.71,175.71,0,0
5041.N,D,20200901,000000,175.79,175.79,175.79,175.79,0,0
5041.N,D,20200902,000000,175.85,175.85,175.85,175.85,0,0
5041.N,D,20200903,000000,175.88,175.88,175.88,175.88,0,0
5041.N,D,20200904,000000,175.93,175.93,175.93,175.93,0,0
5041.N,D,20200907,000000,175.91,175.91,175.91,175.91,0,0
5041.N,D,20200908,000000,175.96,175.96,175.96,175.96,0,0
5041.N,D,20200909,000000,176.02,176.02,176.02,176.02,0,0
5041.N,D,20200910,000000,175.98,175.98,175.98,175.98,0,0
5041.N,D,20200911,000000,176.01,176.01,176.01,176.01,0,0
5041.N,D,20200914,000000,176.01,176.01,176.01,176.01,0,0
5041.N,D,20200915,000000,176.02,176.02,176.02,176.02,0,0
5041.N,D,20200916,000000,176.04,176.04,176.04,176.04,0,0
5041.N,D,20200917,000000,175.99,175.99,175.99,175.99,0,0
5041.N,D,20200918,000000,176,176,176,176,0,0
5041.N,D,20200921,000000,176.01,176.01,176.01,176.01,0,0
5041.N,D,20200922,000000,176.05,176.05,176.05,176.05,0,0
5041.N,D,20200923,000000,176.03,176.03,176.03,176.03,0,0
5041.N,D,20200924,000000,176.05,176.05,176.05,176.05,0,0
5041.N,D,20200925,000000,176.07,176.07,176.07,176.07,0,0
5041.N,D,20200928,000000,176.07,176.07,176.07,176.07,0,0
5041.N,D,20200929,000000,176.08,176.08,176.08,176.08,0,0
5041.N,D,20200930,000000,176.15,176.15,176.15,176.15,0,0
5041.N,D,20201001,000000,176.19,176.19,176.19,176.19,0,0
5041.N,D,20201002,000000,176.22,176.22,176.22,176.22,0,0
5041.N,D,20201005,000000,176.25,176.25,176.25,176.25,0,0
5041.N,D,20201006,000000,176.24,176.24,176.24,176.24,0,0
5041.N,D,20201007,000000,176.25,176.25,176.25,176.25,0,0
5041.N,D,20201008,000000,176.34,176.34,176.34,176.34,0,0
5041.N,D,20201009,000000,176.33,176.33,176.33,176.33,0,0
5041.N,D,20201012,000000,176.39,176.39,176.39,176.39,0,0
5041.N,D,20201013,000000,176.4,176.4,176.4,176.4,0,0
5041.N,D,20201014,000000,176.4,176.4,176.4,176.4,0,0
5041.N,D,20201015,000000,176.48,176.48,176.48,176.48,0,0
