<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1488.N,D,20160128,000000,125.02,125.02,125.02,125.02,0,0
1488.N,D,20160129,000000,125.11,125.11,125.11,125.11,0,0
1488.N,D,20160201,000000,125.1,125.1,125.1,125.1,0,0
1488.N,D,20160202,000000,125.03,125.03,125.03,125.03,0,0
1488.N,D,20160203,000000,124.98,124.98,124.98,124.98,0,0
1488.N,D,20160204,000000,124.98,124.98,124.98,124.98,0,0
1488.N,D,20160205,000000,124.94,124.94,124.94,124.94,0,0
1488.N,D,20160208,000000,124.81,124.81,124.81,124.81,0,0
1488.N,D,20160209,000000,124.69,124.69,124.69,124.69,0,0
1488.N,D,20160210,000000,124.69,124.69,124.69,124.69,0,0
1488.N,D,20160211,000000,124.58,124.58,124.58,124.58,0,0
1488.N,D,20160212,000000,124.57,124.57,124.57,124.57,0,0
1488.N,D,20160215,000000,124.62,124.62,124.62,124.62,0,0
1488.N,D,20160216,000000,124.68,124.68,124.68,124.68,0,0
1488.N,D,20160217,000000,124.75,124.75,124.75,124.75,0,0
1488.N,D,20160218,000000,124.85,124.85,124.85,124.85,0,0
1488.N,D,20160219,000000,124.84,124.84,124.84,124.84,0,0
1488.N,D,20160222,000000,124.91,124.91,124.91,124.91,0,0
1488.N,D,20160223,000000,124.92,124.92,124.92,124.92,0,0
1488.N,D,20160224,000000,124.92,124.92,124.92,124.92,0,0
1488.N,D,20160225,000000,124.98,124.98,124.98,124.98,0,0
1488.N,D,20160226,000000,125.04,125.04,125.04,125.04,0,0
1488.N,D,20160229,000000,125.09,125.09,125.09,125.09,0,0
1488.N,D,20160301,000000,125.14,125.14,125.14,125.14,0,0
1488.N,D,20160302,000000,125.18,125.18,125.18,125.18,0,0
1488.N,D,20160303,000000,125.22,125.22,125.22,125.22,0,0
1488.N,D,20160304,000000,125.35,125.35,125.35,125.35,0,0
1488.N,D,20160307,000000,125.43,125.43,125.43,125.43,0,0
1488.N,D,20160308,000000,125.42,125.42,125.42,125.42,0,0
1488.N,D,20160309,000000,125.38,125.38,125.38,125.38,0,0
1488.N,D,20160310,000000,125.49,125.49,125.49,125.49,0,0
1488.N,D,20160311,000000,125.66,125.66,125.66,125.66,0,0
1488.N,D,20160314,000000,125.76,125.76,125.76,125.76,0,0
1488.N,D,20160315,000000,125.68,125.68,125.68,125.68,0,0
1488.N,D,20160316,000000,125.63,125.63,125.63,125.63,0,0
1488.N,D,20160318,000000,125.88,125.88,125.88,125.88,0,0
1488.N,D,20160321,000000,125.92,125.92,125.92,125.92,0,0
1488.N,D,20160322,000000,125.92,125.92,125.92,125.92,0,0
1488.N,D,20160323,000000,125.91,125.91,125.91,125.91,0,0
1488.N,D,20160324,000000,125.85,125.85,125.85,125.85,0,0
1488.N,D,20160329,000000,125.81,125.81,125.81,125.81,0,0
1488.N,D,20160330,000000,125.92,125.92,125.92,125.92,0,0
1488.N,D,20160331,000000,126.01,126.01,126.01,126.01,0,0
1488.N,D,20160401,000000,126.08,126.08,126.08,126.08,0,0
1488.N,D,20160404,000000,126.09,126.09,126.09,126.09,0,0
1488.N,D,20160405,000000,126.03,126.03,126.03,126.03,0,0
1488.N,D,20160406,000000,126.1,126.1,126.1,126.1,0,0
1488.N,D,20160407,000000,126.09,126.09,126.09,126.09,0,0
1488.N,D,20160408,000000,126.14,126.14,126.14,126.14,0,0
1488.N,D,20160411,000000,126.19,126.19,126.19,126.19,0,0
1488.N,D,20160412,000000,126.24,126.24,126.24,126.24,0,0
1488.N,D,20160413,000000,126.4,126.4,126.4,126.4,0,0
1488.N,D,20160414,000000,126.49,126.49,126.49,126.49,0,0
1488.N,D,20160415,000000,126.53,126.53,126.53,126.53,0,0
1488.N,D,20160418,000000,126.51,126.51,126.51,126.51,0,0
1488.N,D,20160419,000000,126.6,126.6,126.6,126.6,0,0
1488.N,D,20160420,000000,126.67,126.67,126.67,126.67,0,0
1488.N,D,20160421,000000,126.69,126.69,126.69,126.69,0,0
1488.N,D,20160422,000000,126.82,126.82,126.82,126.82,0,0
1488.N,D,20160425,000000,126.76,126.76,126.76,126.76,0,0
1488.N,D,20160426,000000,126.81,126.81,126.81,126.81,0,0
1488.N,D,20160427,000000,126.9,126.9,126.9,126.9,0,0
1488.N,D,20160428,000000,126.98,126.98,126.98,126.98,0,0
1488.N,D,20160429,000000,126.97,126.97,126.97,126.97,0,0
1488.N,D,20160502,000000,126.96,126.96,126.96,126.96,0,0
1488.N,D,20160504,000000,126.82,126.82,126.82,126.82,0,0
1488.N,D,20160505,000000,126.83,126.83,126.83,126.83,0,0
1488.N,D,20160506,000000,126.74,126.74,126.74,126.74,0,0
1488.N,D,20160509,000000,126.72,126.72,126.72,126.72,0,0
1488.N,D,20160510,000000,126.81,126.81,126.81,126.81,0,0
1488.N,D,20160511,000000,126.87,126.87,126.87,126.87,0,0
1488.N,D,20160512,000000,126.88,126.88,126.88,126.88,0,0
1488.N,D,20160513,000000,126.89,126.89,126.89,126.89,0,0
1488.N,D,20160516,000000,126.91,126.91,126.91,126.91,0,0
1488.N,D,20160517,000000,126.97,126.97,126.97,126.97,0,0
1488.N,D,20160518,000000,126.92,126.92,126.92,126.92,0,0
1488.N,D,20160519,000000,126.83,126.83,126.83,126.83,0,0
1488.N,D,20160520,000000,126.89,126.89,126.89,126.89,0,0
1488.N,D,20160523,000000,126.88,126.88,126.88,126.88,0,0
1488.N,D,20160524,000000,126.87,126.87,126.87,126.87,0,0
1488.N,D,20160525,000000,126.88,126.88,126.88,126.88,0,0
1488.N,D,20160527,000000,126.82,126.82,126.82,126.82,0,0
1488.N,D,20160530,000000,126.84,126.84,126.84,126.84,0,0
1488.N,D,20160531,000000,126.87,126.87,126.87,126.87,0,0
1488.N,D,20160601,000000,126.91,126.91,126.91,126.91,0,0
1488.N,D,20160602,000000,126.91,126.91,126.91,126.91,0,0
1488.N,D,20160603,000000,127,127,127,127,0,0
1488.N,D,20160606,000000,127.08,127.08,127.08,127.08,0,0
1488.N,D,20160607,000000,127.15,127.15,127.15,127.15,0,0
1488.N,D,20160608,000000,127.22,127.22,127.22,127.22,0,0
1488.N,D,20160609,000000,127.24,127.24,127.24,127.24,0,0
1488.N,D,20160610,000000,127.16,127.16,127.16,127.16,0,0
1488.N,D,20160613,000000,127.11,127.11,127.11,127.11,0,0
1488.N,D,20160614,000000,127,127,127,127,0,0
1488.N,D,20160615,000000,127.02,127.02,127.02,127.02,0,0
1488.N,D,20160616,000000,127.02,127.02,127.02,127.02,0,0
1488.N,D,20160617,000000,127.06,127.06,127.06,127.06,0,0
1488.N,D,20160620,000000,127.17,127.17,127.17,127.17,0,0
1488.N,D,20160621,000000,127.18,127.18,127.18,127.18,0,0
1488.N,D,20160622,000000,127.23,127.23,127.23,127.23,0,0
1488.N,D,20160623,000000,127.25,127.25,127.25,127.25,0,0
1488.N,D,20160624,000000,127.11,127.11,127.11,127.11,0,0
1488.N,D,20160627,000000,127.36,127.36,127.36,127.36,0,0
1488.N,D,20160628,000000,127.42,127.42,127.42,127.42,0,0
1488.N,D,20160629,000000,127.51,127.51,127.51,127.51,0,0
1488.N,D,20160630,000000,127.57,127.57,127.57,127.57,0,0
1488.N,D,20160701,000000,127.66,127.66,127.66,127.66,0,0
1488.N,D,20160704,000000,127.68,127.68,127.68,127.68,0,0
1488.N,D,20160705,000000,127.72,127.72,127.72,127.72,0,0
