<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3526.N,D,20110105,000000,256.44,256.44,256.44,256.44,0,0
3526.N,D,20110106,000000,256.6,256.6,256.6,256.6,0,0
3526.N,D,20110107,000000,256.01,256.01,256.01,256.01,0,0
3526.N,D,20110110,000000,254.03,254.03,254.03,254.03,0,0
3526.N,D,20110111,000000,254.98,254.98,254.98,254.98,0,0
3526.N,D,20110112,000000,258.6,258.6,258.6,258.6,0,0
3526.N,D,20110113,000000,259.69,259.69,259.69,259.69,0,0
3526.N,D,20110114,000000,259.71,259.71,259.71,259.71,0,0
3526.N,D,20110117,000000,256.38,256.38,256.38,256.38,0,0
3526.N,D,20110118,000000,257.07,257.07,257.07,257.07,0,0
3526.N,D,20110119,000000,260.18,260.18,260.18,260.18,0,0
3526.N,D,20110120,000000,254.58,254.58,254.58,254.58,0,0
3526.N,D,20110121,000000,253.2,253.2,253.2,253.2,0,0
3526.N,D,20110124,000000,251.01,251.01,251.01,251.01,0,0
3526.N,D,20110125,000000,250.7,250.7,250.7,250.7,0,0
3526.N,D,20110126,000000,251.2,251.2,251.2,251.2,0,0
3526.N,D,20110127,000000,251.31,251.31,251.31,251.31,0,0
3526.N,D,20110128,000000,249.83,249.83,249.83,249.83,0,0
3526.N,D,20110131,000000,248.8,248.8,248.8,248.8,0,0
3526.N,D,20110201,000000,249.79,249.79,249.79,249.79,0,0
3526.N,D,20110202,000000,252.96,252.96,252.96,252.96,0,0
3526.N,D,20110203,000000,253.09,253.09,253.09,253.09,0,0
3526.N,D,20110204,000000,252.96,252.96,252.96,252.96,0,0
3526.N,D,20110207,000000,249.77,249.77,249.77,249.77,0,0
3526.N,D,20110208,000000,249.71,249.71,249.71,249.71,0,0
3526.N,D,20110209,000000,245.38,245.38,245.38,245.38,0,0
3526.N,D,20110210,000000,240.77,240.77,240.77,240.77,0,0
3526.N,D,20110211,000000,242.01,242.01,242.01,242.01,0,0
3526.N,D,20110214,000000,246.36,246.36,246.36,246.36,0,0
3526.N,D,20110215,000000,244.8,244.8,244.8,244.8,0,0
3526.N,D,20110216,000000,246.48,246.48,246.48,246.48,0,0
3526.N,D,20110217,000000,247.45,247.45,247.45,247.45,0,0
3526.N,D,20110218,000000,249.81,249.81,249.81,249.81,0,0
3526.N,D,20110221,000000,249.16,249.16,249.16,249.16,0,0
3526.N,D,20110222,000000,243.24,243.24,243.24,243.24,0,0
3526.N,D,20110223,000000,240.85,240.85,240.85,240.85,0,0
3526.N,D,20110224,000000,238.49,238.49,238.49,238.49,0,0
3526.N,D,20110225,000000,241.79,241.79,241.79,241.79,0,0
3526.N,D,20110228,000000,245.69,245.69,245.69,245.69,0,0
3526.N,D,20110301,000000,248.37,248.37,248.37,248.37,0,0
3526.N,D,20110302,000000,247.16,247.16,247.16,247.16,0,0
3526.N,D,20110303,000000,248.55,248.55,248.55,248.55,0,0
3526.N,D,20110304,000000,251.85,251.85,251.85,251.85,0,0
