<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2815.N,D,20130312,000000,113.31,113.31,113.31,113.31,0,0
2815.N,D,20130916,000000,109.77,109.77,109.77,109.77,0,0
2815.N,D,20130917,000000,109.9,109.9,109.9,109.9,0,0
2815.N,D,20130918,000000,110.1,110.1,110.1,110.1,0,0
2815.N,D,20130919,000000,111.01,111.01,111.01,111.01,0,0
2815.N,D,20130920,000000,110.91,110.91,110.91,110.91,0,0
2815.N,D,20130923,000000,110.81,110.81,110.81,110.81,0,0
2815.N,D,20130924,000000,110.79,110.79,110.79,110.79,0,0
2815.N,D,20130925,000000,110.83,110.83,110.83,110.83,0,0
2815.N,D,20130926,000000,111.02,111.02,111.02,111.02,0,0
2815.N,D,20130927,000000,110.85,110.85,110.85,110.85,0,0
2815.N,D,20130930,000000,110.42,110.42,110.42,110.42,0,0
2815.N,D,20131001,000000,110.94,110.94,110.94,110.94,0,0
2815.N,D,20131002,000000,111.01,111.01,111.01,111.01,0,0
2815.N,D,20131003,000000,111.1,111.1,111.1,111.1,0,0
2815.N,D,20131004,000000,110.94,110.94,110.94,110.94,0,0
2815.N,D,20131007,000000,110.87,110.87,110.87,110.87,0,0
2815.N,D,20131008,000000,110.72,110.72,110.72,110.72,0,0
2815.N,D,20131009,000000,110.9,110.9,110.9,110.9,0,0
2815.N,D,20131010,000000,111.86,111.86,111.86,111.86,0,0
2815.N,D,20131011,000000,112.19,112.19,112.19,112.19,0,0
2815.N,D,20131014,000000,112.51,112.51,112.51,112.51,0,0
2815.N,D,20131015,000000,112.78,112.78,112.78,112.78,0,0
2815.N,D,20131016,000000,113.09,113.09,113.09,113.09,0,0
2815.N,D,20131017,000000,113.18,113.18,113.18,113.18,0,0
2815.N,D,20131018,000000,113.52,113.52,113.52,113.52,0,0
2815.N,D,20131021,000000,114.17,114.17,114.17,114.17,0,0
