<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
4732.N,D,20180301,000000,16.19,16.19,16.19,16.19,0,0
4732.N,D,20180401,000000,16.27,16.27,16.27,16.27,0,0
4732.N,D,20180501,000000,16.3,16.3,16.3,16.3,0,0
4732.N,D,20180601,000000,16.25,16.25,16.25,16.25,0,0
4732.N,D,20180701,000000,16.23,16.23,16.23,16.23,0,0
4732.N,D,20180801,000000,16.26,16.26,16.26,16.26,0,0
4732.N,D,20180901,000000,16.25,16.25,16.25,16.25,0,0
4732.N,D,20181001,000000,16.24,16.24,16.24,16.24,0,0
4732.N,D,20181101,000000,16.24,16.24,16.24,16.24,0,0
4732.N,D,20181201,000000,16.26,16.26,16.26,16.26,0,0
4732.N,D,20190101,000000,16.34,16.34,16.34,16.34,0,0
4732.N,D,20190201,000000,16.33,16.33,16.33,16.33,0,0
4732.N,D,20190301,000000,16.27,16.27,16.27,16.27,0,0
4732.N,D,20190401,000000,16.27,16.27,16.27,16.27,0,0
4732.N,D,20190501,000000,16.26,16.26,16.26,16.26,0,0
4732.N,D,20190601,000000,16.26,16.26,16.26,16.26,0,0
4732.N,D,20190701,000000,16.32,16.32,16.32,16.32,0,0
4732.N,D,20190801,000000,16.35,16.35,16.35,16.35,0,0
4732.N,D,20190901,000000,16.36,16.36,16.36,16.36,0,0
4732.N,D,20191001,000000,16.34,16.34,16.34,16.34,0,0
4732.N,D,20191101,000000,16.37,16.37,16.37,16.37,0,0
4732.N,D,20191201,000000,16.4,16.4,16.4,16.4,0,0
4732.N,D,20200101,000000,16.38,16.38,16.38,16.38,0,0
4732.N,D,20200201,000000,16.36,16.36,16.36,16.36,0,0
4732.N,D,20200301,000000,16.42,16.42,16.42,16.42,0,0
4732.N,D,20200401,000000,16.4,16.4,16.4,16.4,0,0
4732.N,D,20200501,000000,16.53,16.53,16.53,16.53,0,0
4732.N,D,20200601,000000,16.58,16.58,16.58,16.58,0,0
4732.N,D,20200701,000000,16.6,16.6,16.6,16.6,0,0
4732.N,D,20200801,000000,16.63,16.63,16.63,16.63,0,0
4732.N,D,20200901,000000,16.58,16.58,16.58,16.58,0,0
4732.N,D,20201001,000000,16.59,16.59,16.59,16.59,0,0
