<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1182.N,D,20141215,000000,100,100,100,100,0,0
1182.N,D,20141216,000000,98.23,98.23,98.23,98.23,0,0
1182.N,D,20141217,000000,98.39,98.39,98.39,98.39,0,0
1182.N,D,20141218,000000,99.6,99.6,99.6,99.6,0,0
1182.N,D,20141219,000000,101.12,101.12,101.12,101.12,0,0
1182.N,D,20141222,000000,101.76,101.76,101.76,101.76,0,0
1182.N,D,20141223,000000,102.24,102.24,102.24,102.24,0,0
1182.N,D,20141229,000000,102.2,102.2,102.2,102.2,0,0
1182.N,D,20141230,000000,101.81,101.81,101.81,101.81,0,0
1182.N,D,20150102,000000,101.01,101.01,101.01,101.01,0,0
1182.N,D,20150105,000000,101.29,101.29,101.29,101.29,0,0
1182.N,D,20150106,000000,99.13,99.13,99.13,99.13,0,0
1182.N,D,20150107,000000,99.52,99.52,99.52,99.52,0,0
1182.N,D,20150108,000000,100.39,100.39,100.39,100.39,0,0
1182.N,D,20150109,000000,101.79,101.79,101.79,101.79,0,0
1182.N,D,20150112,000000,102.35,102.35,102.35,102.35,0,0
1182.N,D,20150113,000000,102.96,102.96,102.96,102.96,0,0
1182.N,D,20150114,000000,102.58,102.58,102.58,102.58,0,0
1182.N,D,20150115,000000,101.53,101.53,101.53,101.53,0,0
1182.N,D,20150116,000000,101.63,101.63,101.63,101.63,0,0
1182.N,D,20150119,000000,103.28,103.28,103.28,103.28,0,0
1182.N,D,20150120,000000,103.65,103.65,103.65,103.65,0,0
1182.N,D,20150121,000000,103.93,103.93,103.93,103.93,0,0
1182.N,D,20150122,000000,104.51,104.51,104.51,104.51,0,0
1182.N,D,20150123,000000,105.69,105.69,105.69,105.69,0,0
1182.N,D,20150126,000000,106.87,106.87,106.87,106.87,0,0
1182.N,D,20150127,000000,107.01,107.01,107.01,107.01,0,0
1182.N,D,20150128,000000,105.93,105.93,105.93,105.93,0,0
1182.N,D,20150129,000000,106.2,106.2,106.2,106.2,0,0
1182.N,D,20150130,000000,107.25,107.25,107.25,107.25,0,0
1182.N,D,20150202,000000,107.36,107.36,107.36,107.36,0,0
1182.N,D,20150203,000000,107.77,107.77,107.77,107.77,0,0
1182.N,D,20150204,000000,106.68,106.68,106.68,106.68,0,0
1182.N,D,20150205,000000,106.74,106.74,106.74,106.74,0,0
1182.N,D,20150206,000000,106.21,106.21,106.21,106.21,0,0
1182.N,D,20150209,000000,104.97,104.97,104.97,104.97,0,0
1182.N,D,20150210,000000,105.31,105.31,105.31,105.31,0,0
1182.N,D,20150211,000000,105.87,105.87,105.87,105.87,0,0
1182.N,D,20150212,000000,106.63,106.63,106.63,106.63,0,0
1182.N,D,20150213,000000,106.81,106.81,106.81,106.81,0,0
1182.N,D,20150216,000000,106.23,106.23,106.23,106.23,0,0
1182.N,D,20150217,000000,105.93,105.93,105.93,105.93,0,0
1182.N,D,20150218,000000,106.73,106.73,106.73,106.73,0,0
1182.N,D,20150219,000000,107.31,107.31,107.31,107.31,0,0
1182.N,D,20150220,000000,107.41,107.41,107.41,107.41,0,0
1182.N,D,20150223,000000,108.22,108.22,108.22,108.22,0,0
1182.N,D,20150224,000000,108.51,108.51,108.51,108.51,0,0
1182.N,D,20150225,000000,108.68,108.68,108.68,108.68,0,0
1182.N,D,20150226,000000,108.93,108.93,108.93,108.93,0,0
1182.N,D,20150227,000000,109.55,109.55,109.55,109.55,0,0
1182.N,D,20150302,000000,109.71,109.71,109.71,109.71,0,0
1182.N,D,20150303,000000,110.1,110.1,110.1,110.1,0,0
1182.N,D,20150304,000000,108.47,108.47,108.47,108.47,0,0
1182.N,D,20150305,000000,109.64,109.64,109.64,109.64,0,0
1182.N,D,20150306,000000,110.21,110.21,110.21,110.21,0,0
