<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2836.N,D,20121119,000000,231.51,231.51,231.51,231.51,0,0
2836.N,D,20121120,000000,231.73,231.73,231.73,231.73,0,0
2836.N,D,20121121,000000,231.6,231.6,231.6,231.6,0,0
2836.N,D,20121122,000000,231.36,231.36,231.36,231.36,0,0
2836.N,D,20121123,000000,231.74,231.74,231.74,231.74,0,0
2836.N,D,20121126,000000,232.33,232.33,232.33,232.33,0,0
2836.N,D,20121127,000000,232.68,232.68,232.68,232.68,0,0
2836.N,D,20121128,000000,233.04,233.04,233.04,233.04,0,0
2836.N,D,20121129,000000,233.28,233.28,233.28,233.28,0,0
2836.N,D,20121130,000000,234.16,234.16,234.16,234.16,0,0
2836.N,D,20121203,000000,234.25,234.25,234.25,234.25,0,0
2836.N,D,20121204,000000,234.74,234.74,234.74,234.74,0,0
2836.N,D,20121205,000000,235.1,235.1,235.1,235.1,0,0
2836.N,D,20121206,000000,235.98,235.98,235.98,235.98,0,0
2836.N,D,20121207,000000,235.91,235.91,235.91,235.91,0,0
2836.N,D,20121210,000000,237.01,237.01,237.01,237.01,0,0
2836.N,D,20121211,000000,238.24,238.24,238.24,238.24,0,0
2836.N,D,20121212,000000,238.66,238.66,238.66,238.66,0,0
2836.N,D,20121213,000000,238.27,238.27,238.27,238.27,0,0
2836.N,D,20121214,000000,238.59,238.59,238.59,238.59,0,0
2836.N,D,20121217,000000,238.86,238.86,238.86,238.86,0,0
2836.N,D,20121218,000000,239.63,239.63,239.63,239.63,0,0
2836.N,D,20121219,000000,240.76,240.76,240.76,240.76,0,0
2836.N,D,20121220,000000,240.98,240.98,240.98,240.98,0,0
2836.N,D,20121221,000000,240.97,240.97,240.97,240.97,0,0
2836.N,D,20121227,000000,241.58,241.58,241.58,241.58,0,0
2836.N,D,20121228,000000,241.21,241.21,241.21,241.21,0,0
2836.N,D,20130102,000000,241.83,241.83,241.83,241.83,0,0
2836.N,D,20130103,000000,241.47,241.47,241.47,241.47,0,0
2836.N,D,20130104,000000,240.62,240.62,240.62,240.62,0,0
2836.N,D,20130107,000000,240.35,240.35,240.35,240.35,0,0
2836.N,D,20130108,000000,240.83,240.83,240.83,240.83,0,0
2836.N,D,20130109,000000,240.55,240.55,240.55,240.55,0,0
2836.N,D,20130110,000000,240.05,240.05,240.05,240.05,0,0
2836.N,D,20130111,000000,239.39,239.39,239.39,239.39,0,0
2836.N,D,20130114,000000,239.72,239.72,239.72,239.72,0,0
2836.N,D,20130115,000000,239.16,239.16,239.16,239.16,0,0
2836.N,D,20130116,000000,239.88,239.88,239.88,239.88,0,0
2836.N,D,20130117,000000,240.5,240.5,240.5,240.5,0,0
2836.N,D,20130118,000000,241.13,241.13,241.13,241.13,0,0
2836.N,D,20130121,000000,241.52,241.52,241.52,241.52,0,0
2836.N,D,20130122,000000,241.49,241.49,241.49,241.49,0,0
2836.N,D,20130123,000000,242.08,242.08,242.08,242.08,0,0
2836.N,D,20130124,000000,242.86,242.86,242.86,242.86,0,0
2836.N,D,20130125,000000,241.94,241.94,241.94,241.94,0,0
2836.N,D,20130128,000000,240.74,240.74,240.74,240.74,0,0
2836.N,D,20130129,000000,241.05,241.05,241.05,241.05,0,0
2836.N,D,20130130,000000,240.06,240.06,240.06,240.06,0,0
2836.N,D,20130131,000000,240.31,240.31,240.31,240.31,0,0
2836.N,D,20130201,000000,240.92,240.92,240.92,240.92,0,0
2836.N,D,20130204,000000,240.07,240.07,240.07,240.07,0,0
2836.N,D,20130205,000000,240.06,240.06,240.06,240.06,0,0
2836.N,D,20130206,000000,238.94,238.94,238.94,238.94,0,0
2836.N,D,20130207,000000,238.82,238.82,238.82,238.82,0,0
2836.N,D,20130208,000000,239.22,239.22,239.22,239.22,0,0
2836.N,D,20130211,000000,238.94,238.94,238.94,238.94,0,0
2836.N,D,20130212,000000,238.62,238.62,238.62,238.62,0,0
2836.N,D,20130213,000000,238.9,238.9,238.9,238.9,0,0
2836.N,D,20130214,000000,238.66,238.66,238.66,238.66,0,0
2836.N,D,20130215,000000,239.12,239.12,239.12,239.12,0,0
2836.N,D,20130218,000000,239.52,239.52,239.52,239.52,0,0
2836.N,D,20130219,000000,239.58,239.58,239.58,239.58,0,0
2836.N,D,20130220,000000,238.74,238.74,238.74,238.74,0,0
2836.N,D,20130221,000000,238.63,238.63,238.63,238.63,0,0
2836.N,D,20130222,000000,238.71,238.71,238.71,238.71,0,0
2836.N,D,20130225,000000,239.04,239.04,239.04,239.04,0,0
2836.N,D,20130226,000000,238.55,238.55,238.55,238.55,0,0
2836.N,D,20130227,000000,239.13,239.13,239.13,239.13,0,0
2836.N,D,20130228,000000,239.25,239.25,239.25,239.25,0,0
2836.N,D,20130301,000000,239.22,239.22,239.22,239.22,0,0
2836.N,D,20130304,000000,238.87,238.87,238.87,238.87,0,0
2836.N,D,20130305,000000,239.35,239.35,239.35,239.35,0,0
2836.N,D,20130306,000000,240.27,240.27,240.27,240.27,0,0
2836.N,D,20130307,000000,240.39,240.39,240.39,240.39,0,0
2836.N,D,20130308,000000,240.9,240.9,240.9,240.9,0,0
2836.N,D,20130311,000000,240.52,240.52,240.52,240.52,0,0
2836.N,D,20130312,000000,249.28,249.28,249.28,249.28,0,0
2836.N,D,20130313,000000,240.95,240.95,240.95,240.95,0,0
2836.N,D,20130314,000000,241.47,241.47,241.47,241.47,0,0
2836.N,D,20130315,000000,241.58,241.58,241.58,241.58,0,0
2836.N,D,20130318,000000,241.05,241.05,241.05,241.05,0,0
2836.N,D,20130319,000000,239.87,239.87,239.87,239.87,0,0
2836.N,D,20130320,000000,239.77,239.77,239.77,239.77,0,0
2836.N,D,20130321,000000,239.08,239.08,239.08,239.08,0,0
2836.N,D,20130322,000000,238.41,238.41,238.41,238.41,0,0
2836.N,D,20130325,000000,237.61,237.61,237.61,237.61,0,0
2836.N,D,20130326,000000,237.92,237.92,237.92,237.92,0,0
2836.N,D,20130327,000000,238.82,238.82,238.82,238.82,0,0
2836.N,D,20130328,000000,238.49,238.49,238.49,238.49,0,0
2836.N,D,20130402,000000,239.02,239.02,239.02,239.02,0,0
