<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMX_MV,D,20100721,000000,14.849,14.849,14.849,14.849,0,0
BMX_MV,D,20100722,000000,14.849,14.849,14.849,14.849,0,0
BMX_MV,D,20100723,000000,15.006,15.006,14.95,14.95,0,0
BMX_MV,D,20100726,000000,15.006,15.006,15.006,15.006,0,0
BMX_MV,D,20100727,000000,14.968,14.968,14.849,14.968,0,0
BMX_MV,D,20100728,000000,14.968,14.968,14.757,14.849,0,0
BMX_MV,D,20100729,000000,14.757,15.006,14.665,14.849,0,0
BMX_MV,D,20100730,000000,14.849,15.006,14.794,15.006,0,0
BMX_MV,D,20100802,000000,15.023,15.023,14.61,14.849,0,0
BMX_MV,D,20100803,000000,14.61,14.849,14.573,14.849,0,0
BMX_MV,D,20100804,000000,14.61,14.665,14.61,14.665,0,0
BMX_MV,D,20100805,000000,14.665,14.665,14.665,14.665,0,0
BMX_MV,D,20100806,000000,14.573,14.665,14.573,14.665,0,0
BMX_MV,D,20100809,000000,14.573,14.573,14.573,14.573,0,0
BMX_MV,D,20100810,000000,14.499,16.357,14.499,16.357,0,0
BMX_MV,D,20100811,000000,15.604,16.735,15.319,16.735,0,0
BMX_MV,D,20100812,000000,16.542,16.542,16.542,16.542,0,0
BMX_MV,D,20100813,000000,15.981,15.981,15.245,15.797,0,0
BMX_MV,D,20100816,000000,15.419,16.164,15.281,15.281,0,0
BMX_MV,D,20100817,000000,15.226,15.226,15.133,15.133,0,0
BMX_MV,D,20100818,000000,15.042,15.319,15.042,15.319,0,0
BMX_MV,D,20100819,000000,15.383,15.889,15.319,15.319,0,0
BMX_MV,D,20100820,000000,15.319,15.319,15.319,15.319,0,0
BMX_MV,D,20100823,000000,15.419,15.659,15.419,15.659,0,0
BMX_MV,D,20100824,000000,15.677,15.677,15.512,15.512,0,0
BMX_MV,D,20100825,000000,15.419,15.659,15.419,15.419,0,0
BMX_MV,D,20100826,000000,15.659,16.699,15.659,16.699,0,0
BMX_MV,D,20100827,000000,16.699,17.296,16.699,17.296,0,0
BMX_MV,D,20100830,000000,17.37,17.37,16.919,16.919,0,0
BMX_MV,D,20100831,000000,17.351,17.351,17.113,17.113,0,0
BMX_MV,D,20100901,000000,17.296,17.351,17.296,17.351,0,0
BMX_MV,D,20100902,000000,17.296,17.296,17.268,17.268,0,0
BMX_MV,D,20100903,000000,17.075,17.075,16.725,17.075,0,0
