<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMX_PE,D,20100721,000000,22.448,22.448,22.448,22.448,0,0
BMX_PE,D,20100722,000000,22.448,22.448,22.448,22.448,0,0
BMX_PE,D,20100723,000000,22.632,22.632,22.54,22.54,0,0
BMX_PE,D,20100726,000000,22.632,22.632,22.632,22.632,0,0
BMX_PE,D,20100727,000000,22.54,22.632,22.448,22.632,0,0
BMX_PE,D,20100728,000000,22.632,22.632,22.357,22.448,0,0
BMX_PE,D,20100729,000000,22.264,22.632,22.172,22.448,0,0
BMX_PE,D,20100730,000000,22.448,22.632,22.357,22.632,0,0
BMX_PE,D,20100802,000000,22.632,22.632,22.081,22.448,0,0
BMX_PE,D,20100803,000000,22.448,22.724,22.357,22.448,0,0
BMX_PE,D,20100804,000000,22.264,22.264,18.124,18.124,0,0
BMX_PE,D,20100805,000000,18.124,18.124,18.124,18.124,0,0
BMX_PE,D,20100806,000000,18.032,18.124,18.032,18.124,0,0
BMX_PE,D,20100809,000000,18.032,18.032,18.032,18.032,0,0
BMX_PE,D,20100810,000000,17.94,20.24,17.94,20.148,0,0
BMX_PE,D,20100811,000000,19.228,20.7,18.86,20.7,0,0
BMX_PE,D,20100812,000000,20.424,20.424,20.424,20.424,0,0
BMX_PE,D,20100813,000000,19.689,19.689,18.86,19.505,0,0
BMX_PE,D,20100816,000000,19.044,19.964,18.86,18.86,0,0
BMX_PE,D,20100817,000000,18.768,18.768,18.677,18.677,0,0
BMX_PE,D,20100818,000000,18.585,18.953,18.585,18.953,0,0
BMX_PE,D,20100819,000000,19.044,19.689,18.953,18.953,0,0
BMX_PE,D,20100820,000000,18.953,18.953,18.953,18.953,0,0
BMX_PE,D,20100823,000000,19.044,19.412,19.044,19.32,0,0
BMX_PE,D,20100824,000000,19.32,19.32,19.136,19.136,0,0
BMX_PE,D,20100825,000000,19.044,19.32,19.044,19.044,0,0
BMX_PE,D,20100826,000000,19.32,20.609,19.32,20.609,0,0
BMX_PE,D,20100827,000000,20.609,21.344,20.609,21.344,0,0
BMX_PE,D,20100830,000000,21.436,21.436,20.885,20.885,0,0
BMX_PE,D,20100831,000000,21.436,21.436,21.16,21.16,0,0
BMX_PE,D,20100901,000000,21.344,21.436,21.344,21.436,0,0
BMX_PE,D,20100902,000000,21.344,21.344,21.344,21.344,0,0
BMX_PE,D,20100903,000000,21.068,21.068,20.7,21.068,0,0
BMX_PE,D,20100906,000000,21.068,21.16,21.068,21.068,0,0
BMX_PE,D,20100907,000000,21.068,21.068,20.792,20.885,0,0
BMX_PE,D,20100908,000000,21.16,21.253,20.977,21.16,0,0
BMX_PE,D,20100909,000000,21.253,21.436,21.068,21.436,0,0
BMX_PE,D,20100910,000000,21.436,21.528,21.068,21.068,0,0
BMX_PE,D,20100913,000000,20.977,20.977,20.977,20.977,0,0
BMX_PE,D,20100914,000000,20.977,21.436,20.977,21.436,0,0
BMX_PE,D,20100915,000000,21.436,21.436,21.068,21.068,0,0
BMX_PE,D,20100916,000000,20.977,20.977,20.977,20.977,0,0
BMX_PE,D,20100917,000000,21.068,21.344,21.068,21.068,0,0
BMX_PE,D,20100920,000000,21.16,21.253,21.068,21.253,0,0
BMX_PE,D,20100921,000000,21.253,21.253,20.7,21.16,0,0
BMX_PE,D,20100922,000000,21.253,21.253,21.253,21.253,0,0
BMX_PE,D,20100923,000000,21.253,21.253,21.253,21.253,0,0
BMX_PE,D,20100924,000000,21.253,21.253,21.16,21.253,0,0
BMX_PE,D,20100927,000000,21.253,21.253,20.609,20.885,0,0
BMX_PE,D,20100928,000000,20.885,20.885,19.689,20.792,0,0
BMX_PE,D,20100929,000000,20.332,21.068,20.332,21.068,0,0
BMX_PE,D,20100930,000000,21.16,21.253,21.068,21.253,0,0
BMX_PE,D,20101001,000000,21.253,21.253,20.792,21.16,0,0
BMX_PE,D,20101004,000000,21.16,21.16,20.792,20.977,0,0
BMX_PE,D,20101005,000000,21.253,21.253,20.885,20.885,0,0
BMX_PE,D,20101006,000000,21.16,21.16,20.977,20.977,0,0
BMX_PE,D,20101007,000000,21.253,21.253,20.977,20.977,0,0
BMX_PE,D,20101008,000000,20.977,20.977,20.24,20.24,0,0
BMX_PE,D,20101011,000000,19.781,20.977,19.781,20.24,0,0
BMX_PE,D,20101012,000000,20.24,21.068,20.24,21.068,0,0
BMX_PE,D,20101013,000000,21.068,21.068,20.7,20.7,0,0
BMX_PE,D,20101014,000000,20.792,20.885,20.792,20.885,0,0
BMX_PE,D,20101015,000000,21.068,21.068,20.977,21.068,0,0
BMX_PE,D,20101018,000000,21.068,21.068,20.7,20.7,0,0
BMX_PE,D,20101019,000000,20.977,21.068,20.977,21.068,0,0
BMX_PE,D,20101020,000000,20.977,20.977,20.148,20.148,0,0
BMX_PE,D,20101021,000000,20.148,20.516,19.689,20.24,0,0
BMX_PE,D,20101022,000000,20.7,20.7,20.7,20.7,0,0
BMX_PE,D,20101025,000000,20.424,20.516,20.24,20.516,0,0
BMX_PE,D,20101026,000000,20.424,20.424,20.424,20.424,0,0
BMX_PE,D,20101027,000000,20.792,20.885,20.424,20.424,0,0
BMX_PE,D,20101028,000000,20.332,20.332,19.596,19.596,0,0
BMX_PE,D,20101029,000000,19.412,19.964,19.412,19.964,0,0
BMX_PE,D,20101102,000000,19.689,20.057,19.689,19.689,0,0
BMX_PE,D,20101103,000000,19.781,24.472,18.953,24.472,0,0
BMX_PE,D,20101104,000000,23.92,23.92,23.093,23.093,0,0
BMX_PE,D,20101105,000000,23.553,24.012,23.553,24.012,0,0
BMX_PE,D,20101108,000000,24.012,24.012,23.368,23.368,0,0
BMX_PE,D,20101109,000000,23.185,23.276,23.185,23.276,0,0
BMX_PE,D,20101110,000000,23.276,23.276,23.276,23.276,0,0
BMX_PE,D,20101112,000000,23.276,23.461,22.816,22.908,0,0
BMX_PE,D,20101115,000000,22.908,22.908,22.908,22.908,0,0
BMX_PE,D,20101116,000000,22.908,23.276,22.908,23.276,0,0
BMX_PE,D,20101117,000000,23.276,23.276,23.276,23.276,0,0
BMX_PE,D,20101118,000000,23.276,23.736,23.276,23.276,0,0
BMX_PE,D,20101119,000000,23.736,23.736,23,23.644,0,0
BMX_PE,D,20101122,000000,23.553,23.736,23.276,23.644,0,0
BMX_PE,D,20101123,000000,23.736,24.472,23.736,24.472,0,0
BMX_PE,D,20101124,000000,24.472,24.472,24.104,24.104,0,0
BMX_PE,D,20101125,000000,24.104,24.381,24.104,24.104,0,0
BMX_PE,D,20101126,000000,24.104,24.565,24.104,24.565,0,0
BMX_PE,D,20101129,000000,24.565,24.565,23.829,23.829,0,0
BMX_PE,D,20101130,000000,23.829,24.565,23.829,24.565,0,0
BMX_PE,D,20101201,000000,24.565,24.565,24.565,24.565,0,0
BMX_PE,D,20101202,000000,24.84,24.84,24.84,24.84,0,0
BMX_PE,D,20101203,000000,24.84,24.84,24.012,24.012,0,0
BMX_PE,D,20101206,000000,23.829,24.104,23.093,23.829,0,0
BMX_PE,D,20101207,000000,24.197,24.197,24.197,24.197,0,0
BMX_PE,D,20101208,000000,24.197,24.197,23.829,23.829,0,0
BMX_PE,D,20101209,000000,23.829,23.829,23.829,23.829,0,0
BMX_PE,D,20101213,000000,23.553,23.829,23.553,23.829,0,0
BMX_PE,D,20101214,000000,23.644,23.644,23.644,23.644,0,0
BMX_PE,D,20101215,000000,23.644,23.736,23.644,23.736,0,0
BMX_PE,D,20101216,000000,23.736,24.012,23.736,23.736,0,0
BMX_PE,D,20101217,000000,23.736,23.736,23.644,23.736,0,0
BMX_PE,D,20101220,000000,23.829,23.829,23.553,23.553,0,0
BMX_PE,D,20101221,000000,23.553,23.553,23.553,23.553,0,0
BMX_PE,D,20101222,000000,23.553,23.553,23.553,23.553,0,0
BMX_PE,D,20101223,000000,23.276,23.276,23.276,23.276,0,0
BMX_PE,D,20101227,000000,23.368,23.368,23.368,23.368,0,0
BMX_PE,D,20101228,000000,23.368,23.644,23.368,23.644,0,0
BMX_PE,D,20101229,000000,23.368,23.368,23.368,23.368,0,0
BMX_PE,D,20101230,000000,23.553,23.553,23.368,23.368,0,0
BMX_PE,D,20101231,000000,23.829,23.829,23.829,23.829,0,0
BMX_PE,D,20110103,000000,24.104,24.104,24.104,24.104,0,0
BMX_PE,D,20110104,000000,23.829,23.829,23.829,23.829,0,0
BMX_PE,D,20110105,000000,24.104,24.104,24.104,24.104,0,0
BMX_PE,D,20110107,000000,24.012,24.012,24.012,24.012,0,0
