<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GME_PE,D,20171108,000000,30.244,30.244,30.244,30.244,0,0
GME_PE,D,20171109,000000,30.244,30.244,28.169,30.244,0,0
GME_PE,D,20171110,000000,30.244,30.244,30.244,30.244,0,0
GME_PE,D,20171113,000000,30.244,30.244,30.244,30.244,0,0
GME_PE,D,20171114,000000,30.244,30.244,30.244,30.244,0,0
GME_PE,D,20171115,000000,30.244,30.244,30.244,30.244,0,0
GME_PE,D,20171116,000000,30.244,30.244,30.244,30.244,0,0
GME_PE,D,20171117,000000,30.244,30.244,30.244,30.244,0,0
GME_PE,D,20171121,000000,28.169,30.145,28.169,30.145,0,0
GME_PE,D,20171122,000000,28.169,28.169,28.169,28.169,0,0
GME_PE,D,20171123,000000,28.169,28.169,28.169,28.169,0,0
GME_PE,D,20171124,000000,28.169,28.169,23.721,23.721,0,0
GME_PE,D,20171127,000000,22.041,23.721,22.041,23.721,0,0
GME_PE,D,20171205,000000,23.721,23.721,23.721,23.721,0,0
GME_PE,D,20171213,000000,23.721,23.721,23.721,23.721,0,0
GME_PE,D,20171220,000000,22.041,23.326,21.744,23.326,0,0
GME_PE,D,20171221,000000,21.645,21.645,19.076,19.076,0,0
GME_PE,D,20171222,000000,19.076,20.36,19.076,20.36,0,0
GME_PE,D,20171227,000000,20.36,20.36,20.36,20.36,0,0
GME_PE,D,20171229,000000,20.36,20.36,20.36,20.36,0,0
GME_PE,D,20180103,000000,19.866,19.866,19.866,19.866,0,0
GME_PE,D,20180109,000000,23.227,23.227,23.227,23.227,0,0
GME_PE,D,20180110,000000,23.227,25.5,23.227,25.401,0,0
GME_PE,D,20180111,000000,26.983,26.983,26.983,26.983,0,0
GME_PE,D,20180112,000000,25.203,25.302,25.203,25.302,0,0
GME_PE,D,20180115,000000,26.983,26.983,23.523,23.523,0,0
GME_PE,D,20180117,000000,22.831,22.831,21.448,21.448,0,0
GME_PE,D,20180118,000000,20.064,20.064,19.174,19.174,0,0
GME_PE,D,20180119,000000,19.471,21.448,19.471,21.448,0,0
GME_PE,D,20180122,000000,20.756,20.756,20.756,20.756,0,0
GME_PE,D,20180129,000000,21.448,21.448,21.448,21.448,0,0
GME_PE,D,20180201,000000,20.756,20.756,20.756,20.756,0,0
GME_PE,D,20180202,000000,20.262,20.262,20.262,20.262,0,0
GME_PE,D,20180205,000000,19.076,19.076,19.076,19.076,0,0
GME_PE,D,20180207,000000,19.076,19.076,19.076,19.076,0,0
GME_PE,D,20180208,000000,19.076,19.076,18.186,18.186,0,0
GME_PE,D,20180209,000000,18.186,18.186,18.186,18.186,0,0
GME_PE,D,20180213,000000,18.581,18.581,18.483,18.483,0,0
GME_PE,D,20180215,000000,18.483,18.483,18.483,18.483,0,0
GME_PE,D,20180220,000000,17.988,17.988,17.988,17.988,0,0
GME_PE,D,20180226,000000,17.988,17.988,17.988,17.988,0,0
GME_PE,D,20180228,000000,18.186,18.186,18.186,18.186,0,0
GME_PE,D,20180301,000000,17.791,17.791,17.791,17.791,0,0
GME_PE,D,20180302,000000,17.791,17.791,17.791,17.791,0,0
GME_PE,D,20180305,000000,17.791,17.791,17.791,17.791,0,0
GME_PE,D,20180306,000000,17.791,17.791,17.791,17.791,0,0
GME_PE,D,20180307,000000,17.791,17.988,17.791,17.988,0,0
GME_PE,D,20180308,000000,18.186,18.186,18.186,18.186,0,0
GME_PE,D,20180309,000000,18.186,18.186,18.186,18.186,0,0
GME_PE,D,20180312,000000,18.186,19.57,18.186,19.57,0,0
GME_PE,D,20180313,000000,18.483,19.965,17.692,19.866,0,0
