<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOV_PE,D,20171207,000000,116.9,116.9,116.9,116.9,0,0
GOV_PE,D,20171208,000000,169.2,176.9,105.2,105.2,0,0
GOV_PE,D,20171211,000000,111.8,117.6,100,111.1,0,0
GOV_PE,D,20171212,000000,111.8,111.8,100,105.2,0,0
GOV_PE,D,20171213,000000,105.9,105.9,99.4,99.4,0,0
GOV_PE,D,20171214,000000,100,100,93.5,93.5,0,0
GOV_PE,D,20171215,000000,94.1,94.1,82.4,87.7,0,0
GOV_PE,D,20171218,000000,88.2,88.2,76,76,0,0
GOV_PE,D,20171219,000000,76.5,82.4,70.6,81.8,0,0
GOV_PE,D,20171220,000000,82.4,82.4,70.6,76,0,0
GOV_PE,D,20171221,000000,70.6,82.4,70.1,70.1,0,0
GOV_PE,D,20171222,000000,70.6,88.2,70.6,87.7,0,0
GOV_PE,D,20171227,000000,88.2,88.2,87.7,87.7,0,0
GOV_PE,D,20171228,000000,94.1,94.1,81.8,81.8,0,0
GOV_PE,D,20171229,000000,94.1,94.1,82.4,93.5,0,0
GOV_PE,D,20180103,000000,94.1,94.1,87.7,87.7,0,0
GOV_PE,D,20180104,000000,88.9,88.9,77.8,81.8,0,0
GOV_PE,D,20180105,000000,82.4,82.4,81.8,81.8,0,0
GOV_PE,D,20180108,000000,82.4,82.4,81.8,81.8,0,0
GOV_PE,D,20180109,000000,82.4,82.4,76,76,0,0
GOV_PE,D,20180110,000000,76.5,76.5,70.1,70.1,0,0
GOV_PE,D,20180111,000000,76.5,88.2,70.6,87.7,0,0
GOV_PE,D,20180112,000000,88.2,105.9,88.2,105.2,0,0
GOV_PE,D,20180115,000000,111.8,111.8,94.1,99.4,0,0
GOV_PE,D,20180116,000000,100,105.9,88.2,93.5,0,0
GOV_PE,D,20180117,000000,94.1,94.1,82.4,87.7,0,0
GOV_PE,D,20180118,000000,88.2,100,82.4,99.4,0,0
GOV_PE,D,20180119,000000,100,100,81.8,81.8,0,0
GOV_PE,D,20180122,000000,88.2,100,88.2,93.5,0,0
GOV_PE,D,20180123,000000,88.2,105.9,87.7,87.7,0,0
GOV_PE,D,20180124,000000,88.2,100,82.4,93.5,0,0
GOV_PE,D,20180125,000000,88.2,94.1,82.4,87.7,0,0
GOV_PE,D,20180126,000000,88.2,94.1,88.2,93.5,0,0
GOV_PE,D,20180129,000000,94.1,129.4,88.2,128.6,0,0
GOV_PE,D,20180130,000000,176.5,176.5,140.3,140.3,0,0
GOV_PE,D,20180131,000000,152.9,152.9,117.6,117.6,0,0
GOV_PE,D,20180201,000000,123.5,129.4,117.6,128.6,0,0
GOV_PE,D,20180202,000000,129.4,152.9,129.4,134.4,0,0
GOV_PE,D,20180205,000000,135.3,141.2,129.4,140.3,0,0
GOV_PE,D,20180206,000000,141.2,141.2,128.6,128.6,0,0
GOV_PE,D,20180207,000000,129.4,176.5,129.4,169.5,0,0
GOV_PE,D,20180208,000000,170.6,200,158.8,187.1,0,0
GOV_PE,D,20180209,000000,188.2,247.1,188.2,222.1,0,0
GOV_PE,D,20180212,000000,223.5,247.1,223.5,233.8,0,0
GOV_PE,D,20180213,000000,235.3,235.3,211.8,216.3,0,0
GOV_PE,D,20180214,000000,205.9,223.5,157.8,157.8,0,0
GOV_PE,D,20180215,000000,147.1,164.7,140.3,140.3,0,0
GOV_PE,D,20180216,000000,135.3,170.6,135.3,157.8,0,0
GOV_PE,D,20180219,000000,158.8,164.7,152.9,158.8,0,0
