<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICE_MV,D,20180925,000000,36.04,36.04,36.04,36.04,0,0
ICE_MV,D,20180926,000000,35.97,36.71,33.04,33.04,0,0
ICE_MV,D,20180927,000000,33.04,33.04,27.03,30.03,0,0
ICE_MV,D,20180928,000000,31.7,31.7,29.03,29.03,0,0
ICE_MV,D,20181001,000000,29.36,29.7,29.03,29.7,0,0
ICE_MV,D,20181002,000000,30.03,30.03,26.36,26.36,0,0
ICE_MV,D,20181003,000000,26.36,26.36,24.03,25.69,0,0
ICE_MV,D,20181004,000000,25.69,25.69,23.36,25.36,0,0
ICE_MV,D,20181005,000000,26.36,28.36,26.36,28.03,0,0
ICE_MV,D,20181008,000000,28,28,26.53,27.36,0,0
ICE_MV,D,20181009,000000,27.36,30.03,27.36,30.03,0,0
ICE_MV,D,20181010,000000,30.7,30.7,26.7,26.7,0,0
ICE_MV,D,20181011,000000,27.9,29.36,27.9,29.36,0,0
ICE_MV,D,20181012,000000,29.36,29.36,25.69,28.36,0,0
ICE_MV,D,20181015,000000,27.96,27.96,25.56,25.56,0,0
ICE_MV,D,20181016,000000,25.56,25.69,24.36,24.86,0,0
ICE_MV,D,20181017,000000,25.03,25.66,25.03,25.66,0,0
ICE_MV,D,20181018,000000,25.66,25.66,25.66,25.66,0,0
ICE_MV,D,20181019,000000,25.66,25.66,24.03,25.56,0,0
ICE_MV,D,20181022,000000,24.36,24.36,23.73,23.73,0,0
ICE_MV,D,20181023,000000,23.73,23.73,22.02,22.02,0,0
ICE_MV,D,20181024,000000,21.76,21.76,21.76,21.76,0,0
ICE_MV,D,20181025,000000,21.86,21.86,21.36,21.36,0,0
ICE_MV,D,20181026,000000,21.02,21.02,20.86,20.86,0,0
ICE_MV,D,20181031,000000,20.35,20.35,20.35,20.35,0,0
ICE_MV,D,20181102,000000,21.02,21.69,21.02,21.69,0,0
ICE_MV,D,20181107,000000,21.02,21.02,20.52,20.52,0,0
ICE_MV,D,20181108,000000,20.52,21.86,20.52,21.86,0,0
ICE_MV,D,20181109,000000,20.52,20.69,20.52,20.69,0,0
ICE_MV,D,20181113,000000,20.69,24.83,16.68,24.83,0,0
ICE_MV,D,20181114,000000,24.36,24.36,24.36,24.36,0,0
ICE_MV,D,20181115,000000,24.36,24.36,24.36,24.36,0,0
ICE_MV,D,20181116,000000,24.33,24.33,24.33,24.33,0,0
ICE_MV,D,20181119,000000,23.99,23.99,23.99,23.99,0,0
ICE_MV,D,20181120,000000,23.69,23.69,22.69,22.69,0,0
ICE_MV,D,20181128,000000,22.69,22.69,22.19,22.19,0,0
ICE_MV,D,20181129,000000,22.02,22.02,20.69,21.86,0,0
ICE_MV,D,20181130,000000,21.86,21.86,21.86,21.86,0,0
ICE_MV,D,20181206,000000,21.69,21.86,21.69,21.86,0,0
ICE_MV,D,20181207,000000,21.69,21.69,18.69,20.86,0,0
ICE_MV,D,20181210,000000,20.02,20.35,20.02,20.35,0,0
ICE_MV,D,20181211,000000,20.35,22.36,20.35,21.69,0,0
ICE_MV,D,20181213,000000,21.36,24.03,21.36,24.03,0,0
ICE_MV,D,20181214,000000,23.99,23.99,22.86,22.86,0,0
ICE_MV,D,20181217,000000,23.02,23.02,22.09,22.09,0,0
ICE_MV,D,20181218,000000,22.02,22.19,21.36,21.36,0,0
ICE_MV,D,20181219,000000,21.52,22.02,21.19,22.02,0,0
ICE_MV,D,20181220,000000,21.69,25.03,21.69,23.02,0,0
ICE_MV,D,20181221,000000,22.69,22.69,21.36,21.52,0,0
ICE_MV,D,20181227,000000,21.52,21.52,21.52,21.52,0,0
ICE_MV,D,20181228,000000,21.52,22.02,21.36,21.36,0,0
ICE_MV,D,20190103,000000,22.02,25.36,22.02,25.36,0,0
ICE_MV,D,20190104,000000,22.36,22.36,21.69,21.69,0,0
ICE_MV,D,20190109,000000,21.69,21.69,21.36,21.36,0,0
ICE_MV,D,20190110,000000,21.69,22.36,21.02,21.02,0,0
ICE_MV,D,20190111,000000,20.86,21.36,20.69,20.72,0,0
ICE_MV,D,20190114,000000,20.76,21.69,20.72,21.02,0,0
ICE_MV,D,20190115,000000,21.56,21.69,21.56,21.69,0,0
ICE_MV,D,20190116,000000,21.69,21.69,21.69,21.69,0,0
ICE_MV,D,20190117,000000,21.69,21.69,21.69,21.69,0,0
ICE_MV,D,20190118,000000,21.69,21.69,21.69,21.69,0,0
ICE_MV,D,20190121,000000,21.66,21.66,21.46,21.49,0,0
ICE_MV,D,20190122,000000,21.46,21.49,21.36,21.36,0,0
ICE_MV,D,20190123,000000,21.86,23.36,21.86,22.62,0,0
ICE_MV,D,20190124,000000,22.69,22.69,22.69,22.69,0,0
ICE_MV,D,20190125,000000,22.96,23.69,22.16,22.16,0,0
ICE_MV,D,20190128,000000,23.22,23.22,22.69,22.69,0,0
ICE_MV,D,20190129,000000,22.89,22.89,22.89,22.89,0,0
ICE_MV,D,20190130,000000,22.82,22.82,22.39,22.39,0,0
ICE_MV,D,20190131,000000,22.09,22.96,22.09,22.96,0,0
ICE_MV,D,20190201,000000,22.36,23.29,22.36,23.29,0,0
ICE_MV,D,20190204,000000,23.29,23.36,22.06,22.06,0,0
ICE_MV,D,20190205,000000,22.09,22.09,22.09,22.09,0,0
ICE_MV,D,20190206,000000,22.06,22.06,22.06,22.06,0,0
ICE_MV,D,20190207,000000,21.76,21.76,21.02,21.02,0,0
ICE_MV,D,20190211,000000,20.79,20.79,20.79,20.79,0,0
ICE_MV,D,20190212,000000,20.79,20.79,20.79,20.79,0,0
ICE_MV,D,20190213,000000,20.79,20.79,20.79,20.79,0,0
ICE_MV,D,20190214,000000,21.02,21.02,21.02,21.02,0,0
ICE_MV,D,20190215,000000,21.02,21.69,21.02,21.69,0,0
ICE_MV,D,20190218,000000,21.36,21.69,21.36,21.69,0,0
ICE_MV,D,20190219,000000,21.69,22.02,21.69,21.69,0,0
