<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INS_PE,D,20160216,000000,6.6949,6.6949,6.6949,6.6949,0,0
INS_PE,D,20160217,000000,5.8254,6.9557,5.5647,6.9557,0,0
INS_PE,D,20160218,000000,6.4341,6.8688,6.1733,6.8688,0,0
INS_PE,D,20160219,000000,6.608,6.608,5.7385,6.3471,0,0
INS_PE,D,20160222,000000,6.2601,6.2601,5.9994,6.2601,0,0
INS_PE,D,20160223,000000,6.2601,6.2601,6.2601,6.2601,0,0
INS_PE,D,20160224,000000,6.2601,6.2601,6.2601,6.2601,0,0
INS_PE,D,20160225,000000,6.2601,6.2601,6.2601,6.2601,0,0
INS_PE,D,20160226,000000,6.2601,6.2601,5.4776,5.4776,0,0
INS_PE,D,20160229,000000,5.6515,6.521,5.6515,6.521,0,0
INS_PE,D,20160301,000000,6.608,7.2166,6.608,7.2166,0,0
INS_PE,D,20160302,000000,7.2166,7.2166,6.521,7.2166,0,0
INS_PE,D,20160303,000000,7.2166,7.2166,7.2166,7.2166,0,0
INS_PE,D,20160304,000000,6.6949,7.1296,6.521,7.1296,0,0
INS_PE,D,20160307,000000,7.1296,7.2166,7.1296,7.2166,0,0
INS_PE,D,20160308,000000,7.1296,7.1296,6.6949,7.1296,0,0
INS_PE,D,20160309,000000,7.1296,7.1296,6.521,7.1296,0,0
INS_PE,D,20160310,000000,6.9557,7.1296,6.9557,7.1296,0,0
INS_PE,D,20160311,000000,7.1296,7.1296,7.1296,7.1296,0,0
INS_PE,D,20160314,000000,7.1296,7.2166,6.4341,7.2166,0,0
INS_PE,D,20160315,000000,7.2166,7.2166,7.1296,7.1296,0,0
INS_PE,D,20160316,000000,7.1296,7.1296,7.1296,7.1296,0,0
INS_PE,D,20160317,000000,7.1296,7.1296,7.0428,7.0428,0,0
INS_PE,D,20160318,000000,7.0428,7.0428,7.0428,7.0428,0,0
INS_PE,D,20160321,000000,7.0428,7.0428,6.4341,7.0428,0,0
INS_PE,D,20160322,000000,7.0428,7.1296,7.0428,7.1296,0,0
INS_PE,D,20160323,000000,7.0428,7.0428,7.0428,7.0428,0,0
INS_PE,D,20160324,000000,6.6949,7.1296,6.6949,7.1296,0,0
INS_PE,D,20160329,000000,7.1296,7.1296,7.1296,7.1296,0,0
INS_PE,D,20160330,000000,7.1296,7.1296,7.1296,7.1296,0,0
INS_PE,D,20160331,000000,7.1296,7.1296,7.1296,7.1296,0,0
INS_PE,D,20160401,000000,7.1296,7.1296,7.1296,7.1296,0,0
INS_PE,D,20160404,000000,7.1296,7.1296,6.9557,7.1296,0,0
INS_PE,D,20160405,000000,7.1296,7.1296,6.9557,7.1296,0,0
INS_PE,D,20160406,000000,6.6949,6.8688,6.521,6.8688,0,0
INS_PE,D,20160411,000000,6.782,7.3906,6.608,7.3906,0,0
INS_PE,D,20160412,000000,7.1296,7.1296,7.1296,7.1296,0,0
INS_PE,D,20160413,000000,7.3035,7.3906,7.3035,7.3906,0,0
INS_PE,D,20160414,000000,7.3906,7.3906,7.3906,7.3906,0,0
INS_PE,D,20160415,000000,7.3906,7.3906,7.3906,7.3906,0,0
INS_PE,D,20160418,000000,7.3906,7.3906,7.3906,7.3906,0,0
INS_PE,D,20160419,000000,7.3906,7.3906,7.3906,7.3906,0,0
INS_PE,D,20160420,000000,7.3906,7.3906,7.3906,7.3906,0,0
INS_PE,D,20160421,000000,7.3906,7.3906,6.8688,6.8688,0,0
INS_PE,D,20160422,000000,6.8688,7.3035,6.6949,6.8688,0,0
INS_PE,D,20160425,000000,6.8688,7.2166,6.8688,7.2166,0,0
INS_PE,D,20160427,000000,7.2166,7.2166,7.2166,7.2166,0,0
INS_PE,D,20160428,000000,7.2166,7.2166,6.6949,6.9557,0,0
INS_PE,D,20160429,000000,6.9557,7.1296,6.9557,7.1296,0,0
INS_PE,D,20160504,000000,7.0428,7.0428,6.521,6.9557,0,0
INS_PE,D,20160505,000000,6.8688,7.3035,6.8688,7.3035,0,0
INS_PE,D,20160506,000000,7.3035,7.4774,7.3035,7.3906,0,0
INS_PE,D,20160509,000000,7.3906,7.3906,6.8688,7.3906,0,0
INS_PE,D,20160510,000000,7.3906,7.3906,7.3906,7.3906,0,0
INS_PE,D,20160511,000000,7.3035,7.3906,7.3035,7.3906,0,0
INS_PE,D,20160512,000000,7.1296,7.3906,7.1296,7.3906,0,0
INS_PE,D,20160513,000000,7.3906,7.3906,7.3906,7.3906,0,0
INS_PE,D,20160516,000000,7.3906,7.3906,7.3906,7.3906,0,0
INS_PE,D,20160517,000000,7.2166,7.2166,7.2166,7.2166,0,0
INS_PE,D,20160519,000000,7.8252,7.8252,7.8252,7.8252,0,0
INS_PE,D,20160520,000000,7.6514,7.6514,7.3906,7.3906,0,0
INS_PE,D,20160531,000000,7.3035,7.3035,7.3035,7.3035,0,0
INS_PE,D,20160602,000000,7.4774,7.5644,7.4774,7.5644,0,0
INS_PE,D,20160603,000000,7.5644,7.5644,7.5644,7.5644,0,0
INS_PE,D,20160606,000000,7.4774,7.4774,7.4774,7.4774,0,0
INS_PE,D,20160607,000000,7.4774,7.4774,7.4774,7.4774,0,0
INS_PE,D,20160608,000000,7.5303,8.9644,7.5303,8.9644,0,0
INS_PE,D,20160609,000000,8.2473,8.8748,8.1577,8.5164,0,0
INS_PE,D,20160610,000000,8.5164,8.5164,7.9785,8.4268,0,0
INS_PE,D,20160613,000000,7.8888,7.9785,7.7096,7.9785,0,0
INS_PE,D,20160614,000000,8.0681,8.0681,8.0681,8.0681,0,0
INS_PE,D,20160615,000000,8.1577,8.3371,7.7992,8.2473,0,0
INS_PE,D,20160616,000000,8.2473,8.2473,8.2473,8.2473,0,0
INS_PE,D,20160617,000000,8.1577,8.2473,8.1577,8.2473,0,0
INS_PE,D,20160620,000000,8.2473,8.2473,8.2473,8.2473,0,0
INS_PE,D,20160621,000000,8.2473,8.2473,8.1577,8.1577,0,0
INS_PE,D,20160622,000000,8.1577,8.2473,8.1577,8.2473,0,0
INS_PE,D,20160623,000000,8.2473,8.2473,8.2473,8.2473,0,0
INS_PE,D,20160624,000000,7.8888,7.8888,7.7096,7.7096,0,0
INS_PE,D,20160627,000000,7.7992,8.4268,7.7992,8.2473,0,0
INS_PE,D,20160629,000000,7.7992,7.7992,7.7992,7.7992,0,0
INS_PE,D,20160630,000000,7.7992,8.1577,7.7992,8.1577,0,0
INS_PE,D,20160701,000000,7.8888,7.8888,7.8888,7.8888,0,0
INS_PE,D,20160705,000000,8.0681,8.1577,8.0681,8.1577,0,0
INS_PE,D,20160706,000000,8.1577,8.1577,8.1577,8.1577,0,0
INS_PE,D,20160707,000000,8.1577,8.1577,8.1577,8.1577,0,0
INS_PE,D,20160708,000000,8.1577,8.1577,8.1577,8.1577,0,0
INS_PE,D,20160711,000000,8.1577,8.1577,8.1577,8.1577,0,0
INS_PE,D,20160712,000000,8.1577,8.1577,8.1577,8.1577,0,0
INS_PE,D,20160713,000000,8.1577,8.1577,8.1577,8.1577,0,0
INS_PE,D,20160714,000000,7.8888,7.8888,7.3509,7.3509,0,0
INS_PE,D,20160715,000000,7.1717,7.1717,6.6338,6.6338,0,0
INS_PE,D,20160718,000000,6.6338,7.4406,6.5441,7.2613,0,0
INS_PE,D,20160719,000000,7.2613,7.2613,7.2613,7.2613,0,0
INS_PE,D,20160720,000000,6.8132,7.1717,6.1856,6.1856,0,0
INS_PE,D,20160721,000000,6.3648,6.6338,6.2752,6.6338,0,0
