<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBT_PB,D,20191017,000000,15.59,15.59,10.62,14.95,0,0
KBT_PB,D,20191018,000000,15.37,15.37,13.54,13.68,0,0
KBT_PB,D,20191021,000000,13.79,14.28,13.47,13.47,0,0
KBT_PB,D,20191022,000000,13.47,14.12,13.22,13.22,0,0
KBT_PB,D,20191023,000000,13.74,13.74,12.86,13.68,0,0
KBT_PB,D,20191024,000000,13.17,13.17,11.12,11.43,0,0
KBT_PB,D,20191025,000000,11.2,11.35,9.26,11.02,0,0
KBT_PB,D,20191028,000000,11.02,11.93,10.47,11.79,0,0
KBT_PB,D,20191029,000000,11.83,11.83,11.08,11.47,0,0
KBT_PB,D,20191030,000000,11.58,12.41,11.58,12.32,0,0
KBT_PB,D,20191031,000000,12.44,13.17,12.22,12.33,0,0
KBT_PB,D,20191104,000000,13.3,13.3,12.76,12.84,0,0
KBT_PB,D,20191105,000000,13.15,13.15,12.45,12.97,0,0
KBT_PB,D,20191106,000000,12.95,12.95,12.33,12.56,0,0
KBT_PB,D,20191107,000000,12.77,12.77,12.02,12.05,0,0
KBT_PB,D,20191108,000000,12.56,12.56,11.82,12.14,0,0
KBT_PB,D,20191112,000000,12.15,12.15,11.47,11.47,0,0
KBT_PB,D,20191113,000000,11.95,12.11,11.65,12.09,0,0
KBT_PB,D,20191114,000000,12.41,12.41,11.73,12.07,0,0
KBT_PB,D,20191115,000000,12.53,12.53,11.7,12.03,0,0
KBT_PB,D,20191118,000000,12.79,12.79,11.8,12.07,0,0
KBT_PB,D,20191119,000000,12.39,12.39,11.73,12.11,0,0
KBT_PB,D,20191120,000000,12.11,12.11,11.73,12.05,0,0
KBT_PB,D,20191121,000000,12.09,12.53,11.7,12.53,0,0
KBT_PB,D,20191122,000000,12.14,12.29,11.71,12.13,0,0
KBT_PB,D,20191125,000000,11.69,12.28,11.66,12.04,0,0
KBT_PB,D,20191126,000000,12.4,12.4,11.41,12.05,0,0
KBT_PB,D,20191127,000000,12.13,13.16,11.91,12.34,0,0
KBT_PB,D,20191128,000000,13.08,13.08,12.06,12.18,0,0
KBT_PB,D,20191129,000000,12.61,12.61,11.6,11.85,0,0
KBT_PB,D,20191202,000000,12.43,12.43,11.52,12.19,0,0
KBT_PB,D,20191203,000000,12.26,12.26,11.19,11.34,0,0
KBT_PB,D,20191204,000000,11.34,11.34,10.4,10.46,0,0
KBT_PB,D,20191205,000000,10.87,11.03,10.24,10.26,0,0
KBT_PB,D,20191206,000000,10.67,10.67,9.65,10.08,0,0
KBT_PB,D,20191209,000000,9.77,10.56,9.77,10.08,0,0
KBT_PB,D,20191210,000000,10.54,10.54,9.61,9.61,0,0
KBT_PB,D,20191211,000000,9.86,9.86,9.19,9.61,0,0
KBT_PB,D,20191212,000000,9.77,10.35,9.58,10.12,0,0
KBT_PB,D,20191213,000000,10.23,10.4,9.61,9.85,0,0
KBT_PB,D,20191216,000000,9.85,9.85,9.49,9.77,0,0
KBT_PB,D,20191217,000000,9.61,9.77,9.41,9.67,0,0
KBT_PB,D,20191218,000000,9.61,9.8,9.12,9.78,0,0
KBT_PB,D,20191219,000000,9.78,9.91,9.45,9.85,0,0
KBT_PB,D,20191220,000000,9.91,9.93,9.3,9.63,0,0
KBT_PB,D,20191223,000000,9.53,10.56,9.53,10.56,0,0
KBT_PB,D,20191227,000000,10.82,10.82,9.89,10.4,0,0
KBT_PB,D,20191230,000000,10.4,10.4,9.63,9.67,0,0
KBT_PB,D,20200102,000000,9.77,10.24,9.61,10.15,0,0
KBT_PB,D,20200103,000000,10.38,10.38,9.77,10.08,0,0
KBT_PB,D,20200107,000000,10.08,10.08,9.8,10.07,0,0
KBT_PB,D,20200108,000000,10.07,10.07,9.66,9.99,0,0
KBT_PB,D,20200109,000000,10,10,9.93,10,0,0
KBT_PB,D,20200110,000000,10,10.87,9.77,10.5,0,0
KBT_PB,D,20200113,000000,10.87,11.27,10.75,11.27,0,0
KBT_PB,D,20200114,000000,11.08,11.38,10.73,11.19,0,0
KBT_PB,D,20200115,000000,11.19,11.27,10.73,11.19,0,0
KBT_PB,D,20200116,000000,10.75,11.03,10.73,10.87,0,0
KBT_PB,D,20200117,000000,10.78,10.79,10.24,10.68,0,0
