<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KFM_PE,D,20170130,000000,32.6,32.6,32.6,32.6,0,0
KFM_PE,D,20170131,000000,25.3,31.7,24.2,31.7,0,0
KFM_PE,D,20170201,000000,31.7,31.9,31.7,31.8,0,0
KFM_PE,D,20170202,000000,31.8,32.6,28.8,32.3,0,0
KFM_PE,D,20170203,000000,31.7,31.7,27.9,30.3,0,0
KFM_PE,D,20170206,000000,28,30.1,28,28.8,0,0
KFM_PE,D,20170207,000000,29.3,29.3,29.3,29.3,0,0
KFM_PE,D,20170208,000000,25.5,27.5,25.5,27.5,0,0
KFM_PE,D,20170209,000000,26.4,28.2,26.4,27.7,0,0
KFM_PE,D,20170210,000000,27.7,27.7,26.2,27.7,0,0
KFM_PE,D,20170213,000000,26.2,28,26.2,28,0,0
KFM_PE,D,20170214,000000,28.8,28.8,26.9,28.8,0,0
KFM_PE,D,20170215,000000,28.8,28.8,28.8,28.8,0,0
KFM_PE,D,20170216,000000,31.2,31.2,30.7,30.7,0,0
KFM_PE,D,20170217,000000,30.5,30.5,30.5,30.5,0,0
KFM_PE,D,20170220,000000,30.5,30.5,30.3,30.3,0,0
KFM_PE,D,20170221,000000,30.2,30.2,30.2,30.2,0,0
KFM_PE,D,20170222,000000,28.6,30.1,28.6,30.1,0,0
KFM_PE,D,20170224,000000,26.7,28.6,26.7,28.6,0,0
KFM_PE,D,20170227,000000,28.6,29.6,28.6,29.5,0,0
KFM_PE,D,20170228,000000,29.5,30.7,29.5,30.7,0,0
KFM_PE,D,20170301,000000,28.2,29.9,24.4,29.9,0,0
KFM_PE,D,20170302,000000,28.1,29.4,28.1,29.4,0,0
KFM_PE,D,20170303,000000,29.4,30.2,29.4,29.4,0,0
KFM_PE,D,20170306,000000,27.9,29.8,27.9,29.8,0,0
KFM_PE,D,20170307,000000,29.8,29.9,29.8,29.9,0,0
KFM_PE,D,20170308,000000,29.7,29.7,29.7,29.7,0,0
KFM_PE,D,20170309,000000,29.1,29.7,29.1,29.7,0,0
KFM_PE,D,20170310,000000,28.3,29.7,28.3,29.7,0,0
KFM_PE,D,20170313,000000,29.1,29.1,29.1,29.1,0,0
KFM_PE,D,20170314,000000,28.9,29,28.9,29,0,0
KFM_PE,D,20170316,000000,29.2,29.2,29.1,29.1,0,0
KFM_PE,D,20170317,000000,27.1,28.7,27.1,28.7,0,0
KFM_PE,D,20170320,000000,28.6,28.7,28.6,28.7,0,0
KFM_PE,D,20170321,000000,28.8,28.8,28.7,28.7,0,0
KFM_PE,D,20170322,000000,28.6,32.2,28.6,32.2,0,0
KFM_PE,D,20170323,000000,31.9,1626,30.3,1626,0,0
KFM_PE,D,20170324,000000,1643.5,1643.5,1617.5,1617.5,0,0
KFM_PE,D,20170327,000000,1647.8,1647.8,1647.8,1647.8,0,0
KFM_PE,D,20170328,000000,1647.8,1647.8,1621.8,1621.8,0,0
KFM_PE,D,20170330,000000,1543.5,1543.5,1519.1,1519.1,0,0
KFM_PE,D,20170331,000000,1552.2,1552.2,1527.6,1527.6,0,0
KFM_PE,D,20170403,000000,1547.8,1547.8,1523.3,1523.3,0,0
KFM_PE,D,20170405,000000,1447.8,1552.2,1447.8,1527.6,0,0
KFM_PE,D,20170407,000000,1443.5,1443.5,1420.7,1420.7,0,0
KFM_PE,D,20170410,000000,1434.8,1630.4,1412.1,1412.1,0,0
KFM_PE,D,20170411,000000,1630.4,1630.4,1352.2,1493.4,0,0
KFM_PE,D,20170412,000000,1526.1,1526.1,1502,1502,0,0
KFM_PE,D,20170413,000000,1526.1,1526.1,1502,1502,0,0
KFM_PE,D,20170418,000000,1526.1,1526.1,1502,1502,0,0
KFM_PE,D,20170419,000000,1456.5,1456.5,1433.5,1433.5,0,0
KFM_PE,D,20170420,000000,1456.5,1456.5,1433.5,1433.5,0,0
KFM_PE,D,20170421,000000,1456.5,1456.5,1433.5,1433.5,0,0
KFM_PE,D,20170424,000000,1456.5,1456.5,1433.5,1433.5,0,0
KFM_PE,D,20170425,000000,1447.8,1447.8,1424.9,1424.9,0,0
KFM_PE,D,20170426,000000,1456.5,1456.5,1433.5,1433.5,0,0
KFM_PE,D,20170428,000000,1456.5,1608.7,1456.5,1583.3,0,0
KFM_PE,D,20170502,000000,1726.1,1726.1,1369.6,1437.8,0,0
KFM_PE,D,20170504,000000,1669.6,1669.6,1643.2,1643.2,0,0
KFM_PE,D,20170505,000000,1647.8,1647.8,1621.8,1621.8,0,0
KFM_PE,D,20170508,000000,1643.5,1643.5,1617.5,1617.5,0,0
KFM_PE,D,20170515,000000,1530.4,1530.4,1506.2,1506.2,0,0
KFM_PE,D,20170516,000000,1434.8,1530.4,1434.8,1506.2,0,0
KFM_PE,D,20170519,000000,1530.4,1630.4,1530.4,1604.7,0,0
KFM_PE,D,20170526,000000,1478.3,1478.3,1478.3,1478.3,0,0
KFM_PE,D,20200330,000000,29.4,35.6,27.8,33.3,0,0
KFM_PE,D,20200331,000000,28.3,39.2,28.3,38.9,0,0
KFM_PE,D,20200401,000000,37.8,45.3,37.2,43.3,0,0
KFM_PE,D,20200402,000000,30,30,28.9,28.9,0,0
KFM_PE,D,20200403,000000,34.4,34.4,34.4,34.4,0,0
KFM_PE,D,20200406,000000,28.9,28.9,28.9,28.9,0,0
KFM_PE,D,20200407,000000,28.9,28.9,28.9,28.9,0,0
KFM_PE,D,20200408,000000,26.1,28.9,26.1,28.9,0,0
KFM_PE,D,20200409,000000,26.1,26.1,26.1,26.1,0,0
KFM_PE,D,20200415,000000,26.1,26.1,26.1,26.1,0,0
KFM_PE,D,20200416,000000,24.4,25,23.9,25,0,0
KFM_PE,D,20200417,000000,23.9,23.9,22.8,22.8,0,0
KFM_PE,D,20200420,000000,24.4,24.4,21.1,21.1,0,0
KFM_PE,D,20200421,000000,21.1,21.1,21.1,21.1,0,0
KFM_PE,D,20200422,000000,22.8,22.8,22.8,22.8,0,0
KFM_PE,D,20200423,000000,22.8,22.8,21.7,21.7,0,0
KFM_PE,D,20200427,000000,35,41.7,35,36.6,0,0
KFM_PE,D,20200428,000000,36.7,36.7,35.3,35.3,0,0
KFM_PE,D,20200429,000000,35.3,35.3,35,35.3,0,0
KFM_PE,D,20200504,000000,35.3,35.3,35.3,35.3,0,0
KFM_PE,D,20200505,000000,35.3,35.3,35,35,0,0
KFM_PE,D,20200506,000000,35,35,35,35,0,0
KFM_PE,D,20200508,000000,36.1,36.1,36.1,36.1,0,0
KFM_PE,D,20200512,000000,35,35,35,35,0,0
KFM_PE,D,20200514,000000,35,35,35,35,0,0
KFM_PE,D,20200515,000000,35,35,35,35,0,0
KFM_PE,D,20200518,000000,35,35,35,35,0,0
