<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAN_MV,D,20111017,000000,8.99,8.99,8.99,8.99,0,0
LAN_MV,D,20111018,000000,10.45,12.54,10.45,12.54,0,0
LAN_MV,D,20111019,000000,15.01,18.01,15.01,18.01,0,0
LAN_MV,D,20111020,000000,21.59,25.77,13.52,13.52,0,0
LAN_MV,D,20111021,000000,10.99,10.99,7.75,9.17,0,0
LAN_MV,D,20111024,000000,7.39,7.39,5.77,5.77,0,0
LAN_MV,D,20111025,000000,5.48,5.48,3.53,3.6,0,0
LAN_MV,D,20111026,000000,3.57,4.18,3.15,3.33,0,0
LAN_MV,D,20111027,000000,3.32,3.62,3.1,3.44,0,0
LAN_MV,D,20111028,000000,2.83,2.83,1.98,1.98,0,0
LAN_MV,D,20111031,000000,2.18,2.27,2.05,2.11,0,0
LAN_MV,D,20111102,000000,2.11,2.25,1.84,2.16,0,0
LAN_MV,D,20111103,000000,2.02,2.38,2,2.22,0,0
LAN_MV,D,20111104,000000,2.31,2.31,2.02,2.02,0,0
LAN_MV,D,20111107,000000,1.89,2.16,1.89,2.16,0,0
LAN_MV,D,20111108,000000,2.07,2.14,2,2.13,0,0
LAN_MV,D,20111109,000000,2.04,2.04,1.86,1.95,0,0
LAN_MV,D,20111110,000000,1.89,1.96,1.82,1.86,0,0
LAN_MV,D,20111114,000000,1.86,1.96,1.82,1.86,0,0
LAN_MV,D,20111115,000000,1.96,2.09,1.86,2.05,0,0
LAN_MV,D,20111116,000000,2.04,2.07,1.86,1.96,0,0
LAN_MV,D,20111117,000000,1.82,1.91,1.82,1.91,0,0
LAN_MV,D,20111118,000000,1.82,1.91,1.62,1.62,0,0
LAN_MV,D,20111121,000000,1.64,1.78,1.64,1.75,0,0
LAN_MV,D,20111122,000000,1.73,1.73,1.71,1.71,0,0
LAN_MV,D,20111123,000000,1.77,1.77,1.46,1.71,0,0
LAN_MV,D,20111124,000000,1.53,1.87,1.53,1.84,0,0
LAN_MV,D,20111125,000000,1.84,1.84,1.71,1.84,0,0
LAN_MV,D,20111128,000000,1.82,1.82,1.48,1.62,0,0
LAN_MV,D,20111129,000000,1.53,1.68,1.53,1.64,0,0
LAN_MV,D,20111130,000000,1.64,1.64,1.39,1.55,0,0
LAN_MV,D,20111201,000000,1.59,1.59,1.39,1.39,0,0
LAN_MV,D,20111202,000000,1.53,1.53,1.33,1.53,0,0
LAN_MV,D,20111205,000000,1.51,1.6,1.44,1.57,0,0
LAN_MV,D,20111206,000000,1.55,1.55,1.39,1.44,0,0
LAN_MV,D,20111207,000000,1.46,1.53,1.35,1.53,0,0
LAN_MV,D,20111208,000000,1.46,1.46,1.37,1.46,0,0
LAN_MV,D,20111209,000000,1.39,1.59,1.39,1.55,0,0
LAN_MV,D,20111212,000000,1.51,1.51,1.41,1.42,0,0
LAN_MV,D,20111213,000000,1.48,1.48,1.42,1.42,0,0
LAN_MV,D,20111214,000000,1.42,1.42,1.35,1.39,0,0
LAN_MV,D,20111215,000000,1.39,1.44,1.23,1.44,0,0
LAN_MV,D,20111216,000000,1.41,1.41,1.37,1.37,0,0
LAN_MV,D,20111219,000000,1.21,1.44,1.21,1.33,0,0
LAN_MV,D,20111220,000000,1.42,1.55,1.41,1.55,0,0
LAN_MV,D,20111221,000000,1.44,1.53,1.44,1.44,0,0
LAN_MV,D,20111222,000000,1.62,1.62,1.26,1.44,0,0
LAN_MV,D,20111223,000000,1.62,1.62,1.44,1.44,0,0
LAN_MV,D,20111227,000000,1.26,1.26,1.08,1.26,0,0
LAN_MV,D,20111228,000000,1.26,1.44,1.26,1.44,0,0
LAN_MV,D,20111229,000000,1.44,1.44,1.26,1.26,0,0
LAN_MV,D,20111230,000000,1.26,1.44,1.08,1.44,0,0
LAN_MV,D,20120102,000000,1.44,1.44,1.44,1.44,0,0
LAN_MV,D,20120103,000000,1.44,1.44,1.08,1.26,0,0
LAN_MV,D,20120104,000000,1.26,1.26,1.26,1.26,0,0
LAN_MV,D,20120105,000000,1.08,1.26,1.08,1.26,0,0
LAN_MV,D,20120109,000000,1.08,1.26,1.08,1.08,0,0
LAN_MV,D,20120110,000000,1.08,1.26,1.08,1.26,0,0
LAN_MV,D,20120111,000000,1.26,1.26,1.08,1.26,0,0
LAN_MV,D,20120112,000000,1.26,1.26,1.08,1.08,0,0
