<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGC_PE,D,20180214,000000,32.5,32.5,32.5,32.5,0,0
MGC_PE,D,20180215,000000,38.9,44.4,32.5,32.5,0,0
MGC_PE,D,20180216,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180219,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180220,000000,27.3,32.5,27.3,32.5,0,0
MGC_PE,D,20180221,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180222,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180223,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180226,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180227,000000,31.8,32.5,27.3,32.5,0,0
MGC_PE,D,20180228,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180301,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180302,000000,27.3,32.5,27.3,32.5,0,0
MGC_PE,D,20180305,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180306,000000,31.8,31.8,27.3,27.9,0,0
MGC_PE,D,20180307,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180308,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180309,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180312,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180313,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180314,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180315,000000,22.7,27.9,22.7,27.9,0,0
MGC_PE,D,20180316,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180319,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180320,000000,27.3,32.5,27.3,32.5,0,0
MGC_PE,D,20180321,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180322,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180323,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180326,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180327,000000,31.8,32.5,31.8,32.5,0,0
MGC_PE,D,20180328,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180403,000000,27.3,27.3,22.7,23.2,0,0
MGC_PE,D,20180404,000000,27.3,27.3,22.7,23.2,0,0
MGC_PE,D,20180405,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180406,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180409,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180410,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180411,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180412,000000,23.2,23.2,23.2,23.2,0,0
MGC_PE,D,20180413,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180416,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180417,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180418,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180419,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180420,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180423,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180424,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180425,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180426,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180427,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180430,000000,22.7,23.2,22.7,23.2,0,0
MGC_PE,D,20180504,000000,22.7,27.9,22.7,27.9,0,0
MGC_PE,D,20180507,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180508,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180509,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180510,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180511,000000,27.3,27.3,22.7,23.2,0,0
MGC_PE,D,20180514,000000,27.3,27.9,27.3,27.9,0,0
MGC_PE,D,20180515,000000,27.3,27.9,22.7,27.9,0,0
MGC_PE,D,20180516,000000,27.3,27.9,27.3,27.9,0,0
