<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWA_PE,D,20110325,000000,16.687,16.687,16.687,16.687,0,0
NWA_PE,D,20110328,000000,19.353,20.041,17.547,18.407,0,0
NWA_PE,D,20110329,000000,17.547,17.547,16.687,17.117,0,0
NWA_PE,D,20110330,000000,17.117,17.547,16.687,16.687,0,0
NWA_PE,D,20110331,000000,16.429,17.117,16.257,17.117,0,0
NWA_PE,D,20110404,000000,17.117,17.117,17.117,17.117,0,0
NWA_PE,D,20110405,000000,16.687,16.687,15.827,15.827,0,0
NWA_PE,D,20110406,000000,15.913,16.515,15.913,16.515,0,0
NWA_PE,D,20110411,000000,15.827,15.827,14.02,14.88,0,0
NWA_PE,D,20110418,000000,15.741,15.827,15.741,15.827,0,0
NWA_PE,D,20110421,000000,15.827,15.827,15.827,15.827,0,0
NWA_PE,D,20110426,000000,15.827,16.257,15.827,16.257,0,0
NWA_PE,D,20110427,000000,16.257,16.257,16.257,16.257,0,0
NWA_PE,D,20110428,000000,16.257,16.257,15.999,16.171,0,0
NWA_PE,D,20110429,000000,16.257,16.429,15.999,16.429,0,0
NWA_PE,D,20110502,000000,16.429,16.429,16.429,16.429,0,0
NWA_PE,D,20110504,000000,16.429,16.429,16.429,16.429,0,0
NWA_PE,D,20110505,000000,16.429,16.429,16.429,16.429,0,0
NWA_PE,D,20110506,000000,16.601,16.687,16.601,16.687,0,0
NWA_PE,D,20110509,000000,16.687,16.687,16.601,16.601,0,0
NWA_PE,D,20110510,000000,16.687,16.687,16.257,16.257,0,0
NWA_PE,D,20110511,000000,16.429,16.429,16.257,16.257,0,0
NWA_PE,D,20110512,000000,16.171,16.257,16.171,16.171,0,0
NWA_PE,D,20110513,000000,16.171,16.257,16.171,16.257,0,0
NWA_PE,D,20110516,000000,16.257,16.257,16.257,16.257,0,0
NWA_PE,D,20110517,000000,16.257,16.257,16.257,16.257,0,0
NWA_PE,D,20110518,000000,15.913,15.913,15.741,15.827,0,0
NWA_PE,D,20110519,000000,15.913,15.913,15.913,15.913,0,0
NWA_PE,D,20110520,000000,15.741,19.783,15.741,19.783,0,0
NWA_PE,D,20110523,000000,19.697,21.762,19.697,21.762,0,0
NWA_PE,D,20110524,000000,21.59,21.59,21.59,21.59,0,0
NWA_PE,D,20110525,000000,21.762,21.762,21.762,21.762,0,0
NWA_PE,D,20110526,000000,21.762,21.848,21.762,21.848,0,0
NWA_PE,D,20110527,000000,21.848,21.848,21.848,21.848,0,0
NWA_PE,D,20110530,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110531,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110601,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110602,000000,21.934,22.02,21.934,22.02,0,0
NWA_PE,D,20110603,000000,22.02,22.02,22.02,22.02,0,0
NWA_PE,D,20110606,000000,22.02,22.02,21.848,21.848,0,0
NWA_PE,D,20110607,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110608,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110609,000000,21.848,21.848,21.503,21.676,0,0
NWA_PE,D,20110610,000000,22.106,22.364,22.106,22.278,0,0
NWA_PE,D,20110613,000000,22.278,22.278,22.278,22.278,0,0
NWA_PE,D,20110614,000000,22.278,22.278,22.278,22.278,0,0
NWA_PE,D,20110615,000000,22.278,22.278,22.278,22.278,0,0
NWA_PE,D,20110616,000000,22.278,22.278,22.278,22.278,0,0
NWA_PE,D,20110617,000000,22.278,22.278,22.192,22.192,0,0
NWA_PE,D,20110620,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110621,000000,21.59,21.59,21.59,21.59,0,0
NWA_PE,D,20110622,000000,21.59,21.676,21.59,21.676,0,0
NWA_PE,D,20110624,000000,21.331,21.331,21.331,21.331,0,0
NWA_PE,D,20110627,000000,21.331,21.331,21.331,21.331,0,0
NWA_PE,D,20110628,000000,21.331,21.331,21.331,21.331,0,0
NWA_PE,D,20110629,000000,21.331,21.331,21.331,21.331,0,0
NWA_PE,D,20110630,000000,21.503,21.503,21.503,21.503,0,0
NWA_PE,D,20110701,000000,21.676,21.848,21.676,21.848,0,0
NWA_PE,D,20110704,000000,22.192,22.278,22.192,22.278,0,0
NWA_PE,D,20110705,000000,22.364,22.364,22.278,22.278,0,0
NWA_PE,D,20110706,000000,22.364,22.364,21.934,22.02,0,0
NWA_PE,D,20110707,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110708,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110711,000000,21.848,21.934,21.848,21.934,0,0
NWA_PE,D,20110712,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110713,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110714,000000,22.02,22.02,21.934,21.934,0,0
NWA_PE,D,20110715,000000,21.934,22.106,21.934,22.106,0,0
NWA_PE,D,20110718,000000,22.106,22.106,22.106,22.106,0,0
NWA_PE,D,20110719,000000,22.106,22.106,22.106,22.106,0,0
NWA_PE,D,20110720,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110721,000000,21.934,21.934,21.934,21.934,0,0
NWA_PE,D,20110722,000000,21.934,22.106,21.934,22.106,0,0
NWA_PE,D,20110725,000000,22.106,22.106,22.106,22.106,0,0
NWA_PE,D,20110726,000000,22.106,22.106,21.934,21.934,0,0
NWA_PE,D,20110727,000000,22.02,22.106,22.02,22.106,0,0
NWA_PE,D,20110728,000000,22.106,22.106,21.676,21.676,0,0
NWA_PE,D,20110729,000000,21.848,21.848,20.471,20.471,0,0
NWA_PE,D,20110801,000000,21.159,21.245,21.159,21.245,0,0
NWA_PE,D,20110802,000000,21.245,21.331,21.245,21.331,0,0
NWA_PE,D,20110804,000000,20.643,20.643,20.643,20.643,0,0
NWA_PE,D,20110808,000000,20.987,20.987,20.901,20.901,0,0
NWA_PE,D,20110809,000000,20.299,20.299,20.213,20.213,0,0
NWA_PE,D,20110810,000000,20.213,20.213,20.213,20.213,0,0
NWA_PE,D,20110812,000000,20.213,20.213,20.213,20.213,0,0
NWA_PE,D,20110816,000000,20.729,20.729,20.643,20.643,0,0
NWA_PE,D,20110817,000000,20.557,25.46,20.557,25.46,0,0
NWA_PE,D,20110818,000000,25.46,25.46,25.46,25.46,0,0
NWA_PE,D,20110822,000000,25.374,25.374,25.374,25.374,0,0
NWA_PE,D,20110823,000000,25.288,25.374,25.288,25.374,0,0
NWA_PE,D,20110825,000000,25.03,25.03,25.03,25.03,0,0
NWA_PE,D,20110826,000000,25.03,25.03,25.03,25.03,0,0
NWA_PE,D,20110829,000000,25.03,25.03,25.03,25.03,0,0
NWA_PE,D,20110830,000000,25.03,25.03,25.03,25.03,0,0
NWA_PE,D,20110902,000000,24.084,24.428,24.084,24.17,0,0
NWA_PE,D,20110905,000000,23.998,24.428,23.998,24.428,0,0
NWA_PE,D,20110906,000000,24.17,24.17,24.17,24.17,0,0
NWA_PE,D,20110907,000000,24.428,24.428,24.428,24.428,0,0
NWA_PE,D,20110908,000000,24.428,24.428,24.428,24.428,0,0
NWA_PE,D,20110909,000000,23.998,23.998,23.396,23.396,0,0
NWA_PE,D,20110912,000000,23.052,23.052,23.052,23.052,0,0
NWA_PE,D,20110913,000000,22.622,22.622,21.676,21.676,0,0
NWA_PE,D,20110914,000000,21.503,21.59,21.503,21.59,0,0
NWA_PE,D,20110915,000000,20.643,20.987,20.643,20.987,0,0
NWA_PE,D,20110916,000000,20.643,20.643,20.643,20.643,0,0
NWA_PE,D,20110920,000000,20.299,20.299,20.299,20.299,0,0
NWA_PE,D,20110922,000000,20.299,20.299,20.299,20.299,0,0
NWA_PE,D,20110926,000000,20.299,20.299,20.299,20.299,0,0
NWA_PE,D,20110927,000000,20.299,20.299,20.299,20.299,0,0
NWA_PE,D,20110929,000000,20.299,20.299,20.299,20.299,0,0
NWA_PE,D,20110930,000000,20.299,20.299,19.095,19.095,0,0
NWA_PE,D,20111003,000000,19.783,19.783,19.783,19.783,0,0
NWA_PE,D,20111005,000000,19.611,19.611,19.611,19.611,0,0
NWA_PE,D,20111006,000000,19.611,19.611,19.611,19.611,0,0
NWA_PE,D,20111007,000000,19.611,19.611,19.611,19.611,0,0
NWA_PE,D,20111010,000000,19.611,19.611,19.611,19.611,0,0
NWA_PE,D,20111011,000000,19.439,19.439,19.439,19.439,0,0
NWA_PE,D,20111013,000000,19.439,19.439,19.439,19.439,0,0
NWA_PE,D,20111014,000000,19.439,19.439,19.439,19.439,0,0
NWA_PE,D,20111017,000000,19.439,19.439,19.439,19.439,0,0
NWA_PE,D,20111018,000000,19.353,19.353,19.353,19.353,0,0
NWA_PE,D,20111019,000000,19.353,19.353,19.353,19.353,0,0
NWA_PE,D,20111020,000000,19.353,19.353,19.353,19.353,0,0
NWA_PE,D,20111021,000000,19.353,19.353,19.353,19.353,0,0
NWA_PE,D,20111024,000000,19.353,19.353,19.353,19.353,0,0
NWA_PE,D,20111025,000000,19.353,19.353,19.353,19.353,0,0
NWA_PE,D,20111026,000000,19.353,19.353,19.353,19.353,0,0
NWA_PE,D,20111027,000000,19.353,19.353,19.353,19.353,0,0
NWA_PE,D,20111028,000000,19.353,19.353,19.353,19.353,0,0
NWA_PE,D,20111031,000000,19.181,19.181,19.181,19.181,0,0
NWA_PE,D,20111102,000000,19.181,19.181,19.181,19.181,0,0
NWA_PE,D,20111103,000000,19.181,19.181,19.181,19.181,0,0
NWA_PE,D,20111104,000000,19.181,19.181,19.181,19.181,0,0
NWA_PE,D,20111107,000000,19.181,19.181,19.181,19.181,0,0
NWA_PE,D,20111108,000000,19.181,19.181,19.181,19.181,0,0
