<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OML_PB,D,20120829,000000,38.61,38.61,38.61,38.61,0,0
OML_PB,D,20120830,000000,32.94,38.61,32.94,38.61,0,0
OML_PB,D,20120911,000000,38.89,38.89,38.61,38.61,0,0
OML_PB,D,20120912,000000,36.83,36.83,32.06,35,0,0
OML_PB,D,20120913,000000,35,35.33,35,35.33,0,0
OML_PB,D,20120914,000000,35.33,37.11,35.33,37.11,0,0
OML_PB,D,20120917,000000,38,38,38,38,0,0
OML_PB,D,20120918,000000,38,38.61,38,38.61,0,0
OML_PB,D,20120919,000000,38.89,38.89,38.89,38.89,0,0
OML_PB,D,20120920,000000,38.89,38.89,36.5,36.5,0,0
OML_PB,D,20120921,000000,36.83,38,36.83,38,0,0
OML_PB,D,20120924,000000,38,38.28,36.83,38.28,0,0
OML_PB,D,20120925,000000,38.28,40.06,38.28,40.06,0,0
OML_PB,D,20120926,000000,40.06,44.5,40.06,44.5,0,0
OML_PB,D,20120927,000000,44.5,46.89,44.5,45.11,0,0
OML_PB,D,20120928,000000,46.28,47.5,41.56,47.5,0,0
OML_PB,D,20121001,000000,47.5,47.5,47.5,47.5,0,0
OML_PB,D,20121002,000000,47.5,47.5,43.33,43.94,0,0
OML_PB,D,20121004,000000,47.5,47.5,47.5,47.5,0,0
OML_PB,D,20121005,000000,47.5,47.5,39.17,42.72,0,0
OML_PB,D,20121008,000000,40.06,40.06,38.61,38.61,0,0
OML_PB,D,20121009,000000,38.61,38.61,37.72,37.72,0,0
OML_PB,D,20121010,000000,37.72,37.72,37.72,37.72,0,0
OML_PB,D,20121011,000000,37.72,37.72,32.94,34.11,0,0
OML_PB,D,20121012,000000,35.61,36.83,35.61,36.83,0,0
OML_PB,D,20121015,000000,36.83,38,36.83,38,0,0
OML_PB,D,20121016,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121017,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121018,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121019,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121022,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121023,000000,38.28,38.28,38,38,0,0
OML_PB,D,20121024,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121025,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121026,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121029,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121030,000000,38.28,38.28,38,38,0,0
OML_PB,D,20121102,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121105,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121106,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121107,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121108,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121109,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121112,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121113,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121114,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121115,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121116,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121119,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121120,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121121,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121122,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20121204,000000,38.28,38.28,38.28,38.28,0,0
OML_PB,D,20130125,000000,40.06,40.06,39.75,39.75,0,0
OML_PB,D,20130128,000000,41.44,41.44,41.44,41.44,0,0
OML_PB,D,20130130,000000,39.38,39.38,38.38,38.38,0,0
OML_PB,D,20130131,000000,38.38,38.38,38.38,38.38,0,0
OML_PB,D,20130201,000000,38.38,38.38,38.38,38.38,0,0
OML_PB,D,20130204,000000,38.38,38.38,34.38,34.38,0,0
OML_PB,D,20130205,000000,34.75,35.06,33.38,35.06,0,0
OML_PB,D,20130314,000000,267,280.5,259,280.5,0,0
OML_PB,D,20130321,000000,280.5,280.5,280.5,280.5,0,0
OML_PB,D,20130322,000000,280.5,280.5,280.5,280.5,0,0
OML_PB,D,20130325,000000,288.5,291,288.5,291,0,0
OML_PB,D,20130326,000000,291,291,291,291,0,0
OML_PB,D,20130328,000000,291,291,291,291,0,0
OML_PB,D,20130402,000000,291,291,286,286,0,0
OML_PB,D,20130403,000000,288.5,291,288.5,291,0,0
OML_PB,D,20130405,000000,291,291,291,291,0,0
OML_PB,D,20130408,000000,291,291,291,291,0,0
OML_PB,D,20130410,000000,291,291,291,291,0,0
OML_PB,D,20130422,000000,291,291,291,291,0,0
OML_PB,D,20130529,000000,291,291,291,291,0,0
OML_PB,D,20130603,000000,291,291,291,291,0,0
OML_PB,D,20130604,000000,291,291,291,291,0,0
OML_PB,D,20130816,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130819,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130820,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130821,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130822,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130823,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130826,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130827,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130828,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130829,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130830,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130905,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130906,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130909,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130910,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130911,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130912,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130913,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130916,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130917,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130918,000000,47.69,47.69,47.69,47.69,0,0
OML_PB,D,20130924,000000,48.08,48.08,48.08,48.08,0,0
OML_PB,D,20130930,000000,48.08,48.08,48.08,48.08,0,0
OML_PB,D,20131003,000000,48.08,48.08,45.23,45.23,0,0
OML_PB,D,20131021,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131022,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131023,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131024,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131025,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131028,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131029,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131030,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131031,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131104,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131105,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131106,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131107,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131108,000000,46.69,46.69,46.69,46.69,0,0
OML_PB,D,20131112,000000,46.69,46.69,44.54,44.54,0,0
OML_PB,D,20131114,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131115,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131118,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131119,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131120,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131121,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131122,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131125,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131126,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131127,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131128,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131129,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131202,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131203,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131204,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131205,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131206,000000,43.69,43.69,43.69,43.69,0,0
OML_PB,D,20131209,000000,43.69,43.69,38.15,38.15,0,0
OML_PB,D,20131210,000000,39.46,39.46,39.46,39.46,0,0
OML_PB,D,20140102,000000,37.31,37.31,37.31,37.31,0,0
OML_PB,D,20140228,000000,60.63,60.63,60.63,60.63,0,0
OML_PB,D,20140305,000000,60.63,60.63,60.63,60.63,0,0
OML_PB,D,20180511,000000,1.28,1.28,1.28,1.28,0,0
OML_PB,D,20180514,000000,1.28,1.33,1.28,1.33,0,0
OML_PB,D,20180515,000000,1.42,1.64,1.42,1.64,0,0
OML_PB,D,20180516,000000,1.71,1.94,1.71,1.94,0,0
OML_PB,D,20180517,000000,2.23,2.46,2.23,2.46,0,0
OML_PB,D,20180518,000000,2.76,3.28,2.76,3.28,0,0
OML_PB,D,20180521,000000,3.58,3.58,3.55,3.55,0,0
