<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PME_MV,D,20160927,000000,44.95,44.95,44.95,44.95,0,0
PME_MV,D,20160928,000000,45.25,53.9,45.25,53.9,0,0
PME_MV,D,20160929,000000,60.6,72.7,60.6,72.7,0,0
PME_MV,D,20160930,000000,87.2,100,87.2,100,0,0
PME_MV,D,20161003,000000,120,144,96,110,0,0
PME_MV,D,20161004,000000,129,154.5,129,154.5,0,0
PME_MV,D,20161005,000000,185.45,222.5,185.45,220,0,0
PME_MV,D,20161006,000000,250,289.5,222.5,232,0,0
PME_MV,D,20161007,000000,245,245,200.25,215.5,0,0
PME_MV,D,20161010,000000,215,215,172.5,172.5,0,0
PME_MV,D,20161011,000000,192.5,195,125,145,0,0
PME_MV,D,20161012,000000,140,175,125,175,0,0
PME_MV,D,20161013,000000,180,180,150,171.6,0,0
PME_MV,D,20161014,000000,150,160,135,135,0,0
PME_MV,D,20161017,000000,145,174,145,157.15,0,0
PME_MV,D,20161018,000000,155,155,145.3,145.3,0,0
PME_MV,D,20161019,000000,145.3,145.3,145.3,145.3,0,0
PME_MV,D,20161021,000000,145.75,145.75,144,144,0,0
PME_MV,D,20161025,000000,145,160,145,151.6,0,0
PME_MV,D,20161103,000000,151.5,151.5,150,150,0,0
PME_MV,D,20161104,000000,149.95,150,149.95,150,0,0
PME_MV,D,20161107,000000,152,157.5,145,155,0,0
PME_MV,D,20161115,000000,150,150,147.5,147.5,0,0
PME_MV,D,20161122,000000,143.95,143.95,143.95,143.95,0,0
PME_MV,D,20161123,000000,143.95,143.95,140,140,0,0
PME_MV,D,20161124,000000,140,140,140,140,0,0
PME_MV,D,20161125,000000,135,135,135,135,0,0
PME_MV,D,20161130,000000,128,128,125,125,0,0
PME_MV,D,20161202,000000,128,128,128,128,0,0
PME_MV,D,20161205,000000,122.5,122.5,122.5,122.5,0,0
PME_MV,D,20161206,000000,122.5,122.5,113.75,113.75,0,0
PME_MV,D,20161208,000000,113.75,113.75,113.75,113.75,0,0
PME_MV,D,20161212,000000,113.75,113.75,110,110,0,0
PME_MV,D,20161213,000000,110,110,110,110,0,0
PME_MV,D,20161214,000000,110,110,110,110,0,0
PME_MV,D,20161215,000000,105,105,85,85,0,0
PME_MV,D,20161221,000000,83.75,83.75,80.5,80.5,0,0
PME_MV,D,20170117,000000,80.5,80.5,80.5,80.5,0,0
PME_MV,D,20170118,000000,80.5,80.5,80.5,80.5,0,0
PME_MV,D,20170119,000000,80.5,80.5,80.5,80.5,0,0
PME_MV,D,20170213,000000,80.6,80.6,80.6,80.6,0,0
PME_MV,D,20170403,000000,80.75,80.75,80.75,80.75,0,0
PME_MV,D,20170406,000000,80.8,80.8,80.8,80.8,0,0
PME_MV,D,20170410,000000,80.8,85.15,80.8,85.15,0,0
PME_MV,D,20170411,000000,85.45,85.45,85.45,85.45,0,0
PME_MV,D,20170413,000000,85.25,87,85.25,87,0,0
PME_MV,D,20170419,000000,85,85,85,85,0,0
PME_MV,D,20170420,000000,84.5,84.5,84.5,84.5,0,0
PME_MV,D,20170421,000000,84.5,84.5,84.5,84.5,0,0
PME_MV,D,20170424,000000,84.5,84.5,83,83,0,0
PME_MV,D,20170509,000000,80.75,80.75,79,79,0,0
PME_MV,D,20170510,000000,79.5,79.5,75.5,75.5,0,0
PME_MV,D,20170512,000000,74.5,74.5,74.5,74.5,0,0
PME_MV,D,20170516,000000,74.5,74.5,72.1,72.1,0,0
PME_MV,D,20170627,000000,70,70,70,70,0,0
PME_MV,D,20170804,000000,70.3,70.3,70.3,70.3,0,0
PME_MV,D,20170807,000000,69,69,69,69,0,0
PME_MV,D,20170809,000000,69.5,69.5,69.5,69.5,0,0
