<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PME_PE,D,20160927,000000,19.1,19.1,19.1,19.1,0,0
PME_PE,D,20160928,000000,17.5,22.9,17.5,22.9,0,0
PME_PE,D,20160929,000000,25.7,30.9,25.7,30.9,0,0
PME_PE,D,20160930,000000,37.1,42.5,37.1,42.5,0,0
PME_PE,D,20161003,000000,51,61.2,40.8,46.7,0,0
PME_PE,D,20161004,000000,54.8,65.6,54.8,65.6,0,0
PME_PE,D,20161005,000000,78.7,94.5,78.7,93.4,0,0
PME_PE,D,20161006,000000,106.1,122.9,94.5,98.5,0,0
PME_PE,D,20161007,000000,104,104,85,91.5,0,0
PME_PE,D,20161010,000000,91.3,91.3,73.2,73.3,0,0
PME_PE,D,20161011,000000,81.8,82.9,53.1,61.6,0,0
PME_PE,D,20161012,000000,59.5,74.3,53.1,74.3,0,0
PME_PE,D,20161013,000000,76.4,76.4,63.7,72.9,0,0
PME_PE,D,20161014,000000,63.7,68,57.3,57.3,0,0
PME_PE,D,20161017,000000,61.5,73.9,61.5,66.7,0,0
PME_PE,D,20161018,000000,65.8,65.8,61.7,61.7,0,0
PME_PE,D,20161019,000000,61.7,61.7,61.7,61.7,0,0
PME_PE,D,20161021,000000,61.9,61.9,61.1,61.2,0,0
PME_PE,D,20161025,000000,61.6,68,61.6,64.4,0,0
PME_PE,D,20161103,000000,64.4,64.4,63.7,63.7,0,0
PME_PE,D,20161104,000000,63.7,63.7,63.7,63.7,0,0
PME_PE,D,20161107,000000,64.5,66.9,61.6,65.8,0,0
PME_PE,D,20161115,000000,63.7,63.7,62.6,62.6,0,0
PME_PE,D,20161122,000000,61.1,61.1,61.1,61.1,0,0
PME_PE,D,20161123,000000,61.1,61.1,59.4,59.5,0,0
PME_PE,D,20161124,000000,59.5,59.5,59.5,59.5,0,0
PME_PE,D,20161125,000000,57.4,57.4,57.3,57.3,0,0
PME_PE,D,20161130,000000,66.6,66.6,65.1,65.1,0,0
PME_PE,D,20161202,000000,66.7,66.7,66.7,66.7,0,0
PME_PE,D,20161205,000000,63.8,63.8,63.8,63.8,0,0
PME_PE,D,20161206,000000,63.8,63.8,59.2,59.3,0,0
PME_PE,D,20161208,000000,59.3,59.3,59.3,59.3,0,0
PME_PE,D,20161212,000000,59.3,59.3,57.3,57.3,0,0
PME_PE,D,20161213,000000,57.3,57.3,57.3,57.3,0,0
PME_PE,D,20161214,000000,57.3,57.3,57.3,57.3,0,0
PME_PE,D,20161215,000000,54.7,54.7,44.3,44.3,0,0
PME_PE,D,20161221,000000,43.7,43.7,41.9,41.9,0,0
PME_PE,D,20170117,000000,41.9,41.9,41.9,41.9,0,0
