<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRS_PE,D,20120831,000000,11.731,11.731,11.731,11.731,0,0
PRS_PE,D,20120903,000000,11.731,11.731,8.9423,8.9423,0,0
PRS_PE,D,20120904,000000,8.9423,10.096,8.5577,8.6538,0,0
PRS_PE,D,20120905,000000,8.4615,9.904,7.4038,9.519,0,0
PRS_PE,D,20120906,000000,9.904,9.904,8.4615,9.0385,0,0
PRS_PE,D,20120907,000000,8.8462,8.8462,7.6923,7.6923,0,0
PRS_PE,D,20120910,000000,7.5962,8.1731,7.3077,8.1731,0,0
PRS_PE,D,20120911,000000,8.1731,8.75,7.9808,8.4615,0,0
PRS_PE,D,20120912,000000,8.4615,10.096,8.0769,8.75,0,0
PRS_PE,D,20120913,000000,9.0385,9.1346,8.75,9.1346,0,0
PRS_PE,D,20120914,000000,8.75,8.75,8.2692,8.75,0,0
PRS_PE,D,20120917,000000,8.5577,8.5577,7.5962,8.1731,0,0
PRS_PE,D,20120918,000000,8.1731,8.3654,7.2115,8.3654,0,0
PRS_PE,D,20120919,000000,8.3654,8.3654,8.1731,8.1731,0,0
PRS_PE,D,20120920,000000,8.0769,8.0769,7.9808,7.9808,0,0
PRS_PE,D,20120921,000000,7.9808,8.2692,7.9808,8.2692,0,0
PRS_PE,D,20120924,000000,8.2692,9.3269,8.2692,8.75,0,0
PRS_PE,D,20120925,000000,8.75,8.9423,8.0769,8.9423,0,0
PRS_PE,D,20120926,000000,8.75,9.3269,8.75,9.2308,0,0
PRS_PE,D,20120927,000000,9.4231,9.4231,8.75,8.9423,0,0
PRS_PE,D,20120928,000000,8.9423,8.9423,8.8462,8.8462,0,0
PRS_PE,D,20121001,000000,8.75,8.75,7.9808,8.2692,0,0
PRS_PE,D,20121002,000000,8.1731,8.1731,7.9808,7.9808,0,0
PRS_PE,D,20121003,000000,8.1731,8.1731,8.1731,8.1731,0,0
PRS_PE,D,20121004,000000,8.1731,8.3654,7.5962,8.3654,0,0
PRS_PE,D,20121005,000000,8.3654,8.3654,8.1731,8.3654,0,0
PRS_PE,D,20121008,000000,8.3654,8.3654,8.1731,8.1731,0,0
PRS_PE,D,20121009,000000,8.2692,8.2692,8.0769,8.0769,0,0
PRS_PE,D,20121010,000000,8.2692,8.2692,8.0769,8.2692,0,0
PRS_PE,D,20121016,000000,8.2692,8.4615,8.2692,8.4615,0,0
PRS_PE,D,20121017,000000,8.5577,8.5577,7.5,7.8846,0,0
PRS_PE,D,20121018,000000,7.8846,8.0769,7.5,7.5,0,0
PRS_PE,D,20121019,000000,7.9808,7.9808,7.9808,7.9808,0,0
PRS_PE,D,20121024,000000,7.8846,7.8846,7.5962,7.5962,0,0
PRS_PE,D,20121025,000000,7.5962,7.7885,7.5962,7.7885,0,0
PRS_PE,D,20121026,000000,7.7885,8.2692,7.7885,8.2692,0,0
PRS_PE,D,20121029,000000,8.2692,8.3654,8.2692,8.3654,0,0
PRS_PE,D,20121030,000000,8.3654,8.3654,8.3654,8.3654,0,0
PRS_PE,D,20121031,000000,8.1731,8.3654,8.1731,8.3654,0,0
PRS_PE,D,20121102,000000,8.0769,8.0769,7.6923,7.6923,0,0
PRS_PE,D,20121106,000000,7.6923,7.6923,7.4038,7.4038,0,0
PRS_PE,D,20121107,000000,7.5962,7.5962,7.5962,7.5962,0,0
PRS_PE,D,20121108,000000,7.4038,7.4038,6.5385,7.2115,0,0
PRS_PE,D,20121109,000000,7.5,7.5,6.8269,7.5,0,0
PRS_PE,D,20121112,000000,7.5,7.5,6.5385,6.8269,0,0
PRS_PE,D,20121113,000000,6.8269,6.8269,6.6346,6.6346,0,0
PRS_PE,D,20121114,000000,6.6346,7.4038,6.6346,7.4038,0,0
PRS_PE,D,20121115,000000,7.5,7.5,7.0192,7.0192,0,0
PRS_PE,D,20121119,000000,6.8269,6.8269,6.5385,6.6346,0,0
PRS_PE,D,20121120,000000,6.6346,6.6346,6.1538,6.1538,0,0
PRS_PE,D,20121121,000000,6.0577,6.0577,5.6731,6.0577,0,0
PRS_PE,D,20121122,000000,6.0577,6.8269,5.7692,6.8269,0,0
PRS_PE,D,20121123,000000,6.8269,6.8269,6.8269,6.8269,0,0
PRS_PE,D,20121126,000000,6.8269,6.8269,6.4423,6.4423,0,0
PRS_PE,D,20121127,000000,6.5385,6.5385,6.5385,6.5385,0,0
PRS_PE,D,20121128,000000,6.3462,6.8269,6.1538,6.8269,0,0
PRS_PE,D,20121129,000000,6.8269,6.8269,6.1538,6.8269,0,0
PRS_PE,D,20121130,000000,6.8269,6.8269,6.4423,6.8269,0,0
PRS_PE,D,20121203,000000,6.8269,6.8269,6.4423,6.4423,0,0
PRS_PE,D,20121204,000000,6.25,6.4423,6.0577,6.4423,0,0
PRS_PE,D,20121205,000000,6.7308,6.7308,6.1538,6.1538,0,0
PRS_PE,D,20121206,000000,6.25,6.6346,6.25,6.6346,0,0
PRS_PE,D,20121207,000000,6.6346,6.8269,6.6346,6.8269,0,0
PRS_PE,D,20121210,000000,6.8269,7.2115,6.8269,6.8269,0,0
PRS_PE,D,20121211,000000,6.8269,6.8269,6.8269,6.8269,0,0
PRS_PE,D,20121213,000000,6.6346,6.8269,6.6346,6.8269,0,0
PRS_PE,D,20121214,000000,6.8269,6.8269,6.8269,6.8269,0,0
PRS_PE,D,20121217,000000,6.6346,7.4038,5.5769,7.4038,0,0
PRS_PE,D,20121218,000000,6.9231,6.9231,6.3462,6.9231,0,0
PRS_PE,D,20121219,000000,6.6346,6.9231,6.3462,6.9231,0,0
PRS_PE,D,20121220,000000,6.9231,6.9231,6.7308,6.7308,0,0
PRS_PE,D,20121221,000000,6.7308,6.7308,6.7308,6.7308,0,0
PRS_PE,D,20121227,000000,6.7308,6.7308,6.6346,6.6346,0,0
PRS_PE,D,20121228,000000,6.6346,7.0192,6.5385,6.5385,0,0
PRS_PE,D,20130102,000000,6.5385,6.7308,6.5385,6.7308,0,0
PRS_PE,D,20130103,000000,6.8269,7.5,6.5385,6.9231,0,0
PRS_PE,D,20130104,000000,6.9231,7.5962,6.9231,7.5,0,0
PRS_PE,D,20130107,000000,7.5962,9.1346,7.5962,9.0385,0,0
PRS_PE,D,20130108,000000,9.2308,9.2308,8.0769,8.0769,0,0
PRS_PE,D,20130109,000000,8.2692,9.0385,8.2692,8.2692,0,0
PRS_PE,D,20130110,000000,8.2692,8.75,8.1731,8.75,0,0
PRS_PE,D,20130111,000000,8.8462,8.8462,8.0769,8.0769,0,0
PRS_PE,D,20130114,000000,8.0769,8.4615,7.2115,7.5,0,0
PRS_PE,D,20130115,000000,7.5,7.5,6.3462,6.9231,0,0
PRS_PE,D,20130116,000000,7.1154,7.1154,7.1154,7.1154,0,0
PRS_PE,D,20130117,000000,7.1154,7.4038,7.1154,7.2115,0,0
PRS_PE,D,20130118,000000,7.4038,7.5,7.0192,7.5,0,0
PRS_PE,D,20130121,000000,7.5,7.5,7.2115,7.4038,0,0
PRS_PE,D,20130123,000000,7.5,7.6923,7.0192,7.4038,0,0
PRS_PE,D,20130124,000000,7.4038,7.4038,7.4038,7.4038,0,0
PRS_PE,D,20130125,000000,7.4038,7.4038,7.4038,7.4038,0,0
PRS_PE,D,20130128,000000,7.5962,7.5962,7.2115,7.3077,0,0
PRS_PE,D,20130129,000000,7.3077,7.3077,7.3077,7.3077,0,0
PRS_PE,D,20130130,000000,7.3077,7.3077,7.3077,7.3077,0,0
PRS_PE,D,20130131,000000,7.5,7.5,7.4038,7.4038,0,0
PRS_PE,D,20130201,000000,7.4038,7.4038,7.0192,7.0192,0,0
PRS_PE,D,20130205,000000,7.2115,7.5962,7.2115,7.2115,0,0
PRS_PE,D,20130206,000000,7.2115,7.5,7.2115,7.5,0,0
PRS_PE,D,20130207,000000,7.5,7.5,7.5,7.5,0,0
PRS_PE,D,20130208,000000,7.5,7.5,7.5,7.5,0,0
PRS_PE,D,20130211,000000,7.5,7.5,7.4038,7.4038,0,0
PRS_PE,D,20130212,000000,7.4038,7.5,7.2115,7.4038,0,0
PRS_PE,D,20130213,000000,7.4038,7.5962,7.4038,7.5962,0,0
