<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTN_PB,D,20110103,000000,3.827,3.827,3.827,3.827,0,0
PTN_PB,D,20110104,000000,3.857,3.857,3.5262,3.5262,0,0
PTN_PB,D,20110105,000000,3.857,4.0901,3.857,3.9547,0,0
PTN_PB,D,20110107,000000,4.0224,4.0224,4.0224,4.0224,0,0
PTN_PB,D,20110111,000000,3.8946,4.0901,3.7292,4.0901,0,0
PTN_PB,D,20110114,000000,4.0224,4.0224,3.9247,3.9247,0,0
PTN_PB,D,20110117,000000,4.0224,4.0224,4.0224,4.0224,0,0
PTN_PB,D,20110121,000000,4.0224,4.0525,4.0224,4.0224,0,0
PTN_PB,D,20110124,000000,4.0901,4.0901,4.0901,4.0901,0,0
PTN_PB,D,20110125,000000,4.2556,4.2556,4.2556,4.2556,0,0
PTN_PB,D,20110126,000000,4.0224,4.0224,4.0224,4.0224,0,0
PTN_PB,D,20110127,000000,4.2856,4.2856,4.2856,4.2856,0,0
PTN_PB,D,20110131,000000,3.9547,3.9547,3.3007,3.624,0,0
PTN_PB,D,20110201,000000,3.7592,3.857,3.5939,3.5939,0,0
PTN_PB,D,20110202,000000,3.6616,3.6616,3.5262,3.5939,0,0
PTN_PB,D,20110203,000000,3.6916,3.6916,3.6916,3.6916,0,0
PTN_PB,D,20110210,000000,3.6916,3.9547,3.624,3.6916,0,0
PTN_PB,D,20110224,000000,3.248,3.466,3.248,3.466,0,0
PTN_PB,D,20110225,000000,3.3758,3.3758,3.3758,3.3758,0,0
PTN_PB,D,20110301,000000,3.1503,3.4435,3.1503,3.4435,0,0
PTN_PB,D,20110307,000000,3.3458,3.4059,3.1277,3.4059,0,0
PTN_PB,D,20110308,000000,3.1202,3.3758,2.9624,2.9624,0,0
PTN_PB,D,20110309,000000,3.2179,3.2179,3.2179,3.2179,0,0
PTN_PB,D,20110310,000000,3.3158,3.3158,3.3158,3.3158,0,0
PTN_PB,D,20110311,000000,3.1503,3.1503,3.1503,3.1503,0,0
PTN_PB,D,20110314,000000,2.9924,3.248,2.9924,3.248,0,0
PTN_PB,D,20110315,000000,2.9924,3.248,2.9924,3.248,0,0
PTN_PB,D,20110321,000000,2.9924,3.248,2.9924,3.248,0,0
PTN_PB,D,20110406,000000,2.9924,2.9924,2.609,2.6766,0,0
PTN_PB,D,20110407,000000,2.609,2.6465,2.609,2.6465,0,0
PTN_PB,D,20110411,000000,2.8646,2.8646,2.8646,2.8646,0,0
PTN_PB,D,20110420,000000,2.8646,2.8646,2.8646,2.8646,0,0
PTN_PB,D,20110429,000000,2.6766,2.6766,2.6766,2.6766,0,0
PTN_PB,D,20110504,000000,2.8044,2.8044,2.8044,2.8044,0,0
PTN_PB,D,20110511,000000,2.5488,2.5488,2.5488,2.5488,0,0
PTN_PB,D,20110517,000000,2.5488,2.5488,2.5488,2.5488,0,0
PTN_PB,D,20110525,000000,2.3908,2.7743,2.0375,2.0375,0,0
PTN_PB,D,20110526,000000,2.1955,2.3908,2.1955,2.3908,0,0
PTN_PB,D,20110527,000000,1.9097,1.9097,1.9097,1.9097,0,0
PTN_PB,D,20110602,000000,2.0375,2.1654,2.0375,2.1654,0,0
PTN_PB,D,20110603,000000,2.1955,2.4811,2.1654,2.3908,0,0
PTN_PB,D,20110606,000000,2.3908,2.8646,2.2029,2.8044,0,0
PTN_PB,D,20110607,000000,2.3984,2.4886,2.3833,2.3833,0,0
PTN_PB,D,20110608,000000,2.5789,2.5789,2.3232,2.3232,0,0
PTN_PB,D,20110627,000000,2.1955,2.1955,2.1955,2.1955,0,0
PTN_PB,D,20110628,000000,2.0375,2.0375,2.0075,2.0075,0,0
PTN_PB,D,20110630,000000,1.9398,1.9398,1.9097,1.9097,0,0
PTN_PB,D,20110701,000000,1.7819,2.2255,1.7819,2.2255,0,0
PTN_PB,D,20110705,000000,1.8796,1.8796,1.8796,1.8796,0,0
PTN_PB,D,20110712,000000,1.8796,1.8796,1.8796,1.8796,0,0
PTN_PB,D,20110713,000000,1.9774,1.9774,1.9774,1.9774,0,0
PTN_PB,D,20110715,000000,1.7743,1.7743,1.624,1.624,0,0
PTN_PB,D,20110718,000000,1.6541,1.7743,1.6014,1.6315,0,0
PTN_PB,D,20110719,000000,1.594,1.594,1.594,1.594,0,0
PTN_PB,D,20110720,000000,1.4962,1.4962,1.4811,1.4811,0,0
PTN_PB,D,20110725,000000,1.3608,1.4811,1.3608,1.4811,0,0
PTN_PB,D,20110726,000000,1.3608,1.7142,1.3608,1.7142,0,0
PTN_PB,D,20110728,000000,1.3082,1.3082,1.1879,1.1879,0,0
PTN_PB,D,20110729,000000,1.3008,1.3008,1.3008,1.3008,0,0
PTN_PB,D,20110803,000000,1.1804,1.1804,1.1804,1.1804,0,0
PTN_PB,D,20110804,000000,1.1804,1.4135,1.0826,1.4135,0,0
PTN_PB,D,20110805,000000,0.985,1.0225,0.9549,0.9549,0,0
