<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SP1_PB,D,20100517,000000,28.69,28.69,28.69,28.69,0,0
SP1_PB,D,20100518,000000,26.94,26.94,24.38,24.38,0,0
SP1_PB,D,20100519,000000,24.38,24.38,21.75,21.75,0,0
SP1_PB,D,20100520,000000,20.88,21.75,19.13,21.75,0,0
SP1_PB,D,20100823,000000,4.84,4.84,4.84,4.84,0,0
SP1_PB,D,20100824,000000,4.55,4.55,3.98,3.98,0,0
SP1_PB,D,20100825,000000,4.27,4.27,3.69,3.69,0,0
SP1_PB,D,20100826,000000,3.69,4.27,3.41,3.98,0,0
SP1_PB,D,20100827,000000,3.69,3.69,3.41,3.41,0,0
SP1_PB,D,20100830,000000,3.41,3.41,3.12,3.41,0,0
SP1_PB,D,20100831,000000,3.41,3.41,2.84,3.41,0,0
SP1_PB,D,20100901,000000,3.41,3.41,3.12,3.41,0,0
SP1_PB,D,20100902,000000,3.12,3.41,3.12,3.41,0,0
SP1_PB,D,20100903,000000,3.12,3.41,3.12,3.41,0,0
SP1_PB,D,20100906,000000,3.12,3.41,3.12,3.41,0,0
SP1_PB,D,20100907,000000,3.12,3.41,2.84,3.41,0,0
SP1_PB,D,20100908,000000,3.41,3.41,3.12,3.41,0,0
SP1_PB,D,20100909,000000,3.41,3.41,3.12,3.12,0,0
SP1_PB,D,20100910,000000,2.84,3.69,2.84,3.69,0,0
SP1_PB,D,20100913,000000,3.69,3.98,3.69,3.69,0,0
SP1_PB,D,20100914,000000,3.69,3.98,3.12,3.69,0,0
SP1_PB,D,20100915,000000,3.69,4.27,3.41,3.69,0,0
SP1_PB,D,20100916,000000,3.41,3.69,3.41,3.69,0,0
SP1_PB,D,20100917,000000,3.41,3.69,3.41,3.69,0,0
SP1_PB,D,20100920,000000,3.41,3.98,3.12,3.98,0,0
SP1_PB,D,20100921,000000,3.98,3.98,3.69,3.98,0,0
SP1_PB,D,20100922,000000,3.98,3.98,3.69,3.98,0,0
SP1_PB,D,20100923,000000,3.41,4.84,3.41,4.55,0,0
SP1_PB,D,20100924,000000,4.55,4.84,3.98,4.27,0,0
SP1_PB,D,20100927,000000,4.27,4.55,3.69,4.27,0,0
SP1_PB,D,20100928,000000,3.98,4.27,3.98,4.27,0,0
SP1_PB,D,20100929,000000,4.27,4.27,3.69,3.98,0,0
SP1_PB,D,20100930,000000,3.69,3.69,3.41,3.69,0,0
SP1_PB,D,20101001,000000,3.69,3.98,3.69,3.69,0,0
SP1_PB,D,20101004,000000,3.98,3.98,3.69,3.98,0,0
SP1_PB,D,20101005,000000,3.98,3.98,3.69,3.98,0,0
SP1_PB,D,20101006,000000,3.98,4.27,3.98,4.27,0,0
SP1_PB,D,20101007,000000,4.27,4.27,3.98,4.27,0,0
SP1_PB,D,20101008,000000,3.98,4.27,3.98,4.27,0,0
SP1_PB,D,20101011,000000,4.27,4.27,3.98,4.27,0,0
SP1_PB,D,20101012,000000,3.98,3.98,3.69,3.69,0,0
SP1_PB,D,20101013,000000,3.69,3.98,3.69,3.98,0,0
SP1_PB,D,20101014,000000,3.98,3.98,3.69,3.98,0,0
SP1_PB,D,20101015,000000,3.98,3.98,3.69,3.98,0,0
SP1_PB,D,20101018,000000,3.98,3.98,3.69,3.98,0,0
SP1_PB,D,20101019,000000,3.98,3.98,3.69,3.69,0,0
SP1_PB,D,20101020,000000,3.69,3.69,3.41,3.69,0,0
SP1_PB,D,20101021,000000,3.69,3.69,3.41,3.69,0,0
SP1_PB,D,20101022,000000,3.69,3.69,3.41,3.69,0,0
SP1_PB,D,20101025,000000,3.69,3.69,3.12,3.41,0,0
SP1_PB,D,20101026,000000,3.41,3.41,3.12,3.41,0,0
SP1_PB,D,20101027,000000,3.41,3.41,3.12,3.41,0,0
SP1_PB,D,20101028,000000,3.41,3.41,3.12,3.41,0,0
SP1_PB,D,20101029,000000,3.41,3.41,3.12,3.41,0,0
SP1_PB,D,20101102,000000,3.41,3.41,3.12,3.12,0,0
SP1_PB,D,20101103,000000,3.12,3.41,3.12,3.41,0,0
SP1_PB,D,20101104,000000,3.41,3.41,3.12,3.12,0,0
SP1_PB,D,20101105,000000,3.12,3.12,2.84,3.12,0,0
SP1_PB,D,20101108,000000,3.12,3.41,3.12,3.41,0,0
SP1_PB,D,20101109,000000,3.41,3.41,3.41,3.41,0,0
SP1_PB,D,20101110,000000,3.41,3.41,3.12,3.41,0,0
SP1_PB,D,20101112,000000,3.41,6.88,3.12,6.88,0,0
SP1_PB,D,20101115,000000,6.88,6.88,6.31,6.88,0,0
SP1_PB,D,20101116,000000,6.88,6.88,6.31,6.88,0,0
SP1_PB,D,20101117,000000,6.88,6.88,6.31,6.88,0,0
SP1_PB,D,20101118,000000,6.88,6.88,6.31,6.88,0,0
SP1_PB,D,20101119,000000,6.88,6.88,6.31,6.88,0,0
SP1_PB,D,20101122,000000,6.88,8.02,6.88,8.02,0,0
SP1_PB,D,20101123,000000,7.45,8.59,6.88,7.45,0,0
SP1_PB,D,20110216,000000,5.22,5.22,5.22,5.22,0,0
SP1_PB,D,20110217,000000,5.22,5.22,4.57,5.22,0,0
SP1_PB,D,20110218,000000,4.9,4.9,4.57,4.9,0,0
SP1_PB,D,20110221,000000,4.57,4.57,4.24,4.24,0,0
SP1_PB,D,20110222,000000,4.24,4.57,4.24,4.57,0,0
SP1_PB,D,20110223,000000,4.57,4.57,4.57,4.57,0,0
SP1_PB,D,20110224,000000,4.57,4.57,3.92,4.57,0,0
SP1_PB,D,20110225,000000,4.57,4.57,4.24,4.24,0,0
SP1_PB,D,20110228,000000,4.57,4.57,4.57,4.57,0,0
SP1_PB,D,20110301,000000,4.57,4.57,4.24,4.57,0,0
SP1_PB,D,20110302,000000,4.57,4.57,3.92,4.24,0,0
SP1_PB,D,20110303,000000,4.24,4.24,3.92,4.24,0,0
SP1_PB,D,20110304,000000,4.24,4.24,4.24,4.24,0,0
SP1_PB,D,20110307,000000,3.92,3.92,3.27,3.92,0,0
SP1_PB,D,20110308,000000,3.59,3.92,3.27,3.59,0,0
SP1_PB,D,20110309,000000,3.59,3.59,3.27,3.59,0,0
SP1_PB,D,20110310,000000,3.59,3.59,3.27,3.59,0,0
SP1_PB,D,20110311,000000,3.27,6.53,2.94,6.53,0,0
SP1_PB,D,20110314,000000,6.53,6.53,5.87,6.53,0,0
SP1_PB,D,20110315,000000,6.53,6.53,5.87,6.53,0,0
SP1_PB,D,20110316,000000,6.53,6.53,5.22,6.53,0,0
SP1_PB,D,20110317,000000,6.53,6.53,6.53,6.53,0,0
SP1_PB,D,20110318,000000,5.87,6.53,5.87,6.53,0,0
SP1_PB,D,20110321,000000,5.87,5.87,5.87,5.87,0,0
SP1_PB,D,20110322,000000,6.53,6.53,6.53,6.53,0,0
SP1_PB,D,20110323,000000,6.53,7.19,6.53,7.19,0,0
SP1_PB,D,20110324,000000,7.19,7.19,6.53,7.19,0,0
SP1_PB,D,20110325,000000,7.84,7.84,6.53,7.19,0,0
SP1_PB,D,20110328,000000,6.53,6.53,5.87,6.53,0,0
SP1_PB,D,20110329,000000,6.53,6.53,5.22,6.53,0,0
SP1_PB,D,20110330,000000,5.87,6.53,5.87,6.53,0,0
SP1_PB,D,20110331,000000,6.53,7.84,6.53,7.84,0,0
SP1_PB,D,20110401,000000,8.49,8.49,7.84,8.49,0,0
SP1_PB,D,20110404,000000,7.84,8.49,7.84,7.84,0,0
SP1_PB,D,20110405,000000,7.84,7.84,7.19,7.84,0,0
SP1_PB,D,20110406,000000,8.49,8.49,7.84,8.49,0,0
SP1_PB,D,20110407,000000,8.49,8.49,7.84,8.49,0,0
SP1_PB,D,20110408,000000,8.49,8.49,7.84,8.49,0,0
SP1_PB,D,20110411,000000,7.84,9.14,7.84,9.14,0,0
SP1_PB,D,20110412,000000,9.14,9.79,9.14,9.14,0,0
SP1_PB,D,20110413,000000,9.79,10.45,9.14,10.45,0,0
SP1_PB,D,20110414,000000,10.45,13.71,10.45,13.71,0,0
SP1_PB,D,20110415,000000,13.71,13.71,11.76,13.06,0,0
SP1_PB,D,20110418,000000,13.71,15.02,13.06,13.06,0,0
SP1_PB,D,20110419,000000,13.06,13.71,12.41,13.71,0,0
SP1_PB,D,20110420,000000,13.71,13.71,13.06,13.06,0,0
SP1_PB,D,20110421,000000,13.06,13.06,11.1,11.76,0,0
SP1_PB,D,20110426,000000,11.1,12.41,10.45,11.1,0,0
SP1_PB,D,20110427,000000,11.1,11.1,11.1,11.1,0,0
SP1_PB,D,20110428,000000,11.1,11.76,11.1,11.76,0,0
SP1_PB,D,20110429,000000,11.76,11.76,10.45,11.1,0,0
SP1_PB,D,20110502,000000,11.1,11.1,11.1,11.1,0,0
SP1_PB,D,20110504,000000,9.79,10.45,9.79,9.79,0,0
SP1_PB,D,20110505,000000,9.79,9.79,9.14,9.14,0,0
SP1_PB,D,20110506,000000,9.14,9.79,9.14,9.79,0,0
SP1_PB,D,20110509,000000,9.79,9.79,8.49,9.79,0,0
SP1_PB,D,20110510,000000,8.49,9.14,7.84,9.14,0,0
SP1_PB,D,20110511,000000,9.79,9.79,9.79,9.79,0,0
SP1_PB,D,20110512,000000,9.14,10.45,9.14,9.79,0,0
SP1_PB,D,20110513,000000,9.79,9.79,9.14,9.79,0,0
SP1_PB,D,20110516,000000,9.79,9.79,9.14,9.14,0,0
SP1_PB,D,20110517,000000,9.14,285.88,8.49,285.88,0,0
SP1_PB,D,20110518,000000,285.88,285.88,285.88,285.88,0,0
SP1_PB,D,20110519,000000,285.88,285.88,245.05,265.47,0,0
SP1_PB,D,20110520,000000,265.47,265.47,163.07,163.07,0,0
SP1_PB,D,20110523,000000,163.07,163.07,150.53,163.07,0,0
SP1_PB,D,20110524,000000,163.07,163.07,150.53,163.07,0,0
SP1_PB,D,20110525,000000,150.53,163.07,150.53,150.53,0,0
SP1_PB,D,20110526,000000,150.53,150.53,150.53,150.53,0,0
SP1_PB,D,20110527,000000,150.53,175.61,150.53,163.07,0,0
SP1_PB,D,20110530,000000,150.53,163.07,150.53,163.07,0,0
SP1_PB,D,20110531,000000,163.07,163.07,150.53,163.07,0,0
SP1_PB,D,20110601,000000,163.07,163.07,137.99,150.53,0,0
SP1_PB,D,20110602,000000,150.53,150.53,150.53,150.53,0,0
SP1_PB,D,20110603,000000,150.53,163.07,137.99,163.07,0,0
SP1_PB,D,20110606,000000,163.07,163.07,150.53,163.07,0,0
SP1_PB,D,20110607,000000,163.07,163.07,163.07,163.07,0,0
SP1_PB,D,20110608,000000,163.07,163.07,150.53,163.07,0,0
SP1_PB,D,20110609,000000,163.07,163.07,137.99,150.53,0,0
SP1_PB,D,20110610,000000,150.53,150.53,150.53,150.53,0,0
