<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWK_PB,D,20110705,000000,3.09,3.09,3.09,3.09,0,0
SWK_PB,D,20110706,000000,3.09,3.19,2.6,2.64,0,0
SWK_PB,D,20110707,000000,2.64,2.79,2.57,2.64,0,0
SWK_PB,D,20110708,000000,2.68,2.68,2.57,2.64,0,0
SWK_PB,D,20110711,000000,2.58,2.74,2.56,2.56,0,0
SWK_PB,D,20110712,000000,2.61,3.1,2.53,3.01,0,0
SWK_PB,D,20110713,000000,2.9,2.94,2.69,2.69,0,0
SWK_PB,D,20110714,000000,2.85,3,2.68,3,0,0
SWK_PB,D,20110715,000000,2.9,2.9,2.77,2.86,0,0
SWK_PB,D,20110718,000000,2.82,2.82,2.73,2.77,0,0
SWK_PB,D,20110719,000000,2.91,3.15,2.81,3.15,0,0
SWK_PB,D,20110720,000000,3.15,3.15,3.02,3.15,0,0
SWK_PB,D,20110721,000000,3.15,3.15,2.96,2.96,0,0
SWK_PB,D,20110722,000000,2.98,3.06,2.98,3,0,0
SWK_PB,D,20110725,000000,3,3.05,2.98,3.04,0,0
SWK_PB,D,20110726,000000,3.07,3.07,2.96,3.07,0,0
SWK_PB,D,20110727,000000,3.03,3.21,3,3.21,0,0
SWK_PB,D,20110728,000000,3.21,3.33,3.21,3.21,0,0
SWK_PB,D,20110729,000000,3.2,3.2,2.98,2.99,0,0
SWK_PB,D,20110801,000000,3,3.09,2.95,3.06,0,0
SWK_PB,D,20110802,000000,2.98,4.43,2.94,4.43,0,0
SWK_PB,D,20110803,000000,4.45,4.76,4.11,4.46,0,0
SWK_PB,D,20110804,000000,4.53,4.53,4.03,4.03,0,0
SWK_PB,D,20110805,000000,3.78,4.03,3.61,3.92,0,0
SWK_PB,D,20110808,000000,3.65,3.82,3.35,3.52,0,0
SWK_PB,D,20110809,000000,3.37,3.52,3.19,3.52,0,0
SWK_PB,D,20110810,000000,3.65,4.18,3.52,4.09,0,0
SWK_PB,D,20110811,000000,4.09,4.22,4.09,4.22,0,0
SWK_PB,D,20110812,000000,4.13,4.13,4.13,4.13,0,0
SWK_PB,D,20110816,000000,4.15,4.15,3.4,3.78,0,0
SWK_PB,D,20110817,000000,3.76,4.1,3.76,4.1,0,0
SWK_PB,D,20110818,000000,3.85,3.85,3.51,3.51,0,0
SWK_PB,D,20110819,000000,3.47,3.68,3.47,3.68,0,0
SWK_PB,D,20110822,000000,4.1,4.1,4.1,4.1,0,0
SWK_PB,D,20110823,000000,4.06,4.06,4.06,4.06,0,0
SWK_PB,D,20110824,000000,4.1,4.1,3.76,3.76,0,0
SWK_PB,D,20110825,000000,4.09,4.65,4.09,4.21,0,0
SWK_PB,D,20110826,000000,4.22,4.22,3.9,4.22,0,0
SWK_PB,D,20110829,000000,4.02,4.02,4.02,4.02,0,0
SWK_PB,D,20110830,000000,3.86,3.86,3.76,3.78,0,0
SWK_PB,D,20110831,000000,3.81,3.93,3.81,3.93,0,0
SWK_PB,D,20110901,000000,3.81,3.93,3.74,3.74,0,0
SWK_PB,D,20110902,000000,3.72,3.73,3.68,3.68,0,0
SWK_PB,D,20110905,000000,3.68,3.68,3.59,3.59,0,0
SWK_PB,D,20110906,000000,3.76,3.76,3.6,3.6,0,0
SWK_PB,D,20110907,000000,3.72,3.72,3.72,3.72,0,0
SWK_PB,D,20110908,000000,3.79,3.79,3.72,3.72,0,0
SWK_PB,D,20110909,000000,3.79,3.79,3.55,3.79,0,0
SWK_PB,D,20110912,000000,3.72,3.75,3.51,3.51,0,0
SWK_PB,D,20110913,000000,3.63,3.76,3.63,3.76,0,0
SWK_PB,D,20110914,000000,3.79,3.79,3.68,3.68,0,0
SWK_PB,D,20110915,000000,3.79,3.83,3.68,3.83,0,0
SWK_PB,D,20110916,000000,3.84,3.84,3.84,3.84,0,0
SWK_PB,D,20110919,000000,3.84,3.84,3.81,3.81,0,0
SWK_PB,D,20110920,000000,3.81,3.81,3.72,3.72,0,0
SWK_PB,D,20110921,000000,3.71,3.71,3.71,3.71,0,0
SWK_PB,D,20110922,000000,3.67,3.71,3.47,3.63,0,0
SWK_PB,D,20110923,000000,3.63,3.63,3.63,3.63,0,0
SWK_PB,D,20110926,000000,3.72,3.72,3.72,3.72,0,0
SWK_PB,D,20110927,000000,3.72,3.72,3.71,3.71,0,0
SWK_PB,D,20110928,000000,3.51,3.71,3.46,3.71,0,0
SWK_PB,D,20110929,000000,3.44,3.62,3.44,3.62,0,0
SWK_PB,D,20110930,000000,3.43,3.54,3.43,3.54,0,0
SWK_PB,D,20111003,000000,3.41,3.59,3.4,3.44,0,0
SWK_PB,D,20111004,000000,3.44,3.44,3.25,3.25,0,0
SWK_PB,D,20111005,000000,3.25,3.25,3.25,3.25,0,0
SWK_PB,D,20111006,000000,3.25,3.25,2.61,3.21,0,0
SWK_PB,D,20111007,000000,3.07,3.46,2.57,3.46,0,0
SWK_PB,D,20111010,000000,3.47,3.47,3.45,3.45,0,0
SWK_PB,D,20111011,000000,3.38,3.38,3.12,3.12,0,0
SWK_PB,D,20111012,000000,3.08,3.08,3.08,3.08,0,0
SWK_PB,D,20111013,000000,3.08,3.08,3.08,3.08,0,0
SWK_PB,D,20111014,000000,3.03,3.16,2.69,2.99,0,0
SWK_PB,D,20111018,000000,2.9,2.9,2.69,2.69,0,0
SWK_PB,D,20111019,000000,2.69,2.82,2.69,2.82,0,0
SWK_PB,D,20111020,000000,2.7,2.7,2.69,2.69,0,0
SWK_PB,D,20111021,000000,2.69,2.82,2.69,2.82,0,0
SWK_PB,D,20111024,000000,2.82,2.82,2.82,2.82,0,0
SWK_PB,D,20111025,000000,2.69,2.82,2.69,2.82,0,0
SWK_PB,D,20111028,000000,2.86,3.49,2.82,3.49,0,0
SWK_PB,D,20111031,000000,3,3.51,3,3.51,0,0
SWK_PB,D,20111102,000000,3.42,3.42,3.03,3.38,0,0
SWK_PB,D,20111103,000000,3.38,3.49,3.33,3.41,0,0
SWK_PB,D,20111104,000000,3.41,3.41,3.32,3.41,0,0
SWK_PB,D,20111107,000000,3.46,3.46,3.29,3.29,0,0
SWK_PB,D,20111108,000000,3.17,3.17,3.17,3.17,0,0
SWK_PB,D,20111109,000000,3.21,3.49,3.21,3.49,0,0
SWK_PB,D,20111110,000000,3.49,3.49,3.08,3.09,0,0
SWK_PB,D,20111114,000000,3.14,3.21,3.09,3.09,0,0
SWK_PB,D,20111115,000000,3.09,3.09,3.09,3.09,0,0
SWK_PB,D,20111116,000000,3.09,3.09,3.09,3.09,0,0
SWK_PB,D,20111117,000000,3.18,3.29,3.09,3.09,0,0
SWK_PB,D,20111118,000000,3.12,3.12,3.11,3.11,0,0
SWK_PB,D,20111121,000000,3.03,3.03,2.99,3.03,0,0
SWK_PB,D,20111122,000000,2.99,3.09,2.99,3.09,0,0
SWK_PB,D,20111123,000000,3.09,3.17,3.09,3.09,0,0
SWK_PB,D,20111124,000000,3.04,3.09,3.04,3.09,0,0
SWK_PB,D,20111125,000000,3.06,3.13,3.06,3.09,0,0
SWK_PB,D,20111128,000000,3.09,3.09,3.09,3.09,0,0
SWK_PB,D,20111129,000000,3.06,3.06,3.06,3.06,0,0
SWK_PB,D,20111130,000000,3,3,2.95,2.95,0,0
SWK_PB,D,20111201,000000,3.03,3.03,3.03,3.03,0,0
SWK_PB,D,20111202,000000,3.04,3.04,3,3,0,0
SWK_PB,D,20111205,000000,3.09,3.09,3.09,3.09,0,0
SWK_PB,D,20111206,000000,3.13,3.35,3.13,3.35,0,0
SWK_PB,D,20111207,000000,3.4,3.62,3.35,3.35,0,0
SWK_PB,D,20111208,000000,3.57,3.57,3.57,3.57,0,0
SWK_PB,D,20111209,000000,3.56,3.56,3.34,3.34,0,0
SWK_PB,D,20111212,000000,3.26,3.26,3.26,3.26,0,0
SWK_PB,D,20111213,000000,3.26,3.26,3.26,3.26,0,0
SWK_PB,D,20111214,000000,3.23,3.23,3.13,3.13,0,0
SWK_PB,D,20111215,000000,3.17,3.17,3.17,3.17,0,0
SWK_PB,D,20111216,000000,3.17,3.17,3.17,3.17,0,0
SWK_PB,D,20111219,000000,3.17,3.47,3.17,3.47,0,0
SWK_PB,D,20111220,000000,3.47,3.52,3.13,3.52,0,0
SWK_PB,D,20111221,000000,3.54,3.7,3.31,3.48,0,0
SWK_PB,D,20111222,000000,3.26,3.26,3.09,3.09,0,0
SWK_PB,D,20111223,000000,3.22,3.26,3.09,3.26,0,0
SWK_PB,D,20111227,000000,3.09,3.09,3.08,3.08,0,0
SWK_PB,D,20111228,000000,2.91,2.91,2.91,2.91,0,0
SWK_PB,D,20111229,000000,3,3.09,3,3.09,0,0
SWK_PB,D,20111230,000000,3,3,3,3,0,0
SWK_PB,D,20120102,000000,3.04,3.04,3.04,3.04,0,0
SWK_PB,D,20120105,000000,3,3,2.73,2.73,0,0
SWK_PB,D,20120110,000000,2.73,2.73,2.64,2.64,0,0
SWK_PB,D,20120111,000000,2.56,2.56,2.56,2.56,0,0
SWK_PB,D,20120112,000000,2.56,2.56,2.56,2.56,0,0
SWK_PB,D,20120116,000000,2.56,2.56,2.56,2.56,0,0
SWK_PB,D,20120117,000000,2.51,2.51,2.1,2.16,0,0
SWK_PB,D,20120118,000000,2.16,2.16,2.16,2.16,0,0
SWK_PB,D,20120130,000000,2.2,2.2,2.2,2.2,0,0
SWK_PB,D,20120202,000000,2.2,2.2,2.2,2.2,0,0
SWK_PB,D,20120203,000000,2.2,2.2,2.2,2.2,0,0
SWK_PB,D,20120206,000000,2.2,2.2,2.2,2.2,0,0
SWK_PB,D,20120207,000000,2.2,2.2,2.2,2.2,0,0
SWK_PB,D,20120208,000000,2.2,2.2,2.2,2.2,0,0
SWK_PB,D,20120209,000000,2.22,2.22,2.22,2.22,0,0
SWK_PB,D,20120210,000000,2.22,2.22,2.22,2.22,0,0
SWK_PB,D,20120213,000000,2.22,2.3,2.22,2.3,0,0
SWK_PB,D,20120214,000000,2.3,2.3,2.3,2.3,0,0
SWK_PB,D,20120215,000000,2.3,2.3,2.3,2.3,0,0
SWK_PB,D,20120216,000000,2.3,2.3,2.3,2.3,0,0
SWK_PB,D,20120217,000000,2.3,2.3,2.3,2.3,0,0
SWK_PB,D,20120220,000000,2.3,2.3,2.3,2.3,0,0
SWK_PB,D,20120221,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120222,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120223,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120224,000000,2.28,2.37,2.28,2.37,0,0
SWK_PB,D,20120227,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120228,000000,2.28,2.37,2.28,2.28,0,0
SWK_PB,D,20120229,000000,2.37,2.7,2.28,2.28,0,0
SWK_PB,D,20120301,000000,2.38,2.38,2.28,2.28,0,0
SWK_PB,D,20120305,000000,2.32,2.32,2.32,2.32,0,0
SWK_PB,D,20120314,000000,2.37,2.37,2.28,2.28,0,0
SWK_PB,D,20120326,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120327,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120328,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120329,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120330,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120402,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120403,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120404,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120405,000000,2.28,2.28,2.28,2.28,0,0
SWK_PB,D,20120410,000000,2.28,2.28,1.98,1.98,0,0
SWK_PB,D,20120411,000000,1.99,2.02,1.99,2.02,0,0
SWK_PB,D,20120412,000000,2,2.42,2,2.09,0,0
SWK_PB,D,20120417,000000,2.09,2.19,2.09,2.19,0,0
SWK_PB,D,20120423,000000,2.23,2.23,2,2.01,0,0
SWK_PB,D,20120424,000000,2.01,2.01,2.01,2.01,0,0
SWK_PB,D,20120425,000000,2.01,2.01,2.01,2.01,0,0
SWK_PB,D,20120426,000000,1.96,1.96,1.96,1.96,0,0
SWK_PB,D,20120427,000000,1.96,2.28,1.96,2.19,0,0
SWK_PB,D,20120508,000000,2.14,2.14,1.96,1.96,0,0
SWK_PB,D,20120515,000000,1.95,2.36,1.95,1.99,0,0
SWK_PB,D,20120516,000000,1.95,1.95,1.95,1.95,0,0
SWK_PB,D,20120517,000000,1.9,1.9,1.9,1.9,0,0
SWK_PB,D,20120518,000000,1.9,1.9,1.71,1.71,0,0
SWK_PB,D,20120521,000000,1.66,1.77,1.66,1.77,0,0
SWK_PB,D,20120606,000000,1.8,1.8,1.8,1.8,0,0
SWK_PB,D,20120620,000000,1.82,1.82,1.61,1.71,0,0
SWK_PB,D,20120626,000000,1.61,1.61,1.61,1.61,0,0
SWK_PB,D,20120703,000000,1.59,1.59,1.3,1.3,0,0
SWK_PB,D,20120705,000000,1.3,1.3,1.06,1.12,0,0
SWK_PB,D,20120706,000000,1.12,1.12,1.12,1.12,0,0
SWK_PB,D,20120709,000000,1.1,1.1,1.1,1.1,0,0
SWK_PB,D,20120710,000000,1.07,1.07,1.07,1.07,0,0
SWK_PB,D,20120711,000000,0.95,1.28,0.95,1.28,0,0
SWK_PB,D,20120717,000000,1.27,1.27,1.09,1.09,0,0
SWK_PB,D,20120807,000000,1.12,1.27,1.12,1.27,0,0
SWK_PB,D,20120808,000000,1.27,1.27,1.27,1.27,0,0
SWK_PB,D,20120809,000000,1.27,1.27,1.27,1.27,0,0
SWK_PB,D,20120810,000000,1.27,1.27,1.27,1.27,0,0
SWK_PB,D,20120813,000000,1.27,1.27,1.27,1.27,0,0
SWK_PB,D,20120814,000000,1.27,1.27,1.27,1.27,0,0
SWK_PB,D,20120820,000000,1.21,1.21,0.96,0.96,0,0
SWK_PB,D,20120821,000000,0.99,1.14,0.99,1.14,0,0
SWK_PB,D,20120822,000000,1.14,1.3,1.04,1.14,0,0
SWK_PB,D,20120823,000000,1.17,1.17,1.17,1.17,0,0
SWK_PB,D,20120824,000000,1.19,1.19,0.94,0.94,0,0
SWK_PB,D,20120827,000000,0.97,1.07,0.97,1.07,0,0
SWK_PB,D,20120829,000000,1.07,1.07,0.89,1.07,0,0
SWK_PB,D,20120830,000000,1.03,1.03,1.03,1.03,0,0
SWK_PB,D,20120831,000000,1.03,1.03,1.03,1.03,0,0
SWK_PB,D,20120903,000000,1,1,1,1,0,0
SWK_PB,D,20120904,000000,1,1,1,1,0,0
SWK_PB,D,20120905,000000,1,1,0.87,0.87,0,0
SWK_PB,D,20120913,000000,0.86,0.86,0.82,0.82,0,0
SWK_PB,D,20120917,000000,0.82,0.82,0.82,0.82,0,0
SWK_PB,D,20120918,000000,0.8,1.08,0.8,0.88,0,0
SWK_PB,D,20120921,000000,0.83,0.83,0.83,0.83,0,0
SWK_PB,D,20120925,000000,0.84,0.84,0.84,0.84,0,0
SWK_PB,D,20121011,000000,0.84,0.84,0.84,0.84,0,0
SWK_PB,D,20121012,000000,0.84,0.84,0.84,0.84,0,0
SWK_PB,D,20121016,000000,0.84,0.84,0.84,0.84,0,0
SWK_PB,D,20121022,000000,0.84,0.84,0.67,0.68,0,0
