<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIG_PE,D,20150216,000000,9.9,9.9,9.9,9.9,0,0
TIG_PE,D,20150217,000000,9.7,10.8,8.2,9.4,0,0
TIG_PE,D,20150218,000000,10.6,10.6,8.5,8.5,0,0
TIG_PE,D,20150219,000000,10.1,10.4,8.1,8.5,0,0
TIG_PE,D,20150220,000000,6.9,8.1,6.9,8.1,0,0
TIG_PE,D,20150223,000000,6.7,7.9,6.7,7.9,0,0
TIG_PE,D,20150224,000000,6.3,8.6,6.3,8.3,0,0
TIG_PE,D,20150225,000000,8.3,8.7,8.3,8.7,0,0
TIG_PE,D,20150226,000000,8.7,10.1,8.7,10.1,0,0
TIG_PE,D,20150227,000000,10.1,10.1,10.1,10.1,0,0
TIG_PE,D,20150302,000000,10.1,10.1,8.8,8.8,0,0
TIG_PE,D,20150303,000000,10,10,8.8,8.8,0,0
TIG_PE,D,20150304,000000,10,10.1,9,10.1,0,0
TIG_PE,D,20150305,000000,10.1,10.6,9.2,10.6,0,0
TIG_PE,D,20150306,000000,11.3,11.3,10.4,10.4,0,0
TIG_PE,D,20150309,000000,8.8,10.6,8.8,10.6,0,0
TIG_PE,D,20150310,000000,10.6,10.8,10.6,10.8,0,0
TIG_PE,D,20150311,000000,11.3,11.5,11.2,11.5,0,0
TIG_PE,D,20150312,000000,12,13.5,12,13.4,0,0
TIG_PE,D,20150313,000000,13.8,15.2,13.8,14.5,0,0
TIG_PE,D,20150316,000000,14.8,14.8,14.1,14.7,0,0
TIG_PE,D,20150317,000000,14.7,14.7,14.5,14.5,0,0
TIG_PE,D,20150318,000000,14.7,14.7,14,14,0,0
TIG_PE,D,20150319,000000,14.7,14.7,11.9,14,0,0
TIG_PE,D,20150320,000000,14,15.1,14,15.1,0,0
TIG_PE,D,20150323,000000,14.5,14.5,14.5,14.5,0,0
TIG_PE,D,20150324,000000,13.6,14.5,13.6,14.5,0,0
TIG_PE,D,20150325,000000,15,15.4,14.7,14.7,0,0
TIG_PE,D,20150326,000000,14.9,14.9,14.5,14.7,0,0
TIG_PE,D,20150327,000000,14.9,15,14.9,15,0,0
TIG_PE,D,20150330,000000,14.6,15.2,14.6,15,0,0
TIG_PE,D,20150331,000000,14.3,15.9,14.3,15.7,0,0
TIG_PE,D,20150401,000000,15.3,15.5,15.3,15.5,0,0
TIG_PE,D,20150402,000000,15.3,15.4,15.3,15.4,0,0
TIG_PE,D,20150407,000000,15,15.2,15,15.2,0,0
TIG_PE,D,20150408,000000,14.8,14.8,12.4,14.7,0,0
TIG_PE,D,20150409,000000,14.7,14.7,14.3,14.5,0,0
TIG_PE,D,20150410,000000,14.3,14.5,14.3,14.3,0,0
TIG_PE,D,20150413,000000,14.1,14.7,11.5,14.5,0,0
TIG_PE,D,20150414,000000,14.1,14.5,14.1,14.5,0,0
TIG_PE,D,20150415,000000,14.5,14.7,14.5,14.7,0,0
TIG_PE,D,20150416,000000,14.5,14.7,13.3,14.7,0,0
TIG_PE,D,20150417,000000,14.5,14.7,13.3,14.7,0,0
TIG_PE,D,20150420,000000,14.7,14.7,13.6,13.6,0,0
TIG_PE,D,20150421,000000,14.1,14.7,14.1,14.5,0,0
TIG_PE,D,20150422,000000,14.5,14.5,14.5,14.5,0,0
TIG_PE,D,20150423,000000,14.3,14.3,14.3,14.3,0,0
TIG_PE,D,20150424,000000,14.3,14.5,14.3,14.5,0,0
TIG_PE,D,20150427,000000,14.5,14.7,14.5,14.7,0,0
TIG_PE,D,20150428,000000,14.7,14.7,14.7,14.7,0,0
TIG_PE,D,20150429,000000,14.5,14.7,14.5,14.7,0,0
TIG_PE,D,20150430,000000,14.2,14.3,14.1,14.1,0,0
TIG_PE,D,20150504,000000,13.9,14.3,12.3,14.3,0,0
TIG_PE,D,20150505,000000,14.1,14.3,14,14.3,0,0
TIG_PE,D,20150506,000000,14.1,14.3,14.1,14.3,0,0
TIG_PE,D,20150507,000000,14.1,14.7,12.4,14.7,0,0
TIG_PE,D,20150508,000000,14.9,15.8,14.2,15.7,0,0
TIG_PE,D,20150511,000000,15.7,15.7,15.7,15.7,0,0
TIG_PE,D,20150512,000000,15.7,15.9,15.7,15.9,0,0
TIG_PE,D,20150513,000000,15.5,15.5,15.4,15.4,0,0
TIG_PE,D,20150514,000000,15.4,15.4,15.4,15.4,0,0
TIG_PE,D,20150515,000000,15.4,15.4,15.4,15.4,0,0
