<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRB_PB,D,20080801,000000,5.2099,5.2099,5.2099,5.2099,0,0
VRB_PB,D,20080804,000000,5.117,5.1507,5.117,5.1507,0,0
VRB_PB,D,20080805,000000,4.5689,4.9231,4.5689,4.9231,0,0
VRB_PB,D,20080806,000000,4.5101,4.8306,4.4764,4.7629,0,0
VRB_PB,D,20080807,000000,4.4764,4.4764,4.0549,4.4088,0,0
VRB_PB,D,20080808,000000,4.3752,4.4342,4.3161,4.3752,0,0
VRB_PB,D,20080811,000000,4.8978,4.8978,4.8895,4.8895,0,0
VRB_PB,D,20080812,000000,4.5689,4.5689,4.5689,4.5689,0,0
VRB_PB,D,20080813,000000,4.5101,4.5101,4.1815,4.3752,0,0
VRB_PB,D,20080814,000000,4.1224,4.5101,4.1224,4.5101,0,0
VRB_PB,D,20080818,000000,3.9621,4.5101,3.9621,4.5101,0,0
VRB_PB,D,20080819,000000,4.2487,4.2487,3.9286,3.9959,0,0
VRB_PB,D,20080820,000000,4.4764,4.4764,3.7008,3.8021,0,0
VRB_PB,D,20080821,000000,4.3752,4.3752,3.7345,3.7345,0,0
VRB_PB,D,20080822,000000,4.3752,4.3752,3.8021,3.861,0,0
VRB_PB,D,20080825,000000,3.8021,4.1224,3.8021,4.1224,0,0
VRB_PB,D,20080826,000000,3.861,3.861,3.861,3.861,0,0
VRB_PB,D,20080827,000000,3.507,4.4764,3.3805,4.4088,0,0
VRB_PB,D,20080828,000000,3.9537,4.3161,3.9537,4.3161,0,0
VRB_PB,D,20080829,000000,3.861,4.2235,3.861,4.215,0,0
VRB_PB,D,20080901,000000,3.5744,4.1815,3.5744,3.9537,0,0
VRB_PB,D,20080902,000000,3.8105,4.0549,3.8105,4.0549,0,0
VRB_PB,D,20080903,000000,4.2487,4.2487,4.0549,4.1815,0,0
VRB_PB,D,20080904,000000,4.1561,4.1561,4.1477,4.1477,0,0
VRB_PB,D,20080905,000000,3.6334,4.0888,3.6334,3.9959,0,0
VRB_PB,D,20080909,000000,3.6419,4.0212,3.6419,4.0212,0,0
VRB_PB,D,20080910,000000,3.9537,4.2487,3.9537,4.0888,0,0
VRB_PB,D,20080912,000000,4.1815,4.5017,3.9537,4.2487,0,0
VRB_PB,D,20080915,000000,3.7008,4.1815,3.7008,4.1815,0,0
VRB_PB,D,20080916,000000,3.7345,3.7345,3.7008,3.7008,0,0
VRB_PB,D,20080917,000000,3.8273,3.8273,3.8273,3.8273,0,0
VRB_PB,D,20080918,000000,3.861,3.861,3.861,3.861,0,0
VRB_PB,D,20080919,000000,4.0888,4.1815,4.0888,4.1815,0,0
VRB_PB,D,20080923,000000,3.7345,3.7345,3.7345,3.7345,0,0
VRB_PB,D,20080924,000000,4.1815,4.1815,4.1815,4.1815,0,0
VRB_PB,D,20080925,000000,3.861,4.0549,3.861,4.0549,0,0
VRB_PB,D,20080929,000000,4.0888,4.0888,3.861,3.861,0,0
VRB_PB,D,20080930,000000,3.8021,4.1477,3.8021,3.9537,0,0
VRB_PB,D,20081001,000000,4.1138,4.1224,4.1138,4.1224,0,0
VRB_PB,D,20081006,000000,3.507,3.861,3.507,3.861,0,0
VRB_PB,D,20081007,000000,3.8358,3.861,3.8358,3.861,0,0
VRB_PB,D,20081008,000000,3.861,3.9286,3.5406,3.9286,0,0
VRB_PB,D,20081009,000000,3.5406,3.9537,3.5406,3.7008,0,0
VRB_PB,D,20081010,000000,3.9876,4.1224,3.9876,4.1224,0,0
VRB_PB,D,20081014,000000,3.7008,3.7345,3.507,3.7008,0,0
VRB_PB,D,20081016,000000,4.0212,4.0888,4.0212,4.0888,0,0
VRB_PB,D,20081017,000000,3.5406,3.5406,3.507,3.507,0,0
VRB_PB,D,20081020,000000,3.3131,3.5406,3.2457,3.5406,0,0
VRB_PB,D,20081022,000000,3.7598,3.7598,3.7008,3.7008,0,0
VRB_PB,D,20081024,000000,3.5744,3.6334,3.2793,3.6334,0,0
VRB_PB,D,20081029,000000,3.6334,3.7261,3.6081,3.6081,0,0
VRB_PB,D,20081030,000000,3.2203,3.6334,3.0855,3.6334,0,0
VRB_PB,D,20081031,000000,3.5406,3.5406,2.9251,2.959,0,0
VRB_PB,D,20081103,000000,3.1867,3.4396,3.1867,3.2203,0,0
VRB_PB,D,20081104,000000,3.3131,3.5406,3.2203,3.3805,0,0
VRB_PB,D,20081105,000000,3.3805,3.3805,3.0517,3.2203,0,0
VRB_PB,D,20081106,000000,3.3805,3.7345,3.0855,3.5406,0,0
VRB_PB,D,20081107,000000,3.3805,3.3805,3.1867,3.3805,0,0
VRB_PB,D,20081110,000000,3.5323,3.5406,3.5323,3.5406,0,0
VRB_PB,D,20081113,000000,3.2203,3.2203,3.2203,3.2203,0,0
VRB_PB,D,20081114,000000,3.5406,3.7008,3.2203,3.6671,0,0
VRB_PB,D,20081117,000000,3.7345,3.7345,3.6671,3.6671,0,0
VRB_PB,D,20081118,000000,3.4733,3.4733,3.2203,3.2203,0,0
VRB_PB,D,20081119,000000,3.4733,3.4733,3.4733,3.4733,0,0
VRB_PB,D,20081120,000000,3.2203,3.2203,3.2203,3.2203,0,0
VRB_PB,D,20081124,000000,3.3805,3.6334,3.3805,3.6334,0,0
VRB_PB,D,20081125,000000,3.507,3.507,3.4396,3.4396,0,0
VRB_PB,D,20081126,000000,3.2203,3.2203,3.2203,3.2203,0,0
VRB_PB,D,20081127,000000,3.2203,3.2203,3.2203,3.2203,0,0
VRB_PB,D,20081203,000000,3.1867,3.2793,3.1867,3.2203,0,0
VRB_PB,D,20081204,000000,2.8999,3.2203,2.8999,3.1529,0,0
VRB_PB,D,20081208,000000,3.1867,3.1867,3.1867,3.1867,0,0
VRB_PB,D,20081209,000000,2.9337,2.9337,2.8999,2.8999,0,0
VRB_PB,D,20081211,000000,3.0517,3.0601,3.0517,3.0601,0,0
VRB_PB,D,20081212,000000,3.1867,3.1867,3.1867,3.1867,0,0
VRB_PB,D,20081215,000000,2.7737,3.0266,2.7398,3.0266,0,0
VRB_PB,D,20081216,000000,2.8999,3.2203,2.8999,3.0601,0,0
VRB_PB,D,20081217,000000,3.1867,3.1867,3.1867,3.1867,0,0
VRB_PB,D,20081219,000000,2.7398,3.0266,2.5796,3.0266,0,0
VRB_PB,D,20081230,000000,3.0266,3.0266,2.5459,3.0266,0,0
VRB_PB,D,20081231,000000,2.5459,2.5459,2.5459,2.5459,0,0
VRB_PB,D,20090105,000000,2.9928,3.0266,2.9928,3.0266,0,0
VRB_PB,D,20090106,000000,2.9928,2.9928,2.5713,2.9928,0,0
VRB_PB,D,20090108,000000,2.9675,2.9675,2.959,2.959,0,0
VRB_PB,D,20090109,000000,2.8325,2.8999,2.8325,2.8999,0,0
VRB_PB,D,20090116,000000,2.8999,2.8999,2.8999,2.8999,0,0
VRB_PB,D,20090119,000000,2.8999,2.8999,2.8999,2.8999,0,0
