<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBI0221.PL,D,20180626,000000,100,100,100,100,10,0
BBI0221.PL,D,20180706,000000,100.1,100.1,100.1,100.1,40,0
BBI0221.PL,D,20180709,000000,100.1,100.1,100.1,100.1,5,0
BBI0221.PL,D,20180807,000000,100.1,100.1,100.1,100.1,217,0
BBI0221.PL,D,20180808,000000,100.1,100.1,100.1,100.1,100,0
BBI0221.PL,D,20180813,000000,100.1,100.1,100.1,100.1,5,0
BBI0221.PL,D,20180821,000000,100.1,100.1,100.1,100.1,133,0
BBI0221.PL,D,20180829,000000,100.1,100.1,100.1,100.1,4,0
BBI0221.PL,D,20180831,000000,100.1,100.1,100.1,100.1,5,0
BBI0221.PL,D,20180924,000000,100.05,100.05,100.05,100.05,5,0
BBI0221.PL,D,20180925,000000,100.05,100.05,100.05,100.05,5,0
BBI0221.PL,D,20181001,000000,100,100,100,100,25,0
BBI0221.PL,D,20181002,000000,100,100,100,100,5,0
BBI0221.PL,D,20181016,000000,100,100,100,100,5,0
BBI0221.PL,D,20181022,000000,100,100,100,100,15,0
BBI0221.PL,D,20181107,000000,100,100,100,100,3,0
BBI0221.PL,D,20181221,000000,99.9,99.9,99.9,99.9,10,0
BBI0221.PL,D,20190108,000000,100,100,100,100,10,0
BBI0221.PL,D,20190125,000000,100,100,100,100,1,0
BBI0221.PL,D,20190128,000000,100,100,100,100,8,0
BBI0221.PL,D,20190214,000000,100,100,100,100,10,0
BBI0221.PL,D,20190218,000000,100,100,100,100,7,0
BBI0221.PL,D,20190405,000000,100,100,100,100,7,0
BBI0221.PL,D,20190627,000000,100,100,100,100,7,0
BBI0221.PL,D,20190725,000000,100,100,100,100,10,0
BBI0221.PL,D,20190809,000000,100,100,100,100,10,0
BBI0221.PL,D,20190821,000000,100,100,100,100,5,0
BBI0221.PL,D,20190904,000000,100,100,100,100,3,0
BBI0221.PL,D,20190905,000000,100,100,100,100,22,0
BBI0221.PL,D,20191004,000000,100,100,100,100,40,0
BBI0221.PL,D,20191015,000000,99.95,99.95,99.95,99.95,3,0
BBI0221.PL,D,20191024,000000,99.9,99.9,99.9,99.9,1,0
BBI0221.PL,D,20191028,000000,99.9,99.9,99.9,99.9,5,0
BBI0221.PL,D,20191029,000000,99.9,99.9,99.9,99.9,5,0
BBI0221.PL,D,20191030,000000,99.9,99.9,99.9,99.9,10,0
BBI0221.PL,D,20191106,000000,99.9,99.9,99.9,99.9,12,0
BBI0221.PL,D,20191107,000000,99.9,99.9,99.9,99.9,44,0
BBI0221.PL,D,20191206,000000,99.5,99.5,99.5,99.5,13,0
BBI0221.PL,D,20191211,000000,99.5,99.5,99.5,99.5,13,0
BBI0221.PL,D,20191213,000000,99.5,99.5,99.5,99.5,24,0
BBI0221.PL,D,20191219,000000,99.5,99.5,99.5,99.5,9,0
BBI0221.PL,D,20191220,000000,99.5,99.5,99.5,99.5,10,0
BBI0221.PL,D,20200131,000000,100,100,99.95,99.95,160,0
BBI0221.PL,D,20200203,000000,100,100,100,100,17,0
BBI0221.PL,D,20200204,000000,100,100,100,100,5,0
BBI0221.PL,D,20200206,000000,100,100,100,100,9,0
BBI0221.PL,D,20200214,000000,100.5,100.5,100.5,100.5,15,0
BBI0221.PL,D,20200218,000000,100.3,100.3,100.3,100.3,10,0
BBI0221.PL,D,20200219,000000,100.3,100.3,100.3,100.3,20,0
BBI0221.PL,D,20200221,000000,100.25,100.3,100.25,100.3,170,0
BBI0221.PL,D,20200224,000000,100.3,100.3,100.3,100.3,2,0
BBI0221.PL,D,20200225,000000,100.3,100.3,100.3,100.3,3,0
BBI0221.PL,D,20200302,000000,100,100,100,100,26,0
BBI0221.PL,D,20200304,000000,100,100,100,100,16,0
BBI0221.PL,D,20200305,000000,100,100,100,100,40,0
BBI0221.PL,D,20200311,000000,99.8,99.8,99.8,99.8,5,0
BBI0221.PL,D,20200317,000000,97.25,97.25,97.25,97.25,5,0
BBI0221.PL,D,20200318,000000,96.8,96.8,96.8,96.8,7,0
BBI0221.PL,D,20200324,000000,85,85,85,85,3,0
BBI0221.PL,D,20200325,000000,80,80,80,80,7,0
BBI0221.PL,D,20200330,000000,94,94,94,94,4,0
BBI0221.PL,D,20200331,000000,95,95,95,95,1,0
BBI0221.PL,D,20200401,000000,94,94,94,94,2,0
BBI0221.PL,D,20200406,000000,94,94,94,94,2,0
BBI0221.PL,D,20200416,000000,94.5,94.5,94,94,5,0
BBI0221.PL,D,20200417,000000,97.25,97.25,97.25,97.25,2,0
BBI0221.PL,D,20200427,000000,97.25,97.25,97.25,97.25,2,0
BBI0221.PL,D,20200521,000000,97.25,97.25,97.25,97.25,1,0
BBI0221.PL,D,20200528,000000,98.33,98.33,98.33,98.33,3,0
BBI0221.PL,D,20200715,000000,100.09,100.09,100.09,100.09,5,0
BBI0221.PL,D,20200721,000000,100.09,100.09,100.09,100.09,7,0
BBI0221.PL,D,20200915,000000,100.05,100.05,100.05,100.05,5,0
BBI0221.PL,D,20200917,000000,100.16,100.16,100.16,100.16,5,0
BBI0221.PL,D,20200918,000000,100.5,100.5,100.5,100.5,1,0
BBI0221.PL,D,20200921,000000,100.05,100.05,100.05,100.05,4,0
