<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPT0620.PL,D,20180110,000000,100.5,100.5,100.5,100.5,2,0
BPT0620.PL,D,20180220,000000,99.55,99.55,99.55,99.55,4,0
BPT0620.PL,D,20180227,000000,99.55,99.55,99.55,99.55,1,0
BPT0620.PL,D,20180327,000000,101,101,101,101,2,0
BPT0620.PL,D,20180625,000000,99.55,99.55,99.55,99.55,11,0
BPT0620.PL,D,20180702,000000,100.5,100.5,100.5,100.5,2,0
BPT0620.PL,D,20180817,000000,100.2,100.2,100.2,100.2,10,0
BPT0620.PL,D,20180904,000000,101,101,101,101,7,0
BPT0620.PL,D,20180925,000000,100,100,100,100,10,0
BPT0620.PL,D,20181121,000000,99.2,99.2,99.2,99.2,2,0
BPT0620.PL,D,20190108,000000,100.2,100.2,100.2,100.2,22,0
BPT0620.PL,D,20190207,000000,101.3,101.3,101.3,101.3,5,0
BPT0620.PL,D,20190405,000000,101.3,101.3,101.3,101.3,5,0
BPT0620.PL,D,20190604,000000,101.3,101.3,101.3,101.3,7,0
BPT0620.PL,D,20190627,000000,101.3,101.3,101.3,101.3,7,0
BPT0620.PL,D,20190906,000000,100,100,100,100,15,0
BPT0620.PL,D,20190926,000000,99.8,100,99.8,100,21,0
BPT0620.PL,D,20191008,000000,100.5,100.5,100.5,100.5,3,0
BPT0620.PL,D,20191211,000000,100.5,100.5,100.5,100.5,3,0
BPT0620.PL,D,20200508,000000,99.8,99.8,99.8,99.8,4,0
