<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNP1020.PL,D,20180306,000000,100.1,100.1,100.1,100.1,300,0
DNP1020.PL,D,20180712,000000,100.3,100.3,100.3,100.3,15,0
DNP1020.PL,D,20180813,000000,101.1,101.1,101.1,101.1,15,0
DNP1020.PL,D,20180821,000000,100.5,100.5,95.5,99,8,0
DNP1020.PL,D,20180829,000000,100,100,100,100,2,0
DNP1020.PL,D,20180905,000000,100.95,100.95,100.95,100.95,2,0
DNP1020.PL,D,20180924,000000,100.5,100.5,100.5,100.5,1,0
DNP1020.PL,D,20181121,000000,102,102,102,102,5,0
DNP1020.PL,D,20181227,000000,100.75,100.75,100.75,100.75,15,0
DNP1020.PL,D,20181228,000000,101,101,101,101,5,0
DNP1020.PL,D,20190301,000000,101,101,101,101,4,0
DNP1020.PL,D,20190306,000000,100,100,100,100,4,0
DNP1020.PL,D,20190307,000000,101,101,101,101,4,0
DNP1020.PL,D,20190308,000000,97,99,97,99,9,0
DNP1020.PL,D,20190326,000000,99.6,99.6,99.6,99.6,2,0
DNP1020.PL,D,20190405,000000,99.6,99.6,99.6,99.6,2,0
DNP1020.PL,D,20190429,000000,100.99,100.99,100.99,100.99,2,0
DNP1020.PL,D,20190517,000000,100.99,100.99,100.99,100.99,3,0
DNP1020.PL,D,20190524,000000,101,101,101,101,7,0
DNP1020.PL,D,20190529,000000,101,101,101,101,6,0
DNP1020.PL,D,20190614,000000,101,101,101,101,60,0
DNP1020.PL,D,20190618,000000,100.5,100.5,100.5,100.5,2,0
DNP1020.PL,D,20190627,000000,100.5,100.5,100.5,100.5,2,0
DNP1020.PL,D,20190805,000000,101,101,101,101,4,0
DNP1020.PL,D,20190903,000000,100.5,100.5,99.5,99.5,2,0
DNP1020.PL,D,20190904,000000,101,101,101,101,13,0
DNP1020.PL,D,20190924,000000,100.5,101,100,101,60,0
DNP1020.PL,D,20191211,000000,100.5,101,100,101,60,0
DNP1020.PL,D,20200309,000000,99.25,99.25,99.25,99.25,7,0
DNP1020.PL,D,20200313,000000,99.25,99.25,99.25,99.25,15,0
DNP1020.PL,D,20200511,000000,101,101,101,101,3,0
DNP1020.PL,D,20200518,000000,100,100,100,100,17,0
DNP1020.PL,D,20200528,000000,100,100,100,100,10,0
DNP1020.PL,D,20200601,000000,99.9,99.9,99.9,99.9,6,0
DNP1020.PL,D,20200604,000000,100,100,100,100,50,0
DNP1020.PL,D,20200605,000000,100,100,100,100,100,0
DNP1020.PL,D,20200609,000000,100,100,100,100,50,0
DNP1020.PL,D,20200622,000000,100,100,100,100,50,0
DNP1020.PL,D,20200624,000000,100,100,100,100,1,0
DNP1020.PL,D,20200709,000000,100,100,100,100,30,0
DNP1020.PL,D,20200715,000000,99.6,99.6,99.6,99.6,86,0
DNP1020.PL,D,20200730,000000,99.6,99.6,99.6,99.6,1,0
DNP1020.PL,D,20200813,000000,100,100,100,100,2,0
