<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH1121.PL,D,20181114,000000,100,100,100,100,3,0
ECH1121.PL,D,20190405,000000,100,100,100,100,3,0
ECH1121.PL,D,20190604,000000,99.9,99.9,99,99,10,0
ECH1121.PL,D,20190610,000000,99.99,99.99,99.99,99.99,1,0
ECH1121.PL,D,20190611,000000,99.99,99.99,99.99,99.99,1,0
ECH1121.PL,D,20190627,000000,99.99,99.99,99.99,99.99,1,0
ECH1121.PL,D,20190704,000000,99.99,99.99,99.99,99.99,1,0
ECH1121.PL,D,20190705,000000,99.99,99.99,99.99,99.99,6,0
ECH1121.PL,D,20190719,000000,100,100,100,100,1,0
ECH1121.PL,D,20191211,000000,100,100,100,100,1,0
ECH1121.PL,D,20191219,000000,100,100,100,100,440,0
ECH1121.PL,D,20200414,000000,96,96,96,96,7,0
ECH1121.PL,D,20200505,000000,101,101,101,101,1,0
ECH1121.PL,D,20200514,000000,96,96,96,96,1,0
ECH1121.PL,D,20200527,000000,96.5,96.5,96.5,96.5,1,0
ECH1121.PL,D,20200528,000000,97,97,97,97,100,0
ECH1121.PL,D,20200629,000000,102,102,102,102,1,0
ECH1121.PL,D,20201005,000000,97,97,97,97,1,0
ECH1121.PL,D,20201015,000000,99,99,99,99,1,0
