<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFI0121.PL,D,20180116,000000,89,89,89,89,15,0
FFI0121.PL,D,20180117,000000,87.01,89,87.01,87.01,20,0
FFI0121.PL,D,20180118,000000,89,89,87.01,88,42,0
FFI0121.PL,D,20180119,000000,89,89,88.96,89,18,0
FFI0121.PL,D,20180122,000000,88.99,89,88.99,89,11,0
FFI0121.PL,D,20180125,000000,89,89,89,89,3,0
FFI0121.PL,D,20180126,000000,89,89,89,89,1,0
FFI0121.PL,D,20180129,000000,89,89,89,89,2,0
FFI0121.PL,D,20180130,000000,88,89,88,89,13,0
FFI0121.PL,D,20180131,000000,88.01,88.01,88.01,88.01,19,0
FFI0121.PL,D,20180205,000000,88.99,89,88.99,88.99,21,0
FFI0121.PL,D,20180207,000000,89.99,89.99,89.99,89.99,1,0
FFI0121.PL,D,20180208,000000,89.99,89.99,89.99,89.99,4,0
FFI0121.PL,D,20180212,000000,89.99,89.99,89.99,89.99,1,0
FFI0121.PL,D,20180214,000000,89.99,89.99,89.99,89.99,55,0
FFI0121.PL,D,20180215,000000,90,90,90,90,1,0
FFI0121.PL,D,20180219,000000,88,88,88,88,15,0
FFI0121.PL,D,20180222,000000,89,89,89,89,6,0
FFI0121.PL,D,20180223,000000,89,89,87.2,89,42,0
FFI0121.PL,D,20180226,000000,89,89,89,89,6,0
FFI0121.PL,D,20180306,000000,90.9,90.9,90.9,90.9,3,0
FFI0121.PL,D,20180308,000000,90,90,90,90,3,0
FFI0121.PL,D,20180316,000000,90,90,90,90,3,0
FFI0121.PL,D,20180320,000000,90,90,90,90,2,0
FFI0121.PL,D,20180321,000000,90,90,90,90,6,0
FFI0121.PL,D,20180328,000000,88,88,87,87,18,0
FFI0121.PL,D,20180329,000000,86,89.99,86,86,24,0
FFI0121.PL,D,20180403,000000,86,86,86,86,1,0
FFI0121.PL,D,20180417,000000,88,88,88,88,9,0
FFI0121.PL,D,20180418,000000,88,88,88,88,13,0
FFI0121.PL,D,20180420,000000,87,87,87,87,1,0
FFI0121.PL,D,20180426,000000,87,87,86,86,13,0
FFI0121.PL,D,20180427,000000,86,88,86,88,12,0
FFI0121.PL,D,20180502,000000,88,88,83,83,35,0
FFI0121.PL,D,20180507,000000,86.8,86.8,86,86,9,0
FFI0121.PL,D,20180509,000000,86.1,86.1,86.1,86.1,3,0
FFI0121.PL,D,20180511,000000,82,82,82,82,8,0
FFI0121.PL,D,20180515,000000,80.1,80.1,78,78,14,0
