<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHC1220.PL,D,20180125,000000,100,100,100,100,140,0
GHC1220.PL,D,20180308,000000,101,101,101,101,4,0
GHC1220.PL,D,20190114,000000,100.6,100.6,100.6,100.6,2,0
GHC1220.PL,D,20190206,000000,100.5,100.5,100.5,100.5,5,0
GHC1220.PL,D,20190405,000000,100.5,100.5,100.5,100.5,5,0
GHC1220.PL,D,20190513,000000,100.21,100.21,100.21,100.21,20,0
GHC1220.PL,D,20190515,000000,100.5,100.5,100.5,100.5,4,0
GHC1220.PL,D,20190517,000000,100.5,100.5,100.5,100.5,17,0
GHC1220.PL,D,20190521,000000,100.3,100.3,100.3,100.3,100,0
GHC1220.PL,D,20190522,000000,100.5,100.5,100.5,100.5,12,0
GHC1220.PL,D,20190523,000000,100.5,100.5,100.5,100.5,20,0
GHC1220.PL,D,20190530,000000,100.45,100.45,100.45,100.45,10,0
GHC1220.PL,D,20190531,000000,100.45,100.45,100.45,100.45,3,0
GHC1220.PL,D,20190603,000000,100.5,100.5,100.5,100.5,15,0
GHC1220.PL,D,20190606,000000,100.6,100.6,100.6,100.6,5,0
GHC1220.PL,D,20190611,000000,100.6,100.6,100.6,100.6,5,0
GHC1220.PL,D,20190612,000000,100.6,100.6,100.6,100.6,1,0
GHC1220.PL,D,20190613,000000,100.6,100.6,100.6,100.6,19,0
GHC1220.PL,D,20190617,000000,100.65,100.65,100.62,100.65,572,0
GHC1220.PL,D,20190618,000000,100.65,101,100.65,101,7,0
GHC1220.PL,D,20190621,000000,101,101,101,101,4,0
GHC1220.PL,D,20190625,000000,101,101,101,101,4,0
GHC1220.PL,D,20190626,000000,102,102,100.65,100.65,75,0
GHC1220.PL,D,20190627,000000,102,102,102,102,10,0
GHC1220.PL,D,20190702,000000,100.5,100.5,100.5,100.5,58,0
GHC1220.PL,D,20190703,000000,100.5,100.5,100.5,100.5,114,0
GHC1220.PL,D,20190704,000000,100.5,100.5,100.5,100.5,203,0
GHC1220.PL,D,20190705,000000,100.5,101.44,100.5,101.44,65,0
GHC1220.PL,D,20190709,000000,100.6,100.6,100.6,100.6,65,0
GHC1220.PL,D,20190719,000000,101.36,101.36,101.36,101.36,8,0
GHC1220.PL,D,20191001,000000,100.11,100.11,100.11,100.11,2,0
GHC1220.PL,D,20191021,000000,100.9,101.3,100.9,101.3,28,0
GHC1220.PL,D,20191211,000000,100.9,101.3,100.9,101.3,28,0
GHC1220.PL,D,20191216,000000,100.97,100.97,100.97,100.97,2,0
GHC1220.PL,D,20200102,000000,100.8,100.8,100.8,100.8,3,0
GHC1220.PL,D,20200103,000000,100.94,100.94,100.94,100.94,2,0
GHC1220.PL,D,20200110,000000,100.93,100.94,100.93,100.94,30,0
GHC1220.PL,D,20200115,000000,100.79,100.79,100.79,100.79,1,0
GHC1220.PL,D,20200210,000000,100.71,100.71,100.71,100.71,5,0
GHC1220.PL,D,20200213,000000,100.71,100.72,100.71,100.72,30,0
GHC1220.PL,D,20200217,000000,100.96,100.97,100.96,100.97,26,0
GHC1220.PL,D,20200224,000000,100.65,100.65,100.65,100.65,16,0
GHC1220.PL,D,20200309,000000,99.38,99.38,99.38,99.38,8,0
GHC1220.PL,D,20200312,000000,98,98,98,98,56,0
GHC1220.PL,D,20200324,000000,95.51,95.51,95,95.1,57,0
GHC1220.PL,D,20200325,000000,93.8,93.8,93.55,93.55,22,0
GHC1220.PL,D,20200326,000000,93,93,93,93,3,0
GHC1220.PL,D,20200331,000000,97.5,97.5,97.5,97.5,5,0
GHC1220.PL,D,20200407,000000,99,99,99,99,10,0
GHC1220.PL,D,20200416,000000,99.28,99.28,99.28,99.28,51,0
GHC1220.PL,D,20200428,000000,99.29,99.29,99.29,99.29,10,0
GHC1220.PL,D,20200429,000000,99.3,99.3,99.3,99.3,50,0
GHC1220.PL,D,20200507,000000,99.98,99.98,99.98,99.98,10,0
GHC1220.PL,D,20200513,000000,99.98,99.98,99.98,99.98,10,0
GHC1220.PL,D,20200528,000000,99.35,99.35,99.35,99.35,10,0
GHC1220.PL,D,20200602,000000,99.36,99.36,99.36,99.36,9,0
GHC1220.PL,D,20200610,000000,100,100,100,100,10,0
GHC1220.PL,D,20200617,000000,100.18,100.18,100.18,100.18,20,0
GHC1220.PL,D,20200630,000000,99.74,99.74,99.74,99.74,5,0
GHC1220.PL,D,20200706,000000,100,100,100,100,10,0
GHC1220.PL,D,20200803,000000,100.24,100.24,100.24,100.24,110,0
GHC1220.PL,D,20200817,000000,100.01,100.01,100.01,100.01,10,0
GHC1220.PL,D,20201014,000000,100,100,100,100,1,0
