<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNB0420.PL,D,20171218,000000,91.97,91.97,91.97,91.97,1,0
GNB0420.PL,D,20171219,000000,91.97,91.97,91.97,91.97,2,0
GNB0420.PL,D,20171221,000000,91.8,91.8,91.8,91.8,10,0
GNB0420.PL,D,20171222,000000,90.01,91.7,90.01,91.7,5,0
GNB0420.PL,D,20171227,000000,90.01,91.69,90.01,91.69,15,0
GNB0420.PL,D,20171228,000000,91.69,91.69,91.69,91.69,2,0
GNB0420.PL,D,20180104,000000,91.69,91.69,91.69,91.69,8,0
GNB0420.PL,D,20180105,000000,92,92,91.5,91.5,7,0
GNB0420.PL,D,20180109,000000,91.02,91.02,91.02,91.02,70,0
GNB0420.PL,D,20180112,000000,92,92,92,92,10,0
GNB0420.PL,D,20180115,000000,92.8,92.93,92.8,92.93,90,0
GNB0420.PL,D,20180117,000000,92.8,92.8,92.8,92.8,2,0
GNB0420.PL,D,20180122,000000,91.55,91.55,91.02,91.02,52,0
GNB0420.PL,D,20180124,000000,92.89,92.89,92.89,92.89,13,0
GNB0420.PL,D,20180125,000000,92.89,92.89,92.89,92.89,2,0
GNB0420.PL,D,20180129,000000,92.9,92.9,92.9,92.9,10,0
GNB0420.PL,D,20180131,000000,93.3,93.3,93.3,93.3,2,0
GNB0420.PL,D,20180201,000000,93.3,93.39,93.3,93.39,20,0
GNB0420.PL,D,20180206,000000,93.39,93.5,93.39,93.39,10,0
GNB0420.PL,D,20180207,000000,93.5,94,93.5,94,19,0
GNB0420.PL,D,20180208,000000,94,94,94,94,12,0
GNB0420.PL,D,20180209,000000,94.1,94.1,94.1,94.1,1,0
GNB0420.PL,D,20180214,000000,93,93,93,93,6,0
GNB0420.PL,D,20180220,000000,94.5,94.5,94.5,94.5,44,0
GNB0420.PL,D,20180223,000000,94.9,94.99,94.9,94.99,43,0
GNB0420.PL,D,20180226,000000,94.2,94.2,94.2,94.2,20,0
GNB0420.PL,D,20180227,000000,96.34,96.34,96.34,96.34,5,0
GNB0420.PL,D,20180301,000000,95.55,95.55,95.5,95.5,47,0
GNB0420.PL,D,20180309,000000,95.55,95.55,95.55,95.55,8,0
GNB0420.PL,D,20180313,000000,95.51,96,95,96,26,0
GNB0420.PL,D,20180321,000000,95.7,95.7,95.7,95.7,10,0
GNB0420.PL,D,20180326,000000,96.89,96.89,96.88,96.88,49,0
GNB0420.PL,D,20180327,000000,96.3,96.3,96.3,96.3,44,0
GNB0420.PL,D,20180328,000000,96.4,96.4,95.5,95.5,39,0
GNB0420.PL,D,20180329,000000,95.5,95.5,95,95,18,0
GNB0420.PL,D,20180404,000000,95.2,95.2,94.5,94.5,57,0
GNB0420.PL,D,20180405,000000,95.9,95.9,95.9,95.9,20,0
GNB0420.PL,D,20180406,000000,95.5,95.5,95.5,95.5,18,0
GNB0420.PL,D,20180409,000000,93.11,95,93.11,95,7,0
GNB0420.PL,D,20180410,000000,95.01,96,95,96,127,0
GNB0420.PL,D,20180411,000000,96.09,96.09,96.09,96.09,26,0
GNB0420.PL,D,20180412,000000,96.05,96.09,95.01,96.09,105,0
GNB0420.PL,D,20180413,000000,96.09,96.3,96.09,96.1,165,0
GNB0420.PL,D,20180417,000000,96.07,96.07,94,94,78,0
GNB0420.PL,D,20180418,000000,93.57,93.57,93.5,93.5,60,0
GNB0420.PL,D,20180419,000000,93.2,94.5,93,94.5,44,0
GNB0420.PL,D,20180420,000000,94.5,94.5,92,92,34,0
GNB0420.PL,D,20180423,000000,92.4,92.4,91.5,92,143,0
GNB0420.PL,D,20180424,000000,92.3,93.01,91.5,93.01,12,0
GNB0420.PL,D,20180427,000000,92.97,92.97,91,91,17,0
GNB0420.PL,D,20180502,000000,92.94,93,92.94,93,84,0
GNB0420.PL,D,20180504,000000,94,94,94,94,140,0
GNB0420.PL,D,20180507,000000,93.4,95,91,95,90,0
GNB0420.PL,D,20180508,000000,95,95,95,95,13,0
GNB0420.PL,D,20180509,000000,94.94,94.94,94.94,94.94,8,0
GNB0420.PL,D,20180511,000000,94,94,94,94,120,0
GNB0420.PL,D,20180514,000000,94,94,94,94,32,0
GNB0420.PL,D,20180515,000000,94.4,94.6,94.4,94.6,34,0
GNB0420.PL,D,20180516,000000,94,94,94,94,119,0
GNB0420.PL,D,20180517,000000,92.7,92.7,92.6,92.6,17,0
GNB0420.PL,D,20180523,000000,93,93,93,93,40,0
GNB0420.PL,D,20180524,000000,93,93,93,93,7,0
GNB0420.PL,D,20180525,000000,93,93,93,93,52,0
GNB0420.PL,D,20180528,000000,91.5,92,91.5,92,30,0
GNB0420.PL,D,20180529,000000,90.01,90.01,90.01,90.01,4,0
GNB0420.PL,D,20180601,000000,92,92,92,92,6,0
GNB0420.PL,D,20180604,000000,91.99,92,91.99,92,53,0
GNB0420.PL,D,20180608,000000,91,91.98,91,91.98,438,0
GNB0420.PL,D,20180611,000000,91.98,91.98,91.98,91.98,1,0
GNB0420.PL,D,20180612,000000,91.75,91.98,91.75,91.8,35,0
GNB0420.PL,D,20180613,000000,91.97,91.97,91.97,91.97,17,0
GNB0420.PL,D,20180615,000000,91.97,91.97,91.97,91.97,2,0
GNB0420.PL,D,20180618,000000,91.5,91.5,91.21,91.21,42,0
GNB0420.PL,D,20180619,000000,90.01,91,90,91,35,0
GNB0420.PL,D,20180622,000000,91.01,91.01,91.01,91.01,7,0
GNB0420.PL,D,20180627,000000,90.04,90.04,90,90,11,0
GNB0420.PL,D,20180702,000000,90,90,90,90,10,0
GNB0420.PL,D,20180705,000000,91,91,91,91,2,0
GNB0420.PL,D,20180706,000000,90.99,91,90.99,91,13,0
GNB0420.PL,D,20180710,000000,91.48,91.48,91.48,91.48,15,0
GNB0420.PL,D,20180711,000000,91.48,91.8,91.48,91.8,49,0
GNB0420.PL,D,20180712,000000,91.93,92.5,91.93,92.5,132,0
GNB0420.PL,D,20180713,000000,92.3,92.3,92.3,92.3,14,0
GNB0420.PL,D,20180716,000000,92,92.98,92,92.98,52,0
GNB0420.PL,D,20180720,000000,92.97,93,92.97,93,40,0
GNB0420.PL,D,20180725,000000,93.3,93.3,93.3,93.3,7,0
GNB0420.PL,D,20180726,000000,93.49,93.5,93.49,93.5,50,0
GNB0420.PL,D,20180802,000000,92.37,92.37,92.37,92.37,4,0
GNB0420.PL,D,20180806,000000,93.94,93.94,93.94,93.94,5,0
GNB0420.PL,D,20180809,000000,93.94,93.94,93.94,93.94,13,0
GNB0420.PL,D,20180810,000000,93.9,93.99,93.9,93.99,12,0
GNB0420.PL,D,20180813,000000,93.95,93.95,93.95,93.95,13,0
GNB0420.PL,D,20180816,000000,93.99,94,93.99,94,42,0
GNB0420.PL,D,20180820,000000,92.61,93.63,92.61,93.63,28,0
GNB0420.PL,D,20180821,000000,90.06,90.9,90.06,90.9,11,0
GNB0420.PL,D,20180822,000000,90.25,90.25,90.2,90.2,30,0
GNB0420.PL,D,20180828,000000,90.25,90.25,90.25,90.25,1,0
GNB0420.PL,D,20180905,000000,89.85,90.05,89.85,90,100,0
GNB0420.PL,D,20180907,000000,87,87,87,87,22,0
GNB0420.PL,D,20180925,000000,87.48,87.48,87.48,87.48,10,0
GNB0420.PL,D,20181003,000000,88.5,88.5,88.5,88.5,3,0
GNB0420.PL,D,20181015,000000,88,88,88,88,8,0
GNB0420.PL,D,20181017,000000,89.4,89.4,89.4,89.4,14,0
GNB0420.PL,D,20181022,000000,87.55,87.55,87.5,87.5,33,0
GNB0420.PL,D,20181025,000000,89,89,89,89,5,0
GNB0420.PL,D,20181105,000000,89.89,90,89.89,90,35,0
GNB0420.PL,D,20181108,000000,90,90,90,90,18,0
GNB0420.PL,D,20181109,000000,90,90,90,90,7,0
GNB0420.PL,D,20181113,000000,89.8,89.8,88,88,43,0
GNB0420.PL,D,20181114,000000,78,78,75,75,93,0
GNB0420.PL,D,20181116,000000,65.55,65.55,60,60,64,0
GNB0420.PL,D,20181119,000000,52,52,52,52,28,0
GNB0420.PL,D,20181120,000000,55,59.45,45,59.45,17,0
GNB0420.PL,D,20181121,000000,55,57.94,55,57.94,196,0
GNB0420.PL,D,20181122,000000,57.94,62.5,57.94,62.5,234,0
GNB0420.PL,D,20181123,000000,61,61,61,61,5,0
GNB0420.PL,D,20181126,000000,64.98,65,64.98,65,35,0
GNB0420.PL,D,20181127,000000,65,65,65,65,67,0
GNB0420.PL,D,20181128,000000,65.5,65.5,65,65,12,0
GNB0420.PL,D,20181129,000000,65,65.01,65,65,75,0
GNB0420.PL,D,20181130,000000,65.98,65.98,65.98,65.98,1,0
GNB0420.PL,D,20181203,000000,65,65.95,65,65.95,20,0
GNB0420.PL,D,20181204,000000,66.93,67.49,66.93,67.49,13,0
GNB0420.PL,D,20181205,000000,67.48,67.99,67.48,67.99,17,0
