<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPP0620.PL,D,20171218,000000,92.1,93,92.1,93,4,0
IPP0620.PL,D,20171219,000000,93,93,93,93,25,0
IPP0620.PL,D,20171220,000000,93,93,93,93,41,0
IPP0620.PL,D,20171221,000000,93,93,92.1,92.1,62,0
IPP0620.PL,D,20171222,000000,92.1,92.1,91.51,91.51,122,0
IPP0620.PL,D,20171229,000000,93.4,94.96,93.4,94.96,20,0
IPP0620.PL,D,20180103,000000,94.97,94.97,94.97,94.97,10,0
IPP0620.PL,D,20180104,000000,94,94,94,94,1,0
IPP0620.PL,D,20180105,000000,94.95,94.95,94.95,94.95,5,0
IPP0620.PL,D,20180109,000000,94.95,95,93.5,93.5,17,0
IPP0620.PL,D,20180111,000000,93.3,93.3,93.3,93.3,5,0
IPP0620.PL,D,20180117,000000,95.7,95.97,95.7,95.79,25,0
IPP0620.PL,D,20180118,000000,95,95,95,95,20,0
IPP0620.PL,D,20180119,000000,95.5,95.99,95.5,95.99,96,0
IPP0620.PL,D,20180122,000000,95.9,95.9,95.9,95.9,7,0
IPP0620.PL,D,20180129,000000,95.9,95.9,95.9,95.9,5,0
IPP0620.PL,D,20180130,000000,95.9,96,95.9,95.9,203,0
IPP0620.PL,D,20180201,000000,96,96,96,96,103,0
IPP0620.PL,D,20180202,000000,96,96,96,96,1,0
IPP0620.PL,D,20180205,000000,96,96,95,95,47,0
IPP0620.PL,D,20180206,000000,95,95,95,95,5,0
IPP0620.PL,D,20180207,000000,95,95,95,95,8,0
IPP0620.PL,D,20180208,000000,95,96,95,96,25,0
IPP0620.PL,D,20180212,000000,96,96,96,96,5,0
IPP0620.PL,D,20180213,000000,96,96,96,96,11,0
IPP0620.PL,D,20180214,000000,96,96,96,96,100,0
IPP0620.PL,D,20180216,000000,95.8,95.8,95.8,95.8,1,0
IPP0620.PL,D,20180219,000000,95.8,95.8,95.8,95.8,2,0
IPP0620.PL,D,20180220,000000,95.8,95.8,95.8,95.8,10,0
IPP0620.PL,D,20180221,000000,95.8,95.8,95.8,95.8,2,0
IPP0620.PL,D,20180222,000000,95.8,95.8,95.8,95.8,8,0
IPP0620.PL,D,20180223,000000,95.7,95.8,95,95,45,0
IPP0620.PL,D,20180226,000000,95.7,95.7,95.7,95.7,9,0
IPP0620.PL,D,20180227,000000,95.7,95.8,95.6,95.8,305,0
IPP0620.PL,D,20180228,000000,95.8,95.8,95.8,95.8,1,0
IPP0620.PL,D,20180301,000000,95.8,95.8,95.5,95.5,108,0
IPP0620.PL,D,20180305,000000,95.15,95.5,95.15,95.5,42,0
IPP0620.PL,D,20180306,000000,95.34,95.8,95.34,95.8,10,0
IPP0620.PL,D,20180307,000000,95.8,95.8,95.5,95.5,67,0
IPP0620.PL,D,20180309,000000,95.8,95.8,95.8,95.8,14,0
IPP0620.PL,D,20180312,000000,95.8,95.8,95.8,95.8,6,0
IPP0620.PL,D,20180315,000000,95.8,95.8,95.8,95.8,15,0
IPP0620.PL,D,20180319,000000,95.79,95.79,95.79,95.79,5,0
IPP0620.PL,D,20180320,000000,95.7,95.85,95.7,95.8,112,0
IPP0620.PL,D,20180321,000000,95.8,95.8,95.8,95.8,2,0
IPP0620.PL,D,20180322,000000,95.1,95.1,95,95,5,0
IPP0620.PL,D,20180323,000000,95.79,95.79,95.79,95.79,18,0
IPP0620.PL,D,20180326,000000,95.5,95.79,95.5,95.79,11,0
IPP0620.PL,D,20180327,000000,95.79,95.79,95.79,95.79,3,0
IPP0620.PL,D,20180328,000000,95.78,95.78,95.2,95.2,32,0
IPP0620.PL,D,20180329,000000,95,95.7,95,95.7,10,0
IPP0620.PL,D,20180403,000000,95.7,95.7,95.7,95.7,23,0
IPP0620.PL,D,20180404,000000,95.5,95.5,95.5,95.5,29,0
IPP0620.PL,D,20180405,000000,95.7,95.7,95.7,95.7,2,0
