<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHM0821.PL,D,20190322,000000,100,100,100,100,7,0
JHM0821.PL,D,20190329,000000,100,100,100,100,3,0
JHM0821.PL,D,20190401,000000,100,100,100,100,56,0
JHM0821.PL,D,20190405,000000,100,100,100,100,56,0
JHM0821.PL,D,20190614,000000,100.25,100.25,100.25,100.25,10,0
JHM0821.PL,D,20190617,000000,100.25,100.25,100.25,100.25,20,0
JHM0821.PL,D,20190627,000000,100.25,100.25,100.25,100.25,20,0
JHM0821.PL,D,20190703,000000,100.25,100.25,100.25,100.25,5,0
JHM0821.PL,D,20190709,000000,100.25,100.25,100.25,100.25,10,0
JHM0821.PL,D,20190717,000000,100.25,100.25,100.25,100.25,4,0
JHM0821.PL,D,20190719,000000,100.25,100.25,100.25,100.25,5,0
JHM0821.PL,D,20190730,000000,100,100,100,100,2,0
JHM0821.PL,D,20190925,000000,100.41,100.41,100.41,100.41,5,0
JHM0821.PL,D,20190927,000000,100.41,100.41,100.41,100.41,1,0
JHM0821.PL,D,20191209,000000,100.2,100.2,100.2,100.2,3,0
JHM0821.PL,D,20191211,000000,100.2,100.2,100.2,100.2,3,0
JHM0821.PL,D,20200123,000000,100.41,100.41,100.41,100.41,2,0
JHM0821.PL,D,20200303,000000,100.25,100.25,100.25,100.25,7,0
JHM0821.PL,D,20200310,000000,99.8,99.8,99.8,99.8,2,0
JHM0821.PL,D,20200617,000000,99.5,99.5,99.5,99.5,15,0
JHM0821.PL,D,20200618,000000,99.5,99.5,99.5,99.5,11,0
JHM0821.PL,D,20200701,000000,99.5,99.5,99.5,99.5,3,0
JHM0821.PL,D,20200820,000000,99.5,99.5,99.5,99.5,3,0
JHM0821.PL,D,20200821,000000,99.5,99.5,99.5,99.5,6,0
JHM0821.PL,D,20201016,000000,101.48,101.48,101.48,101.48,2,0
