<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBS1024.PL,D,20180216,000000,75,75,75,75,10,0
PBS1024.PL,D,20180219,000000,75,75,75,75,1,0
PBS1024.PL,D,20180424,000000,65,76.11,60,76.11,154,0
PBS1024.PL,D,20180525,000000,76.11,76.11,76.11,76.11,1,0
PBS1024.PL,D,20181031,000000,85,85,85,85,1,0
PBS1024.PL,D,20181130,000000,90,90,90,90,1,0
PBS1024.PL,D,20190131,000000,89,89,89,89,13,0
PBS1024.PL,D,20190205,000000,87.4,87.4,87.4,87.4,4,0
PBS1024.PL,D,20190206,000000,88.9,88.9,88.8,88.8,10,0
PBS1024.PL,D,20190402,000000,88.8,88.8,88.8,88.8,49,0
PBS1024.PL,D,20190405,000000,88.8,88.8,88.8,88.8,49,0
PBS1024.PL,D,20190520,000000,88,88,88,88,99,0
PBS1024.PL,D,20190627,000000,88,88,88,88,99,0
PBS1024.PL,D,20190904,000000,87,87,87,87,35,0
PBS1024.PL,D,20191125,000000,77,87,77,87,2,0
PBS1024.PL,D,20191126,000000,77,86.9,67,86.9,4,0
PBS1024.PL,D,20191127,000000,76.9,86.89,66.9,66.9,31,0
PBS1024.PL,D,20191128,000000,51.9,51.9,51.9,51.9,1,0
PBS1024.PL,D,20191129,000000,51.9,52.11,40.1,40.2,4537,0
PBS1024.PL,D,20191211,000000,51.9,52.11,40.1,40.2,4537,0
PBS1024.PL,D,20191219,000000,41.5,41.5,38,38,35,0
PBS1024.PL,D,20191230,000000,50,50,50,50,1,0
PBS1024.PL,D,20200103,000000,40,55,40,55,32,0
PBS1024.PL,D,20200115,000000,55,55,51,51,84,0
PBS1024.PL,D,20200116,000000,53.1,53.23,53.1,53.23,102,0
