<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN0622.PL,D,20180604,000000,100.6,100.6,100.4,100.43,181931,0
PKN0622.PL,D,20180605,000000,100.41,100.42,100.39,100.4,28154,0
PKN0622.PL,D,20180606,000000,100.4,100.5,100.4,100.5,29651,0
PKN0622.PL,D,20180607,000000,100.5,100.55,100.5,100.54,77051,0
PKN0622.PL,D,20180608,000000,100.53,100.54,100.52,100.52,7154,0
PKN0622.PL,D,20180611,000000,100.51,100.54,100.5,100.51,35686,0
PKN0622.PL,D,20180612,000000,100.52,100.54,100.5,100.5,28788,0
PKN0622.PL,D,20180613,000000,100.4,100.49,100.4,100.44,84394,0
PKN0622.PL,D,20180614,000000,100.47,100.47,100.36,100.41,68486,0
PKN0622.PL,D,20180615,000000,100.45,100.45,100.43,100.43,1005,0
PKN0622.PL,D,20180618,000000,100.44,100.5,100.41,100.43,2892,0
PKN0622.PL,D,20180619,000000,100.45,100.45,100.35,100.35,2826,0
PKN0622.PL,D,20180620,000000,100.38,100.45,100.35,100.45,14701,0
PKN0622.PL,D,20180621,000000,100.35,100.4,100.25,100.32,26078,0
PKN0622.PL,D,20180622,000000,100.48,100.48,100.3,100.31,22560,0
PKN0622.PL,D,20180625,000000,100.31,100.34,100.3,100.33,11266,0
PKN0622.PL,D,20180626,000000,100.35,100.35,100.35,100.35,20000,0
PKN0622.PL,D,20180627,000000,100.4,100.4,100.4,100.4,200,0
PKN0622.PL,D,20180628,000000,100.34,100.39,100.34,100.39,55,0
PKN0622.PL,D,20180629,000000,100.41,100.54,100.33,100.54,5393,0
PKN0622.PL,D,20180702,000000,100.44,100.44,100.4,100.4,489,0
PKN0622.PL,D,20180703,000000,100.35,100.39,100.35,100.39,967,0
PKN0622.PL,D,20180704,000000,100.3,100.3,100.3,100.3,100,0
PKN0622.PL,D,20180705,000000,100.53,100.53,100.53,100.53,5,0
PKN0622.PL,D,20180706,000000,100.35,100.49,100.33,100.33,217,0
PKN0622.PL,D,20180709,000000,100.3,100.3,100.3,100.3,100,0
PKN0622.PL,D,20180710,000000,100.31,100.31,100.3,100.3,2000,0
