<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RON0820.PL,D,20171221,000000,99.99,99.99,99.99,99.99,2,0
RON0820.PL,D,20171222,000000,100,100,100,100,4,0
RON0820.PL,D,20171227,000000,100,100.01,100,100,37,0
RON0820.PL,D,20171229,000000,100.13,100.19,100,100,9,0
RON0820.PL,D,20180103,000000,100.36,100.36,100.36,100.36,5,0
RON0820.PL,D,20180104,000000,100.35,100.35,100.35,100.35,2,0
RON0820.PL,D,20180105,000000,100.35,100.37,100.35,100.37,2,0
RON0820.PL,D,20180115,000000,100.37,100.37,100.37,100.37,4,0
RON0820.PL,D,20180123,000000,99.5,99.5,99.5,99.5,4,0
RON0820.PL,D,20180202,000000,100.36,100.37,100.36,100.37,6,0
RON0820.PL,D,20180205,000000,100.36,100.36,100.36,100.36,5,0
RON0820.PL,D,20180208,000000,100.36,100.47,100.36,100.47,27,0
RON0820.PL,D,20180209,000000,100.5,100.5,100.5,100.5,10,0
RON0820.PL,D,20180212,000000,100.57,100.57,100.57,100.57,2,0
RON0820.PL,D,20180219,000000,100.65,100.65,100.65,100.65,1,0
RON0820.PL,D,20180220,000000,101,101,100.8,100.8,10,0
RON0820.PL,D,20180221,000000,100.6,100.6,100.6,100.6,33,0
RON0820.PL,D,20180222,000000,100.5,100.5,100.5,100.5,2,0
RON0820.PL,D,20180223,000000,101.09,101.09,101.06,101.06,4,0
RON0820.PL,D,20180226,000000,100.6,100.6,100.6,100.6,14,0
RON0820.PL,D,20180228,000000,101.03,101.03,101.03,101.03,1,0
RON0820.PL,D,20180307,000000,101.02,101.02,101.02,101.02,10,0
RON0820.PL,D,20180309,000000,100.8,100.8,100.8,100.8,5,0
RON0820.PL,D,20180312,000000,100.7,100.7,100.7,100.7,30,0
RON0820.PL,D,20180313,000000,100.6,100.6,100.6,100.6,21,0
RON0820.PL,D,20180319,000000,100.5,100.5,100.5,100.5,25,0
RON0820.PL,D,20180323,000000,101.06,101.06,101.06,101.06,10,0
RON0820.PL,D,20180326,000000,100.11,100.11,100.11,100.11,10,0
RON0820.PL,D,20180404,000000,100.21,100.21,100.21,100.21,10,0
RON0820.PL,D,20180406,000000,101.04,101.04,101.04,101.04,20,0
RON0820.PL,D,20180417,000000,100.85,100.85,100.85,100.85,1,0
RON0820.PL,D,20180419,000000,100.8,100.8,100.79,100.8,8,0
RON0820.PL,D,20180420,000000,100.7,100.7,100.7,100.7,4,0
RON0820.PL,D,20180424,000000,100.3,100.3,100,100,34,0
RON0820.PL,D,20180502,000000,100.7,100.7,100.7,100.7,1,0
RON0820.PL,D,20180511,000000,100.2,100.2,100.2,100.2,15,0
RON0820.PL,D,20180517,000000,100.5,100.97,100.5,100.97,8,0
RON0820.PL,D,20180521,000000,100.7,100.7,100.7,100.7,11,0
RON0820.PL,D,20180530,000000,99.5,99.5,99.5,99.5,8,0
RON0820.PL,D,20180601,000000,100.8,100.8,100.8,100.8,5,0
RON0820.PL,D,20180604,000000,100.8,100.8,100.8,100.8,5,0
RON0820.PL,D,20180605,000000,99.5,99.5,99,99,5,0
RON0820.PL,D,20180606,000000,99.22,99.22,99.22,99.22,5,0
RON0820.PL,D,20180608,000000,99.8,99.8,99.8,99.8,20,0
RON0820.PL,D,20180612,000000,100.48,100.49,100.48,100.49,14,0
RON0820.PL,D,20180614,000000,100,100,100,100,5,0
RON0820.PL,D,20180615,000000,99.8,99.8,99.8,99.8,30,0
RON0820.PL,D,20180619,000000,100.2,100.2,100.2,100.2,10,0
RON0820.PL,D,20180620,000000,100.77,100.77,100.77,100.77,1,0
RON0820.PL,D,20180622,000000,100.05,100.05,100,100,15,0
RON0820.PL,D,20180725,000000,99.5,99.5,99.5,99.5,5,0
RON0820.PL,D,20180809,000000,100.76,100.8,100.76,100.8,61,0
RON0820.PL,D,20180913,000000,100.93,100.93,100.93,100.93,2,0
RON0820.PL,D,20181019,000000,100,100,100,100,3,0
RON0820.PL,D,20181023,000000,99.5,99.5,99.5,99.5,12,0
RON0820.PL,D,20181024,000000,99.5,99.5,99.5,99.5,8,0
RON0820.PL,D,20181025,000000,100,100,100,100,7,0
RON0820.PL,D,20181116,000000,100.05,100.05,100.05,100.05,25,0
RON0820.PL,D,20181123,000000,100.05,100.05,100.05,100.05,2,0
RON0820.PL,D,20181211,000000,100.07,100.08,100.07,100.08,10,0
RON0820.PL,D,20181212,000000,100.08,100.08,100.08,100.08,4,0
RON0820.PL,D,20190111,000000,100.4,100.4,100.4,100.4,75,0
RON0820.PL,D,20190122,000000,100.01,100.01,100.01,100.01,3,0
RON0820.PL,D,20190124,000000,100.59,100.6,100.59,100.6,30,0
RON0820.PL,D,20190125,000000,100.6,100.6,100.6,100.6,30,0
RON0820.PL,D,20190201,000000,100.02,100.02,100,100,54,0
RON0820.PL,D,20190204,000000,100.65,100.69,100.65,100.69,50,0
RON0820.PL,D,20190206,000000,100.97,100.97,100.97,100.97,3,0
RON0820.PL,D,20190220,000000,100.89,100.89,100.89,100.89,2,0
RON0820.PL,D,20190226,000000,100.82,100.82,100.82,100.82,5,0
RON0820.PL,D,20190301,000000,100.82,100.96,100.82,100.96,14,0
RON0820.PL,D,20190311,000000,100.94,100.94,100.94,100.94,10,0
RON0820.PL,D,20190315,000000,100.95,100.95,100.95,100.95,3,0
RON0820.PL,D,20190325,000000,101.13,101.13,101.13,101.13,7,0
RON0820.PL,D,20190328,000000,100.5,100.5,100.5,100.5,3,0
RON0820.PL,D,20190405,000000,100.8,100.8,100.8,100.8,10,0
RON0820.PL,D,20190412,000000,100.6,100.6,100.01,100.01,10,0
RON0820.PL,D,20190418,000000,100,100,100,100,10,0
RON0820.PL,D,20190429,000000,99.51,99.51,99.5,99.5,15,0
RON0820.PL,D,20190430,000000,100,100,100,100,50,0
RON0820.PL,D,20190506,000000,100.98,100.98,100,100.5,43,0
RON0820.PL,D,20190507,000000,100.02,100.02,100,100,35,0
RON0820.PL,D,20190508,000000,100.2,100.2,100.03,100.03,12,0
RON0820.PL,D,20190513,000000,100,100.5,100,100.5,210,0
RON0820.PL,D,20190516,000000,100.5,100.5,100.5,100.5,2,0
RON0820.PL,D,20190521,000000,100.8,100.8,100.8,100.8,20,0
RON0820.PL,D,20190527,000000,100.79,100.79,100.79,100.79,2,0
RON0820.PL,D,20190528,000000,100.8,100.8,100.8,100.8,4,0
RON0820.PL,D,20190529,000000,100.8,100.8,100.8,100.8,5,0
RON0820.PL,D,20190606,000000,100.5,100.5,100.5,100.5,3,0
RON0820.PL,D,20190618,000000,100.8,100.8,100.8,100.8,5,0
RON0820.PL,D,20190625,000000,100.8,100.8,100.8,100.8,15,0
RON0820.PL,D,20190627,000000,100.8,100.8,100.8,100.8,15,0
RON0820.PL,D,20190705,000000,100.84,100.84,100.84,100.84,5,0
RON0820.PL,D,20190805,000000,100.06,100.06,100.06,100.06,3,0
RON0820.PL,D,20190807,000000,100.07,100.07,100.07,100.07,2,0
RON0820.PL,D,20190813,000000,100.12,100.12,100.12,100.12,2,0
RON0820.PL,D,20190819,000000,100.5,100.5,100.5,100.5,6,0
RON0820.PL,D,20190821,000000,100.79,100.8,100.79,100.8,22,0
RON0820.PL,D,20190822,000000,100.79,100.79,100.79,100.79,4,0
RON0820.PL,D,20190823,000000,100.7,100.7,100.7,100.7,10,0
RON0820.PL,D,20190827,000000,100.79,100.79,100.79,100.79,6,0
RON0820.PL,D,20190828,000000,100.9,100.9,100.85,100.85,36,0
RON0820.PL,D,20190905,000000,100.97,100.97,100.97,100.97,5,0
RON0820.PL,D,20190906,000000,100.8,100.8,100.8,100.8,12,0
RON0820.PL,D,20190912,000000,100.8,100.8,100.8,100.8,2,0
RON0820.PL,D,20190920,000000,100.85,100.98,100.85,100.98,12,0
RON0820.PL,D,20190923,000000,100.5,100.5,100.5,100.5,10,0
RON0820.PL,D,20191002,000000,100.02,100.02,100,100,523,0
RON0820.PL,D,20191003,000000,100.4,100.4,100.4,100.4,10,0
RON0820.PL,D,20191008,000000,100.42,100.42,100.42,100.42,4,0
RON0820.PL,D,20191010,000000,100.42,100.44,100.42,100.44,11,0
RON0820.PL,D,20191016,000000,100.45,100.49,100.45,100.49,20,0
RON0820.PL,D,20191106,000000,100.6,100.6,100.6,100.6,4,0
RON0820.PL,D,20191114,000000,100.53,100.54,100.53,100.54,5,0
RON0820.PL,D,20191128,000000,100.53,100.53,100.53,100.53,5,0
RON0820.PL,D,20191211,000000,100.45,100.45,100.45,100.45,12,0
RON0820.PL,D,20191216,000000,100.43,100.43,100.43,100.43,8,0
RON0820.PL,D,20191217,000000,100.44,100.44,100.44,100.44,25,0
RON0820.PL,D,20200109,000000,99.85,99.85,99.85,99.85,6,0
RON0820.PL,D,20200113,000000,99.87,99.87,99.87,99.87,3,0
RON0820.PL,D,20200116,000000,100.2,100.2,100,100,76,0
RON0820.PL,D,20200121,000000,100.43,100.43,100.43,100.43,2,0
RON0820.PL,D,20200124,000000,100.39,100.39,100.39,100.39,6,0
RON0820.PL,D,20200131,000000,100.39,100.39,100.39,100.39,5,0
RON0820.PL,D,20200207,000000,100.39,100.39,100.39,100.39,5,0
RON0820.PL,D,20200217,000000,100.4,100.41,100.4,100.41,15,0
RON0820.PL,D,20200228,000000,100.05,100.05,100.02,100.02,14,0
RON0820.PL,D,20200302,000000,100.02,100.02,100.02,100.02,2,0
RON0820.PL,D,20200306,000000,100.25,100.25,100.02,100.02,16,0
RON0820.PL,D,20200309,000000,100.03,100.03,99.8,99.8,30,0
RON0820.PL,D,20200310,000000,99.6,99.6,99.6,99.6,4,0
RON0820.PL,D,20200312,000000,99.88,99.88,99.8,99.8,45,0
RON0820.PL,D,20200313,000000,99.4,99.5,99.4,99.5,6,0
RON0820.PL,D,20200316,000000,99,99,98.5,98.5,15,0
RON0820.PL,D,20200317,000000,97.5,97.5,97.5,97.5,10,0
RON0820.PL,D,20200318,000000,98,98,98,98,50,0
RON0820.PL,D,20200323,000000,98,98,97.51,97.51,24,0
RON0820.PL,D,20200326,000000,97,98,97,98,19,0
RON0820.PL,D,20200327,000000,97.75,97.75,97.75,97.75,4,0
RON0820.PL,D,20200330,000000,98.5,98.5,98.5,98.5,10,0
RON0820.PL,D,20200401,000000,98.3,98.3,98.3,98.3,2,0
RON0820.PL,D,20200403,000000,98.9,98.9,98.9,98.9,10,0
RON0820.PL,D,20200406,000000,98.9,98.9,98.9,98.9,7,0
RON0820.PL,D,20200407,000000,99,99,99,99,10,0
RON0820.PL,D,20200409,000000,99.1,99.1,99.1,99.1,2,0
RON0820.PL,D,20200414,000000,99.01,99.01,99.01,99.01,2,0
RON0820.PL,D,20200415,000000,99.01,99.01,99.01,99.01,6,0
RON0820.PL,D,20200420,000000,99.6,99.6,99.6,99.6,10,0
RON0820.PL,D,20200429,000000,99.97,99.97,99.97,99.97,5,0
RON0820.PL,D,20200508,000000,99.97,99.97,99.96,99.97,40,0
RON0820.PL,D,20200513,000000,99.98,99.98,99.98,99.98,9,0
RON0820.PL,D,20200514,000000,99.98,99.98,99.98,99.98,7,0
RON0820.PL,D,20200515,000000,99.98,99.98,99.98,99.98,2,0
RON0820.PL,D,20200519,000000,99.99,99.99,99.99,99.99,10,0
RON0820.PL,D,20200520,000000,99.98,99.98,99.98,99.98,2,0
RON0820.PL,D,20200526,000000,99.99,99.99,99.99,99.99,5,0
