<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNPPSPX1022.PL,D,20191021,000000,968.1,968.1,968.1,968.1,25,0
BNPPSPX1022.PL,D,20191212,000000,960.7,960.7,960.7,960.7,95,0
BNPPSPX1022.PL,D,20200320,000000,1004.2,1004.2,1004.2,1004.2,200,0
BNPPSPX1022.PL,D,20200325,000000,1003,1003,1003,1003,59,0
BNPPSPX1022.PL,D,20200406,000000,991.8,991.8,991.8,991.8,81,0
BNPPSPX1022.PL,D,20200415,000000,980.2,980.2,980.2,980.2,35,0
BNPPSPX1022.PL,D,20200430,000000,985.5,985.5,985.5,985.5,50,0
BNPPSPX1022.PL,D,20200506,000000,988.6,988.6,988.6,988.6,100,0
BNPPSPX1022.PL,D,20200615,000000,996,996,996,996,50,0
BNPPSPX1022.PL,D,20200708,000000,993,993,993,993,60,0
BNPPSPX1022.PL,D,20200716,000000,995.5,995.5,995.5,995.5,200,0
BNPPSPX1022.PL,D,20200723,000000,995,995,995,995,150,0
BNPPSPX1022.PL,D,20200902,000000,992.5,992.5,992.5,992.5,51,0
BNPPSPX1022.PL,D,20200929,000000,999,999,998.5,998.5,300,0
