<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNPPSXPP0221.PL,D,20180420,000000,960,960,960,960,50,0
BNPPSXPP0221.PL,D,20180515,000000,992.3,992.3,992.3,992.3,60,0
BNPPSXPP0221.PL,D,20180614,000000,1009.5,1009.5,1009.5,1009.5,20,0
BNPPSXPP0221.PL,D,20180802,000000,910.4,910.4,910.4,910.4,20,0
BNPPSXPP0221.PL,D,20180925,000000,947,947,947,947,100,0
BNPPSXPP0221.PL,D,20181004,000000,948.7,948.7,948.6,948.6,58,0
BNPPSXPP0221.PL,D,20181018,000000,903.8,903.8,903.8,903.8,100,0
BNPPSXPP0221.PL,D,20181019,000000,895.2,895.2,895.2,895.2,200,0
BNPPSXPP0221.PL,D,20181108,000000,912.5,912.5,912.5,912.5,42,0
BNPPSXPP0221.PL,D,20181205,000000,841.1,841.1,841.1,841.1,100,0
BNPPSXPP0221.PL,D,20190117,000000,870.3,870.3,870.3,870.3,15,0
BNPPSXPP0221.PL,D,20190201,000000,919.9,919.9,919.9,919.9,10,0
BNPPSXPP0221.PL,D,20190204,000000,923.2,923.2,923.2,923.2,20,0
BNPPSXPP0221.PL,D,20190213,000000,924.2,924.2,924.2,924.2,10,0
BNPPSXPP0221.PL,D,20190214,000000,928.2,928.2,928.2,928.2,10,0
BNPPSXPP0221.PL,D,20190305,000000,958.9,958.9,958.9,958.9,100,0
BNPPSXPP0221.PL,D,20190402,000000,1013.2,1013.2,1013.2,1013.2,100,0
BNPPSXPP0221.PL,D,20190403,000000,1026.6,1027.2,1026.6,1027.2,300,0
BNPPSXPP0221.PL,D,20190404,000000,1020.7,1020.7,1020.7,1020.7,100,0
BNPPSXPP0221.PL,D,20190405,000000,1020.6,1021.8,1020.5,1021.6,356,0
BNPPSXPP0221.PL,D,20190408,000000,1030.9,1030.9,1025.2,1025.3,270,0
BNPPSXPP0221.PL,D,20190410,000000,1027.3,1029.2,1027.3,1027.9,649,0
BNPPSXPP0221.PL,D,20190411,000000,1024.6,1024.6,1020.3,1021.2,450,0
BNPPSXPP0221.PL,D,20190418,000000,1021.6,1021.6,1021.6,1021.6,16,0
BNPPSXPP0221.PL,D,20190423,000000,1022.7,1022.7,1022.7,1022.7,20,0
BNPPSXPP0221.PL,D,20190604,000000,910,910,910,910,10,0
BNPPSXPP0221.PL,D,20190624,000000,949.3,949.3,949.3,949.3,90,0
BNPPSXPP0221.PL,D,20190719,000000,945,945,945,945,10,0
BNPPSXPP0221.PL,D,20190806,000000,846,846,846,846,10,0
BNPPSXPP0221.PL,D,20190917,000000,931.3,931.3,931.3,931.3,10,0
BNPPSXPP0221.PL,D,20190925,000000,892.5,892.5,889.7,889.7,40,0
BNPPSXPP0221.PL,D,20191002,000000,871.4,871.4,871.4,871.4,20,0
BNPPSXPP0221.PL,D,20191105,000000,987.9,987.9,987.9,987.9,30,0
BNPPSXPP0221.PL,D,20191106,000000,981.9,981.9,981.9,981.9,40,0
BNPPSXPP0221.PL,D,20191120,000000,945.5,945.5,945.5,945.5,60,0
BNPPSXPP0221.PL,D,20191128,000000,965.6,965.6,965.6,965.6,25,0
BNPPSXPP0221.PL,D,20191204,000000,953.6,953.6,953.6,953.6,20,0
BNPPSXPP0221.PL,D,20191212,000000,964,964,964,964,20,0
BNPPSXPP0221.PL,D,20191213,000000,1002.4,1002.4,1002.4,1002.4,100,0
BNPPSXPP0221.PL,D,20191217,000000,989.2,989.2,989.2,989.2,66,0
BNPPSXPP0221.PL,D,20191220,000000,1000,1000,1000,1000,30,0
BNPPSXPP0221.PL,D,20191223,000000,985.4,985.4,985.4,985.4,30,0
BNPPSXPP0221.PL,D,20200102,000000,1007.3,1007.3,1007.3,1007.3,101,0
BNPPSXPP0221.PL,D,20200103,000000,978.4,978.4,978.4,978.4,30,0
BNPPSXPP0221.PL,D,20200114,000000,975.6,975.6,975.6,975.6,50,0
BNPPSXPP0221.PL,D,20200116,000000,972.4,972.4,972.4,972.4,100,0
BNPPSXPP0221.PL,D,20200129,000000,943.8,943.8,943.8,943.8,10,0
BNPPSXPP0221.PL,D,20200211,000000,948.2,948.2,948.2,948.2,10,0
BNPPSXPP0221.PL,D,20200219,000000,957.4,957.4,957.4,957.4,63,0
BNPPSXPP0221.PL,D,20200228,000000,830.7,830.7,830.7,830.7,20,0
BNPPSXPP0221.PL,D,20200306,000000,810.4,810.4,810.4,810.4,50,0
BNPPSXPP0221.PL,D,20200326,000000,726.4,731.9,726.4,731.9,60,0
BNPPSXPP0221.PL,D,20200729,000000,928.5,928.5,928.5,928.5,25,0
BNPPSXPP0221.PL,D,20201012,000000,950.5,950.5,950.5,950.5,200,0
