<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLADS16832.PL,D,20180118,000000,19.15,19.15,19.15,19.15,100,0
INTLADS16832.PL,D,20180119,000000,21.29,21.29,21.29,21.29,100,0
INTLADS16832.PL,D,20180123,000000,25.74,25.74,25.74,25.74,4,0
INTLADS16832.PL,D,20180316,000000,29.78,29.78,29.78,29.78,13,0
INTLADS16832.PL,D,20180619,000000,29.36,29.36,28.66,28.66,80,0
INTLADS16832.PL,D,20180620,000000,27.9,28.26,27.9,28.26,140,0
INTLADS16832.PL,D,20180621,000000,29.54,29.54,29.54,29.54,60,0
INTLADS16832.PL,D,20180625,000000,28.93,28.93,28.93,28.93,100,0
INTLADS16832.PL,D,20180626,000000,28.52,28.52,28,28,239,0
INTLADS16832.PL,D,20180628,000000,28.43,28.43,26.29,26.29,210,0
INTLADS16832.PL,D,20180629,000000,27.87,27.87,27.87,27.87,15,0
INTLADS16832.PL,D,20180702,000000,27.55,27.55,27.55,27.55,20,0
INTLADS16832.PL,D,20180704,000000,26,26,26,26,25,0
INTLADS16832.PL,D,20180711,000000,26.1,26.1,26.1,26.1,25,0
INTLADS16832.PL,D,20180712,000000,25.95,25.95,25.95,25.95,25,0
INTLADS16832.PL,D,20180713,000000,27.7,27.7,27.7,27.7,199,0
INTLADS16832.PL,D,20180717,000000,26.99,26.99,26.99,26.99,100,0
INTLADS16832.PL,D,20180718,000000,27.74,27.74,27.74,27.74,100,0
INTLADS16832.PL,D,20180720,000000,28.78,28.78,28.24,28.24,300,0
INTLADS16832.PL,D,20180723,000000,28.32,28.32,28.32,28.32,100,0
INTLADS16832.PL,D,20180725,000000,28.43,28.43,28.43,28.43,100,0
INTLADS16832.PL,D,20180726,000000,27.64,27.64,27.64,27.64,30,0
INTLADS16832.PL,D,20180802,000000,26.5,26.5,26.5,26.5,130,0
INTLADS16832.PL,D,20181122,000000,33.26,33.26,33.26,33.26,40,0
INTLADS16832.PL,D,20181127,000000,32.26,32.26,32.26,32.26,19,0
INTLADS16832.PL,D,20181207,000000,31.48,31.48,31.48,31.48,40,0
INTLADS16832.PL,D,20181212,000000,32.07,32.07,32.07,32.07,15,0
INTLADS16832.PL,D,20181214,000000,31.43,31.43,31.43,31.43,15,0
INTLADS16832.PL,D,20181218,000000,27.23,27.23,27.23,27.23,20,0
INTLADS16832.PL,D,20181219,000000,27.2,27.2,27.2,27.2,20,0
INTLADS16832.PL,D,20190108,000000,30.3,30.3,30.3,30.3,89,0
INTLADS16832.PL,D,20190527,000000,59.1,59.1,59.1,59.1,1,0
INTLADS16832.PL,D,20200320,000000,28.01,29.23,28.01,29.23,1914,0
INTLADS16832.PL,D,20200323,000000,25,25,25,25,886,0
INTLADS16832.PL,D,20200324,000000,29.56,29.56,29.56,29.56,886,0
INTLADS16832.PL,D,20200622,000000,47.35,47.35,47.35,47.35,105,0
INTLADS16832.PL,D,20200623,000000,50.5,50.5,50.5,50.5,105,0
INTLADS16832.PL,D,20200713,000000,49.7,49.7,49.7,49.7,20,0
INTLADS16832.PL,D,20200813,000000,62,62,61.2,61.2,36,0
