<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLCDR33993.PL,D,20200814,000000,8.25,8.25,8.25,8.25,180,0
INTLCDR33993.PL,D,20200818,000000,7.55,7.86,7.3,7.86,1795,0
INTLCDR33993.PL,D,20200819,000000,7.95,7.96,7.95,7.96,311,0
INTLCDR33993.PL,D,20200820,000000,7.49,7.49,7.49,7.49,408,0
INTLCDR33993.PL,D,20200825,000000,7.83,7.83,7.83,7.83,12,0
INTLCDR33993.PL,D,20200827,000000,11.48,12.24,10.26,11.78,3864,0
INTLCDR33993.PL,D,20200902,000000,11.8,11.8,11.8,11.8,20,0
INTLCDR33993.PL,D,20200903,000000,11.38,11.38,11.38,11.38,20,0
INTLCDR33993.PL,D,20200904,000000,8.39,10.08,8.39,10.08,526,0
INTLCDR33993.PL,D,20200907,000000,10.78,10.78,10.78,10.78,186,0
INTLCDR33993.PL,D,20200910,000000,10.24,10.24,10.24,10.24,214,0
INTLCDR33993.PL,D,20200911,000000,9.83,9.83,9.83,9.83,204,0
INTLCDR33993.PL,D,20200914,000000,9.2,9.2,9.2,9.2,1000,0
INTLCDR33993.PL,D,20200915,000000,8.08,8.08,7.2,7.3,2981,0
INTLCDR33993.PL,D,20200916,000000,7.18,8.15,7.06,7.49,12724,0
INTLCDR33993.PL,D,20200917,000000,7.33,7.34,7.07,7.28,1842,0
INTLCDR33993.PL,D,20200918,000000,7.5,7.88,7.38,7.38,5332,0
INTLCDR33993.PL,D,20200921,000000,7.54,7.54,5.8,5.83,9120,0
INTLCDR33993.PL,D,20200922,000000,7.34,7.54,6.48,7.15,12359,0
INTLCDR33993.PL,D,20200923,000000,7.4,7.65,6.91,7.42,4252,0
INTLCDR33993.PL,D,20200924,000000,7.26,7.26,6.83,6.91,16115,0
INTLCDR33993.PL,D,20200925,000000,7.05,7.55,6.98,7.38,14394,0
INTLCDR33993.PL,D,20200928,000000,8.45,9.3,8.45,9.3,630,0
INTLCDR33993.PL,D,20200929,000000,9.5,9.79,9.5,9.79,261,0
INTLCDR33993.PL,D,20200930,000000,9.64,9.64,8.97,8.98,5992,0
INTLCDR33993.PL,D,20201001,000000,7.91,7.91,5.7,5.7,12068,0
